,what,is,a,genuine,love,of,god,with,heart,",",soul,and,mind,?
sanctifying,0.36257094144821167,0.23813189566135406,0.31317824125289917,0.24063056707382202,0.21968400478363037,0.3152742385864258,0.3356681764125824,0.28879237174987793,0.15138572454452515,0.2665923535823822,0.14455623924732208,0.253286212682724,0.2515698969364166,0.29888850450515747
grace,0.16722138226032257,0.17061445116996765,0.2073177546262741,0.17094683647155762,0.35169315338134766,0.2101200968027115,0.3407481610774994,0.14283894002437592,0.2225356549024582,0.2696996033191681,0.31572967767715454,0.21748536825180054,0.24356915056705475,0.16775278747081757
is,0.28837618231773376,1.0,0.658733606338501,0.2102500945329666,0.12761151790618896,0.4854315221309662,0.2211674600839615,0.3250955045223236,0.21632468700408936,0.4691906273365021,0.1911991834640503,0.3859752118587494,0.16031856834888458,0.22961433231830597
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.44582730531692505,0.24653686583042145,0.41498205065727234,0.30817699432373047,0.4154358208179474,0.17119134962558746,0.4137537479400635,0.2695053815841675,0.4731321930885315,0.437778502702713,0.32716336846351624
grace,0.16722138226032257,0.17061445116996765,0.2073177546262741,0.17094683647155762,0.35169315338134766,0.2101200968027115,0.3407481610774994,0.14283894002437592,0.2225356549024582,0.2696996033191681,0.31572967767715454,0.21748536825180054,0.24356915056705475,0.16775278747081757
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.24213914573192596,0.15893672406673431,1.0,0.2159487009048462,0.41827285289764404,0.21639685332775116,0.4946078956127167,0.1792602837085724,0.5116966962814331,0.17234256863594055,0.1826142966747284
god,0.3127830922603607,0.2211674600839615,0.18792781233787537,0.28100061416625977,0.36246347427368164,0.2159487009048462,1.0,0.19523796439170837,0.1722990721464157,0.24755379557609558,0.3443109095096588,0.23257656395435333,0.24719887971878052,0.23396754264831543
which,0.5261979103088379,0.4457404911518097,0.56894451379776,0.33947357535362244,0.21517449617385864,0.5011631846427917,0.2592761814594269,0.46403205394744873,0.21042637526988983,0.3658004403114319,0.22030168771743774,0.506277859210968,0.1871776133775711,0.25814583897590637
sustains,0.21029198169708252,0.217471644282341,0.29036128520965576,0.18267281353473663,0.23736517131328583,0.22190773487091064,0.1731743961572647,0.2525636553764343,0.17117872834205627,0.25045767426490784,0.13605308532714844,0.32012709975242615,0.17990779876708984,0.19291158020496368
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2630370259284973,0.19631516933441162,0.733189046382904,0.24689088761806488,0.4223487675189972,0.23747070133686066,0.4933079481124878,0.2054273635149002,0.5171257257461548,0.16300682723522186,0.22068053483963013
believers,0.32188862562179565,0.25462213158607483,0.25312989950180054,0.2952256202697754,0.2531166970729828,0.3132140040397644,0.4581014811992645,0.2226390540599823,0.2352665364742279,0.2485993355512619,0.31909486651420593,0.30080944299697876,0.2964748740196228,0.2148078978061676
