,in,addition,to,schools,",",where,else,is,popularly,based,authority,effective,?
sudbury,0.26136043667793274,0.179434671998024,0.16919606924057007,0.17674987018108368,0.3013467490673065,0.2192353457212448,0.11816256493330002,0.2359185814857483,0.062140852212905884,0.21599599719047546,0.21719206869602203,0.15256613492965698,0.18414859473705292
model,0.2267826348543167,0.14097100496292114,0.187554731965065,0.08655571192502975,0.244965597987175,0.1396508514881134,0.08417825400829315,0.21612800657749176,0.11561426520347595,0.19349822402000427,0.10896991938352585,0.1710437536239624,0.14843042194843292
democratic,0.206755131483078,0.07872971892356873,0.20661352574825287,0.23193933069705963,0.23484410345554352,0.11365075409412384,0.17951884865760803,0.15758468210697174,0.2587129771709442,0.12595397233963013,0.19787128269672394,0.20374946296215057,0.1668088138103485
schools,0.2632134258747101,0.2201354056596756,0.2362271547317505,1.0,0.2760516405105591,0.18881578743457794,0.1358921378850937,0.2022145688533783,0.14855119585990906,0.20668327808380127,0.2875272333621979,0.15873698890209198,0.18349280953407288
claim,0.16881313920021057,0.19361276924610138,0.324158638715744,0.18817530572414398,0.2664267122745514,0.2104811668395996,0.20601080358028412,0.15920500457286835,0.15394873917102814,0.16197338700294495,0.3516048789024353,0.16923482716083527,0.2665664851665497
that,0.435920387506485,0.3626989722251892,0.5436353087425232,0.2649109661579132,0.4137537479400635,0.4876193106174469,0.393348753452301,0.3995479643344879,0.16974857449531555,0.31403544545173645,0.29481130838394165,0.3091796338558197,0.32716336846351624
popularly,0.3129775822162628,0.1462179571390152,0.18090280890464783,0.14855119585990906,0.32701754570007324,0.21325448155403137,0.04645368084311485,0.31121397018432617,1.0,0.17137111723423004,0.15019363164901733,0.20442460477352142,0.17991875112056732
based,0.3070422410964966,0.22857527434825897,0.19629007577896118,0.20668327808380127,0.27976205945014954,0.20940464735031128,0.15819284319877625,0.3248139023780823,0.17137111723423004,1.0000001192092896,0.19261039793491364,0.17259320616722107,0.134929820895195
authority,0.214982271194458,0.1995539516210556,0.2155669927597046,0.2875272333621979,0.22133024036884308,0.17642784118652344,0.16792787611484528,0.20664075016975403,0.15019363164901733,0.19261039793491364,1.0000001192092896,0.1929417997598648,0.18404170870780945
can,0.26527702808380127,0.3001140356063843,0.4979398250579834,0.162617489695549,0.3139454126358032,0.3773181736469269,0.38691481947898865,0.44256699085235596,0.15252014994621277,0.2220543473958969,0.1509893387556076,0.3118162751197815,0.3226337134838104
maintain,0.18554846942424774,0.37776514887809753,0.34628623723983765,0.23024114966392517,0.22615692019462585,0.20641236007213593,0.22984014451503754,0.22511275112628937,0.04810290411114693,0.20126813650131226,0.2852153778076172,0.3591216206550598,0.20568779110908508
order,0.24184700846672058,0.2196897268295288,0.35544881224632263,0.17616014182567596,0.22478096187114716,0.16017383337020874,0.16543477773666382,0.19403748214244843,0.12961345911026,0.1603444367647171,0.1806820034980774,0.13829004764556885,0.13725648820400238
more,0.32563260197639465,0.3354648947715759,0.47084665298461914,0.16193780303001404,0.3696524500846863,0.29405033588409424,0.3299073874950409,0.2946030795574188,0.2067456841468811,0.21096299588680267,0.18959912657737732,0.32709991931915283,0.27894994616508484
effectively,0.2694817781448364,0.19109700620174408,0.3721640110015869,0.17700867354869843,0.3275187015533447,0.24378177523612976,0.20258334279060364,0.2131122201681137,0.24145616590976715,0.17070980370044708,0.2290482074022293,0.7687913179397583,0.21523159742355347
than,0.3270052373409271,0.289747029542923,0.3192550539970398,0.16902634501457214,0.3371901512145996,0.2726525366306305,0.3254282474517822,0.2839990258216858,0.1684545874595642,0.23088355362415314,0.19159960746765137,0.32526344060897827,0.24917294085025787
dictatorial,0.2282220870256424,0.13802291452884674,0.18099020421504974,0.19078168272972107,0.23856237530708313,0.1559140980243683,0.1114097461104393,0.14715807139873505,0.24320729076862335,0.1233602836728096,0.25693628191947937,0.29966750741004944,0.14160902798175812
authority,0.214982271194458,0.1995539516210556,0.2155669927597046,0.2875272333621979,0.22133024036884308,0.17642784118652344,0.16792787611484528,0.20664075016975403,0.15019363164901733,0.19261039793491364,1.0000001192092896,0.1929417997598648,0.18404170870780945
for,0.4322226941585541,0.39286839962005615,0.4451248347759247,0.2320515662431717,0.4464869201183319,0.38599511981010437,0.27475202083587646,0.43268078565597534,0.2926428020000458,0.2761107087135315,0.17207419872283936,0.2914128005504608,0.264628142118454
governments,0.26927295327186584,0.1779661327600479,0.30281347036361694,0.405094176530838,0.259052038192749,0.18759240210056305,0.22469690442085266,0.203748419880867,0.1509215235710144,0.19788263738155365,0.42440956830978394,0.2629835903644562,0.18805137276649475
and,0.4954058527946472,0.3508087992668152,0.48971283435821533,0.29319998621940613,0.6633074283599854,0.43859338760375977,0.2664144039154053,0.3859752118587494,0.2876293361186981,0.2660958170890808,0.22905389964580536,0.2838481068611145,0.20544172823429108
schools,0.2632134258747101,0.2201354056596756,0.2362271547317505,1.0,0.2760516405105591,0.18881578743457794,0.1358921378850937,0.2022145688533783,0.14855119585990906,0.20668327808380127,0.2875272333621979,0.15873698890209198,0.18349280953407288
alike,0.1734202653169632,0.23224392533302307,0.24154232442378998,0.209385484457016,0.225275918841362,0.26466289162635803,0.19114625453948975,0.13534122705459595,0.22342094779014587,0.10887257754802704,0.16040661931037903,0.20726245641708374,0.2217777818441391
.,0.5591574311256409,0.27481022477149963,0.4645031690597534,0.2752705216407776,0.6812511086463928,0.41390106081962585,0.30548352003097534,0.4569662809371948,0.2654256820678711,0.29699069261550903,0.19641262292861938,0.2533048987388611,0.4130953550338745
