,plants,lack,what,kind,of,immune,cells,?
unlike,0.2542329430580139,0.3218269646167755,0.25655338168144226,0.29033589363098145,0.34768372774124146,0.2747620642185211,0.2151651829481125,0.12876726686954498
animals,0.5823931097984314,0.2510649263858795,0.26212990283966064,0.24558036029338837,0.2599885165691376,0.3352951109409332,0.37981998920440674,0.16430135071277618
",",0.2555769681930542,0.27166152000427246,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.15102852880954742,0.20582014322280884,0.31091248989105225
plants,1.0,0.23614118993282318,0.25144460797309875,0.2697177827358246,0.29386165738105774,0.26676440238952637,0.4262334406375885,0.1473488062620163
lack,0.23614118993282318,0.9999998807907104,0.28247135877609253,0.307751327753067,0.2861039936542511,0.266654908657074,0.22068817913532257,0.16953514516353607
phagocytic,0.4564211368560791,0.2977920472621918,0.2480984926223755,0.3052201569080353,0.22393812239170074,0.6021961569786072,0.6923352479934692,0.24065247178077698
cells,0.4262334406375885,0.22068817913532257,0.1758001297712326,0.24291619658470154,0.21305565536022186,0.5300963521003723,1.0,0.1898086667060852
",",0.2555769681930542,0.27166152000427246,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.15102852880954742,0.20582014322280884,0.31091248989105225
but,0.2886926233768463,0.37954673171043396,0.5029441118240356,0.3482404947280884,0.39942997694015503,0.2497076690196991,0.2235100120306015,0.27921953797340393
many,0.3341540992259979,0.35315069556236267,0.36131182312965393,0.3219348192214966,0.37253960967063904,0.2700537145137787,0.2433140128850937,0.2124512493610382
plant,0.8344468474388123,0.19290082156658173,0.23371253907680511,0.23688256740570068,0.26645857095718384,0.22660516202449799,0.3855547606945038,0.16613075137138367
immune,0.26676440238952637,0.266654908657074,0.2410416603088379,0.2694495916366577,0.16620753705501556,1.0,0.5300963521003723,0.16080476343631744
responses,0.3095467984676361,0.34668320417404175,0.3741379678249359,0.23561710119247437,0.202371284365654,0.4776917099952698,0.40830740332603455,0.23588258028030396
involve,0.2588770389556885,0.32053956389427185,0.2820183336734772,0.28994107246398926,0.29347991943359375,0.24649116396903992,0.1978907287120819,0.21596334874629974
systemic,0.2968589663505554,0.37005797028541565,0.2481229603290558,0.2386695295572281,0.23514685034751892,0.4709692895412445,0.3815658688545227,0.21462444961071014
chemical,0.36466869711875916,0.21508750319480896,0.26249468326568604,0.22981880605220795,0.22874756157398224,0.2623310089111328,0.3261864185333252,0.2040288895368576
signals,0.24980661273002625,0.22509688138961792,0.2608519196510315,0.23559540510177612,0.20960435271263123,0.34150707721710205,0.37469714879989624,0.09948804974555969
that,0.27574244141578674,0.3709861636161804,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.30237793922424316,0.2709589898586273,0.32716336846351624
are,0.35990846157073975,0.32981225848197937,0.29724663496017456,0.296465665102005,0.39081433415412903,0.23878547549247742,0.2908284366130829,0.24591213464736938
sent,0.12345641851425171,0.019118309020996094,0.19595611095428467,0.13558264076709747,0.28923630714416504,0.1713567078113556,0.20037323236465454,0.10903520882129669
through,0.20772607624530792,0.2548578679561615,0.23167094588279724,0.20041711628437042,0.3647414743900299,0.12127729505300522,0.20572780072689056,0.16913433372974396
a,0.21329157054424286,0.20266364514827728,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.20466765761375427,0.2297232300043106,0.23916715383529663
plant,0.8344468474388123,0.19290082156658173,0.23371253907680511,0.23688256740570068,0.26645857095718384,0.22660516202449799,0.3855547606945038,0.16613075137138367
.,0.2542511522769928,0.21505410969257355,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.18267881870269775,0.2868211269378662,0.4130953550338745
