,dendritic,cells,are,named,that,because,they,resemble,what,?
they,0.3056130111217499,0.3539968729019165,0.610666811466217,0.2219296544790268,0.5710820555686951,0.5550463795661926,0.9999999403953552,0.32287055253982544,0.4431931674480438,0.2753053903579712
are,0.26048845052719116,0.2908284366130829,1.0,0.1775832623243332,0.45265161991119385,0.43093472719192505,0.610666811466217,0.3527396321296692,0.29724663496017456,0.24591213464736938
named,0.11091019958257675,0.12533555924892426,0.1775832623243332,1.0,0.2836160957813263,0.26828595995903015,0.2219296544790268,0.17374882102012634,0.1525408923625946,0.1297498345375061
for,0.1565566211938858,0.18419811129570007,0.3895993232727051,0.22057102620601654,0.4137635827064514,0.4676002562046051,0.3466525673866272,0.1668606996536255,0.3017193675041199,0.264628142118454
their,0.29180893301963806,0.2534589171409607,0.46887820959091187,0.15600357949733734,0.4266771972179413,0.43909528851509094,0.7104025483131409,0.2637515366077423,0.35142919421195984,0.1898253709077835
resemblance,0.2677474617958069,0.22913147509098053,0.2983793020248413,0.22743463516235352,0.35994526743888855,0.3127572536468506,0.2894268333911896,0.7949221134185791,0.26617148518562317,0.1501987725496292
to,0.22846071422100067,0.26320719718933105,0.3504326641559601,0.23689822852611542,0.5436353087425232,0.5166091918945312,0.5452046394348145,0.24356834590435028,0.455847829580307,0.29463258385658264
neuronal,0.5676307678222656,0.5027299523353577,0.23161524534225464,0.048031341284513474,0.2537422180175781,0.20075736939907074,0.2511439025402069,0.1793292909860611,0.19979818165302277,0.10192084312438965
dendrites,0.856433629989624,0.5460737943649292,0.3371272385120392,0.13889262080192566,0.2967672348022461,0.23576012253761292,0.34234264492988586,0.2616960108280182,0.2502988278865814,0.16671940684318542
",",0.18923504650592804,0.20582014322280884,0.4062570035457611,0.2530003488063812,0.4137537479400635,0.372031033039093,0.390799880027771,0.23286770284175873,0.3087472915649414,0.31091248989105225
as,0.17491385340690613,0.2328435331583023,0.3826591968536377,0.2754245400428772,0.4735107421875,0.42073941230773926,0.3294360637664795,0.26570940017700195,0.31749409437179565,0.27043893933296204
both,0.1833556890487671,0.21880505979061127,0.4594642221927643,0.2292395681142807,0.4532228112220764,0.4347982704639435,0.45432183146476746,0.26508834958076477,0.3361809551715851,0.19455738365650177
have,0.29365861415863037,0.294906347990036,0.6577680706977844,0.18059904873371124,0.6182622313499451,0.5794309377670288,0.6542890071868896,0.4165514409542084,0.39808809757232666,0.32991164922714233
many,0.2725059390068054,0.2433140128850937,0.5655534863471985,0.2136070877313614,0.5391656160354614,0.5294432640075684,0.5400822758674622,0.2566196918487549,0.36131182312965393,0.2124512493610382
spine-like,0.4341002106666565,0.3153185248374939,0.31291863322257996,0.14326857030391693,0.33558526635169983,0.31976330280303955,0.3348846137523651,0.5053607821464539,0.2810169756412506,0.22115494310855865
projections,0.3310467600822449,0.30307692289352417,0.320087730884552,0.10485420376062393,0.277069628238678,0.19598202407360077,0.23108255863189697,0.2703275680541992,0.24621178209781647,0.26596105098724365
",",0.18923504650592804,0.20582014322280884,0.4062570035457611,0.2530003488063812,0.4137537479400635,0.372031033039093,0.390799880027771,0.23286770284175873,0.3087472915649414,0.31091248989105225
but,0.20021595060825348,0.2235100120306015,0.47990062832832336,0.1936342567205429,0.7244205474853516,0.6638238430023193,0.5579894781112671,0.35556137561798096,0.5029441118240356,0.27921953797340393
dendritic,1.0000001192092896,0.5787720084190369,0.26048845052719116,0.11091019958257675,0.2738852798938751,0.19586512446403503,0.3056130111217499,0.2624127268791199,0.21291865408420563,0.16278338432312012
cells,0.5787720084190369,1.0,0.2908284366130829,0.12533555924892426,0.2709589898586273,0.25664424896240234,0.3539968729019165,0.23887093365192413,0.1758001297712326,0.1898086667060852
are,0.26048845052719116,0.2908284366130829,1.0,0.1775832623243332,0.45265161991119385,0.43093472719192505,0.610666811466217,0.3527396321296692,0.29724663496017456,0.24591213464736938
in,0.20291747152805328,0.1711641103029251,0.3841303884983063,0.28130269050598145,0.435920387506485,0.37423941493034363,0.4330179989337921,0.21878932416439056,0.30808621644973755,0.20430970191955566
no,0.14874233305454254,0.17989303171634674,0.2432553917169571,0.12470421195030212,0.41830796003341675,0.32473182678222656,0.3022885322570801,0.14585480093955994,0.339326947927475,0.32165053486824036
way,0.27596062421798706,0.27734529972076416,0.3754369020462036,0.17238806188106537,0.5086538195610046,0.498788982629776,0.41797083616256714,0.2165994495153427,0.4835909903049469,0.31575819849967957
connected,0.2722451388835907,0.19884426891803741,0.33255407214164734,0.17965056002140045,0.29687508940696716,0.27859294414520264,0.2579641342163086,0.2756465971469879,0.21880124509334564,0.11086785048246384
to,0.22846071422100067,0.26320719718933105,0.3504326641559601,0.23689822852611542,0.5436353087425232,0.5166091918945312,0.5452046394348145,0.24356834590435028,0.455847829580307,0.29463258385658264
the,0.22784094512462616,0.19095487892627716,0.40399202704429626,0.3521348536014557,0.5473989248275757,0.44596394896507263,0.49925389885902405,0.25901395082473755,0.42745697498321533,0.22068053483963013
nervous,0.4446769952774048,0.4194115698337555,0.19935551285743713,0.10254783928394318,0.2615948021411896,0.22855336964130402,0.31027403473854065,0.19156156480312347,0.28047090768814087,0.171977236866951
system,0.3510870039463043,0.29856014251708984,0.21917270123958588,0.11015436053276062,0.3088737428188324,0.2626553177833557,0.24734781682491302,0.12240464240312576,0.23557309806346893,0.15556083619594574
.,0.22291165590286255,0.2868211269378662,0.3452940285205841,0.24760639667510986,0.4460422694683075,0.45765790343284607,0.4510921239852905,0.17686687409877777,0.3567904531955719,0.4130953550338745
