,what,did,polo,call,the,yuan,capital,?
the,0.42745697498321533,0.34736719727516174,0.2024979293346405,0.26640447974205017,1.0,0.2548272907733917,0.3049491047859192,0.22068053483963013
most,0.3219912350177765,0.2822507321834564,0.14612361788749695,0.23111692070960999,0.47635307908058167,0.1373920887708664,0.20925267040729523,0.2107497900724411
famous,0.1616666167974472,0.22946208715438843,0.17867901921272278,0.18407222628593445,0.28616565465927124,0.09327050298452377,0.2251317799091339,0.10379006713628769
traveler,0.21778053045272827,0.14433924853801727,0.25404641032218933,0.1099490150809288,0.2594796121120453,0.17649301886558533,0.20741623640060425,0.14112651348114014
of,0.33290785551071167,0.2513895630836487,0.14895640313625336,0.2378445267677307,0.733189046382904,0.22696353495121002,0.30823585391044617,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.2024979293346405,0.26640447974205017,1.0,0.2548272907733917,0.3049491047859192,0.22068053483963013
period,0.24507179856300354,0.1760309934616089,0.09281179308891296,0.15469126403331757,0.3125074505805969,0.19361332058906555,0.21387292444705963,0.18706195056438446
was,0.22111038863658905,0.41399896144866943,0.19987893104553223,0.16074088215827942,0.48711544275283813,0.19482262432575226,0.21907466650009155,0.18412111699581146
the,0.42745697498321533,0.34736719727516174,0.2024979293346405,0.26640447974205017,1.0,0.2548272907733917,0.3049491047859192,0.22068053483963013
venetian,0.1511581540107727,0.1293005347251892,0.3033842444419861,0.036770839244127274,0.21322013437747955,0.25396236777305603,0.15995679795742035,0.09660717099905014
marco,0.13363252580165863,0.20108899474143982,0.46034806966781616,0.08331067860126495,0.19851668179035187,0.1233331561088562,0.11239065229892731,0.14696723222732544
polo,0.0791943222284317,0.16635368764400482,1.0,-0.0025945892557501793,0.2024979293346405,0.10608011484146118,0.06145837530493736,0.10919596254825592
",",0.3087472915649414,0.3015086054801941,0.22882264852523804,0.2670435905456543,0.4933079481124878,0.20958951115608215,0.28033894300460815,0.31091248989105225
whose,0.22831642627716064,0.197230726480484,0.10226613283157349,0.11232279986143112,0.38253846764564514,0.153978630900383,0.12282097339630127,0.16990536451339722
account,0.27991923689842224,0.2239866405725479,0.06185473874211311,0.12615050375461578,0.21117976307868958,0.17162495851516724,0.175898939371109,0.34417325258255005
of,0.33290785551071167,0.2513895630836487,0.14895640313625336,0.2378445267677307,0.733189046382904,0.22696353495121002,0.30823585391044617,0.1826142966747284
his,0.26976513862609863,0.3546801507472992,0.20779156684875488,0.08363278955221176,0.4394008219242096,0.20877203345298767,0.12485896795988083,0.18075084686279297
trip,0.24576207995414734,0.17639218270778656,0.25664979219436646,0.11385340243577957,0.2299763560295105,0.15819208323955536,0.13146619498729706,0.09162633121013641
to,0.455847829580307,0.4452643394470215,0.22384761273860931,0.27641981840133667,0.535392165184021,0.1499021351337433,0.1844596415758133,0.29463258385658264
``,0.008517155423760414,-0.029888948425650597,-0.014432636089622974,0.11138522624969482,0.029072100296616554,0.12237913906574249,0.14263363182544708,0.0685480609536171
cambaluc,0.22844229638576508,0.1536760926246643,0.3260068893432617,0.1731962114572525,0.2957697808742523,0.35683542490005493,0.3641166687011719,0.21621865034103394
",",0.3087472915649414,0.3015086054801941,0.22882264852523804,0.2670435905456543,0.4933079481124878,0.20958951115608215,0.28033894300460815,0.31091248989105225
'',0.08143015950918198,0.01978493109345436,0.039574187248945236,-0.01835283823311329,0.041273195296525955,0.044363681226968765,0.042600397020578384,0.018684765323996544
the,0.42745697498321533,0.34736719727516174,0.2024979293346405,0.26640447974205017,1.0,0.2548272907733917,0.3049491047859192,0.22068053483963013
capital,0.17967931926250458,0.08427972346544266,0.06145837530493736,0.1570037603378296,0.3049491047859192,0.2223503291606903,0.9999999403953552,0.0907452180981636
of,0.33290785551071167,0.2513895630836487,0.14895640313625336,0.2378445267677307,0.733189046382904,0.22696353495121002,0.30823585391044617,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.2024979293346405,0.26640447974205017,1.0,0.2548272907733917,0.3049491047859192,0.22068053483963013
great,0.2562883198261261,0.2083706259727478,0.1584792286157608,0.10888271778821945,0.2822027802467346,0.1734679937362671,0.10602787137031555,0.13135133683681488
khan,0.16476042568683624,0.155345618724823,0.21376383304595947,0.06552921235561371,0.21067845821380615,0.4321361780166626,0.19148284196853638,0.12862591445446014
",",0.3087472915649414,0.3015086054801941,0.22882264852523804,0.2670435905456543,0.4933079481124878,0.20958951115608215,0.28033894300460815,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.20805776119232178,0.237839937210083,0.5171257257461548,0.22359056770801544,0.218168243765831,0.20544172823429108
of,0.33290785551071167,0.2513895630836487,0.14895640313625336,0.2378445267677307,0.733189046382904,0.22696353495121002,0.30823585391044617,0.1826142966747284
life,0.24693015217781067,0.22298283874988556,0.1392442286014557,0.17839482426643372,0.23528170585632324,0.09078527987003326,0.11945473402738571,0.21677987277507782
there,0.35085538029670715,0.29736605286598206,0.17447884380817413,0.2362981140613556,0.47025805711746216,0.15268465876579285,0.2538107633590698,0.29405656456947327
astounded,0.2618355453014374,0.2311154156923294,0.1541767418384552,0.2019699513912201,0.3188866078853607,0.1642656773328781,0.19833815097808838,0.2249496728181839
the,0.42745697498321533,0.34736719727516174,0.2024979293346405,0.26640447974205017,1.0,0.2548272907733917,0.3049491047859192,0.22068053483963013
people,0.32444337010383606,0.26765021681785583,0.13031165301799774,0.23512545228004456,0.36838498711586,0.17908108234405518,0.30024683475494385,0.23739641904830933
of,0.33290785551071167,0.2513895630836487,0.14895640313625336,0.2378445267677307,0.733189046382904,0.22696353495121002,0.30823585391044617,0.1826142966747284
europe,0.17179538309574127,0.22473940253257751,0.2073216736316681,0.1150444969534874,0.34463706612586975,0.14178523421287537,0.13800553977489471,0.18278923630714417
.,0.3567904531955719,0.35288307070732117,0.24272365868091583,0.2601918876171112,0.5934505462646484,0.17233723402023315,0.23657599091529846,0.4130953550338745
