,which,hotel,did,the,broncos,use,for,super,bowl,50,?
the,0.6521818041801453,0.22439035773277283,0.34736719727516174,1.0,0.25985947251319885,0.34342584013938904,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
broncos,0.22873279452323914,0.20121020078659058,0.1738176792860031,0.25985947251319885,1.0000001192092896,0.1432536393404007,0.2739109396934509,0.36141330003738403,0.4351775348186493,0.055216576904058456,0.18377114832401276
practiced,0.2163391262292862,0.15675993263721466,0.2674696445465088,0.20430389046669006,0.15887229144573212,0.23040857911109924,0.235825777053833,0.1582890897989273,0.0968894362449646,-0.02269597351551056,0.07469849288463593
at,0.3286694884300232,0.2675158977508545,0.28390252590179443,0.457212895154953,0.23374907672405243,0.22117964923381805,0.34237727522850037,0.11449114978313446,0.2709662914276123,-0.018447641283273697,0.21978627145290375
stanford,0.17428313195705414,0.1410304456949234,0.16381965577602386,0.2224142998456955,0.33789780735969543,0.14585302770137787,0.2074219435453415,0.052280448377132416,0.18563611805438995,-0.12461279332637787,0.14956782758235931
university,0.17800195515155792,0.24577596783638,0.15114416182041168,0.263973206281662,0.32310593128204346,0.11275046318769455,0.18573740124702454,0.1637851893901825,0.19439272582530975,-0.050331298261880875,0.11887256056070328
and,0.506277859210968,0.236335888504982,0.34479495882987976,0.5171257257461548,0.20959050953388214,0.34145063161849976,0.5064792633056641,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.20544172823429108
stayed,0.17874722182750702,0.2624438405036926,0.42530572414398193,0.3768083155155182,0.14158828556537628,0.12901057302951813,0.28956151008605957,0.11240817606449127,0.09769733995199203,-0.018136022612452507,0.06590735167264938
at,0.3286694884300232,0.2675158977508545,0.28390252590179443,0.457212895154953,0.23374907672405243,0.22117964923381805,0.34237727522850037,0.11449114978313446,0.2709662914276123,-0.018447641283273697,0.21978627145290375
the,0.6521818041801453,0.22439035773277283,0.34736719727516174,1.0,0.25985947251319885,0.34342584013938904,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
santa,0.21508361399173737,0.11733461171388626,0.11785970628261566,0.23511074483394623,0.272367924451828,0.1093720942735672,0.16627219319343567,0.13846853375434875,0.1749918907880783,-0.04490520805120468,0.17321589589118958
clara,0.2150997519493103,0.16645726561546326,0.15096807479858398,0.2410326898097992,0.23439905047416687,0.09656766057014465,0.12105634063482285,0.14021645486354828,0.06447336077690125,-0.020092638209462166,0.11961202323436737
marriott,0.1417231261730194,0.29194286465644836,0.17210820317268372,0.2137458175420761,0.2674105763435364,0.08940110355615616,0.14851361513137817,0.14434106647968292,0.15091544389724731,0.003585042664781213,0.16338540613651276
.,0.45942068099975586,0.21866577863693237,0.35288307070732117,0.5934505462646484,0.2612393796443939,0.3711656630039215,0.4726039469242096,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
