,who,developed,the,actinide,concept,?
past,0.3421076834201813,0.1536778211593628,0.2747827172279358,0.12397162616252899,0.1870679408311844,0.2598046660423279
faculty,0.1587153673171997,0.14025560021400452,0.19605974853038788,0.18546465039253235,0.10217707604169846,0.04951627925038338
have,0.39246654510498047,0.27746251225471497,0.40389683842658997,0.25349557399749756,0.2738856375217438,0.32991164922714233
also,0.47919341921806335,0.22669373452663422,0.6021018624305725,0.26680946350097656,0.23729993402957916,0.21848613023757935
included,0.19250646233558655,0.2704426944255829,0.3825419843196869,0.1869387924671173,0.194364532828331,0.14385655522346497
egyptologist,0.29034748673439026,0.21150438487529755,0.23921959102153778,0.22980915009975433,0.16484187543392181,0.20073141157627106
james,0.2562035918235779,0.12425936758518219,0.22481533885002136,0.11701790988445282,0.10791892558336258,0.12139993160963058
henry,0.29137110710144043,0.10627074539661407,0.2542637586593628,0.1543574333190918,0.15672697126865387,0.16836383938789368
breasted,0.15127740800380707,0.21618235111236572,0.2723764479160309,0.22608692944049835,0.12308047711849213,0.15987545251846313
",",0.3365725874900818,0.24565434455871582,0.4933079481124878,0.25550368428230286,0.20029692351818085,0.31091248989105225
mathematician,0.2499830722808838,0.22953809797763824,0.1224498599767685,0.26381349563598633,0.2691917419433594,0.11787978559732437
alberto,0.21359701454639435,0.14028167724609375,0.1584240347146988,0.14037038385868073,0.11846170574426651,0.13585834205150604
calderón,0.22475150227546692,0.1046595647931099,0.23859776556491852,0.13476121425628662,0.09000062197446823,0.13828477263450623
",",0.3365725874900818,0.24565434455871582,0.4933079481124878,0.25550368428230286,0.20029692351818085,0.31091248989105225
nobel,0.23225803673267365,0.17187276482582092,0.1909446120262146,0.2739783525466919,0.1547473520040512,0.15008176863193512
prize,0.20312342047691345,0.11834082007408142,0.18969248235225677,0.20065760612487793,0.15619195997714996,0.14158497750759125
winning,0.24573363363742828,0.10069157183170319,0.30045071244239807,0.11592365056276321,0.15353819727897644,0.1251823455095291
economist,0.21729455888271332,0.16008053719997406,0.1439521312713623,0.11327898502349854,0.18195922672748566,0.15311987698078156
and,0.41279885172843933,0.25542938709259033,0.5171257257461548,0.19974622130393982,0.22126320004463196,0.20544172823429108
classical,0.16558916866779327,0.26243114471435547,0.20384269952774048,0.23387162387371063,0.30840662121772766,0.18862907588481903
liberalism,0.20893380045890808,0.22463639080524445,0.20402196049690247,0.1722477674484253,0.3654356300830841,0.17654304206371307
defender,0.257992148399353,0.08360358327627182,0.23814363777637482,0.1970140039920807,0.09462374448776245,0.22172915935516357
friedrich,0.22862009704113007,0.13866329193115234,0.19149547815322876,0.22595350444316864,0.17222140729427338,0.19029006361961365
hayek,0.23764941096305847,0.18182946741580963,0.1756027340888977,0.11840887367725372,0.2861028015613556,0.17380668222904205
",",0.3365725874900818,0.24565434455871582,0.4933079481124878,0.25550368428230286,0.20029692351818085,0.31091248989105225
meteorologist,0.22703714668750763,0.16571961343288422,0.22676584124565125,0.20807093381881714,0.13884909451007843,0.19712631404399872
