,what,kind,of,membrane,do,primary,chloroplasts,have,?
while,0.35511791706085205,0.18236218392848969,0.3366928696632385,0.18684063851833344,0.3032379448413849,0.1894138604402542,0.23798267543315887,0.3577405512332916,0.21076419949531555
primary,0.2113915979862213,0.14059722423553467,0.23414276540279388,0.13038849830627441,0.21139554679393768,1.0,0.27425846457481384,0.21564412117004395,0.16286636888980865
chloroplasts,0.2524593770503998,0.25487130880355835,0.23179760575294495,0.6331068873405457,0.2621478736400604,0.27425846457481384,0.9999999403953552,0.29091566801071167,0.13049766421318054
have,0.39808809757232666,0.31829583644866943,0.3802283704280853,0.303412526845932,0.49831271171569824,0.21564412117004395,0.29091566801071167,0.9999999403953552,0.32991164922714233
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.18843622505664825,0.26237669587135315,0.23038449883460999,0.24622295796871185,0.338716596364975,0.23916715383529663
double,0.16209302842617035,0.17367178201675415,0.18580502271652222,0.22057689726352692,0.12869450449943542,0.09417456388473511,0.26824215054512024,0.2026015967130661,0.10017921775579453
membrane,0.1647152304649353,0.22168909013271332,0.22049079835414886,0.9999999403953552,0.2031068652868271,0.13038849830627441,0.6331068873405457,0.303412526845932,0.18908235430717468
from,0.2737620174884796,0.1906990259885788,0.4249346852302551,0.18636633455753326,0.20424067974090576,0.22633430361747742,0.21740731596946716,0.30702701210975647,0.19969791173934937
their,0.35142919421195984,0.23866921663284302,0.4329940676689148,0.24484595656394958,0.35424983501434326,0.2395368069410324,0.2906811833381653,0.523270845413208,0.1898253709077835
cyanobacterial,0.2474752515554428,0.28184425830841064,0.2770022451877594,0.5107813477516174,0.26984429359436035,0.2557772397994995,0.708339273929596,0.3840905725955963,0.19054965674877167
ancestor,0.16140799224376678,0.19254747033119202,0.23326565325260162,0.22641967236995697,0.16347050666809082,0.15992778539657593,0.3018394708633423,0.29906484484672546,0.14805565774440765
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.18095634877681732,0.3283645510673523,0.2565748989582062,0.20794041454792023,0.3541618287563324,0.31091248989105225
secondary,0.20388361811637878,0.13038381934165955,0.219074085354805,0.190712109208107,0.2064705789089203,0.6853594779968262,0.2724728286266327,0.26402509212493896,0.18118004500865936
chloroplasts,0.2524593770503998,0.25487130880355835,0.23179760575294495,0.6331068873405457,0.2621478736400604,0.27425846457481384,0.9999999403953552,0.29091566801071167,0.13049766421318054
have,0.39808809757232666,0.31829583644866943,0.3802283704280853,0.303412526845932,0.49831271171569824,0.21564412117004395,0.29091566801071167,0.9999999403953552,0.32991164922714233
additional,0.20172064006328583,0.22027266025543213,0.2518594264984131,0.20345109701156616,0.2308490127325058,0.24885830283164978,0.198472261428833,0.3269815742969513,0.24309562146663666
membranes,0.18834297358989716,0.21400325000286102,0.23994219303131104,0.9437052011489868,0.2719106078147888,0.14965280890464783,0.6635266542434692,0.3564684987068176,0.20524227619171143
outside,0.3224688768386841,0.1868113875389099,0.2973117530345917,0.3123866021633148,0.18878477811813354,0.22254540026187897,0.27201882004737854,0.33875420689582825,0.14839068055152893
of,0.33290785551071167,0.2285657674074173,1.0,0.22049079835414886,0.26150479912757874,0.23414276540279388,0.23179760575294495,0.3802283704280853,0.1826142966747284
