,how,many,people,attended,the,2003,ipcc,meeting,?
attendance,0.07570963352918625,0.16064175963401794,0.22031594812870026,0.5260752439498901,0.24430257081985474,-0.08861711621284485,0.19713076949119568,0.3543718159198761,0.16877901554107666
at,0.2154216170310974,0.2716965675354004,0.2582513391971588,0.41725796461105347,0.457212895154953,-0.22680194675922394,0.21482627093791962,0.2620472311973572,0.21978627145290375
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.2369099110364914,1.0,-0.14761915802955627,0.24925659596920013,0.3390691578388214,0.22068053483963013
2003,-0.1490505337715149,-0.10603365302085876,-0.1357971578836441,-0.1483527272939682,-0.14761915802955627,1.0,-0.10945271700620651,-0.13407190144062042,-0.17560148239135742
meeting,0.19107800722122192,0.23824088275432587,0.2296367734670639,0.3869592845439911,0.3390691578388214,-0.13407190144062042,0.35303738713264465,0.9999998807907104,0.1329771876335144
included,0.13500849902629852,0.37090563774108887,0.16624505817890167,0.29762399196624756,0.3825419843196869,0.005225899163633585,0.12195993959903717,0.19208241999149323,0.14385655522346497
350,-0.0005393234896473587,-0.0667697861790657,-0.0016598724760115147,-0.0643545612692833,-0.050136733800172806,0.06228923052549362,0.01924835704267025,0.02372303232550621,-0.04623246565461159
government,0.21719732880592346,0.27652618288993835,0.351580411195755,0.17809845507144928,0.31798112392425537,-0.16517457365989685,0.3235599100589752,0.25274544954299927,0.18851417303085327
officials,0.1970158815383911,0.2677854299545288,0.40876075625419617,0.3008228838443756,0.36026763916015625,-0.17500261962413788,0.2907181978225708,0.3356577455997467,0.1505519449710846
and,0.33647966384887695,0.5296266674995422,0.3016039729118347,0.24860189855098724,0.5171257257461548,-0.15655243396759033,0.20790739357471466,0.23922012746334076,0.20544172823429108
climate,0.23680974543094635,0.22610758244991302,0.19744884967803955,0.13281293213367462,0.2693597674369812,-0.1784709393978119,0.5031722187995911,0.24275198578834534,0.19998492300510406
change,0.3957580626010895,0.2714919149875641,0.2221015989780426,0.09232694655656815,0.3641999065876007,-0.1563185751438141,0.34827950596809387,0.16771280765533447,0.24115969240665436
experts,0.3150474727153778,0.40108194947242737,0.3305327594280243,0.23688305914402008,0.29114848375320435,-0.17700164020061493,0.43193256855010986,0.2492140829563141,0.19090798497200012
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.2017192840576172,0.5934505462646484,-0.226094052195549,0.20098818838596344,0.23260334134101868,0.4130953550338745
