,besides,fats,",",fatty,acids,",",and,amino,acids,",",what,other,organic,compounds,contain,oxygen,?
all,0.3794899880886078,0.22310838103294373,0.425624817609787,0.20245200395584106,0.23301301896572113,0.425624817609787,0.4542157053947449,0.26858580112457275,0.23301301896572113,0.425624817609787,0.41981086134910583,0.5273400545120239,0.2331121563911438,0.26393139362335205,0.35190483927726746,0.22770634293556213,0.29575422406196594
fats,0.25680938363075256,1.0000001192092896,0.3106197416782379,0.6754617094993591,0.573259174823761,0.3106197416782379,0.30493950843811035,0.49287715554237366,0.573259174823761,0.3106197416782379,0.21993222832679749,0.29106608033180237,0.3869871199131012,0.41076672077178955,0.31344425678253174,0.36789077520370483,0.18616339564323425
",",0.340058833360672,0.3106197416782379,1.0000001192092896,0.23329497873783112,0.21752727031707764,1.0000001192092896,0.6633074283599854,0.20001006126403809,0.21752727031707764,1.0000001192092896,0.3087472915649414,0.4446498453617096,0.18750765919685364,0.20700839161872864,0.24384500086307526,0.21812842786312103,0.31091248989105225
fatty,0.2338458150625229,0.6754617094993591,0.23329497873783112,0.9999999403953552,0.6105914115905762,0.23329497873783112,0.24811454117298126,0.5361420512199402,0.6105914115905762,0.23329497873783112,0.17681722342967987,0.28732818365097046,0.41684943437576294,0.45208272337913513,0.4273507297039032,0.4243384599685669,0.1798095852136612
acids,0.18813005089759827,0.573259174823761,0.21752727031707764,0.6105914115905762,1.0,0.21752727031707764,0.25245988368988037,0.7611264586448669,1.0,0.21752727031707764,0.16600719094276428,0.26639893651008606,0.5559310913085938,0.6170958876609802,0.43845081329345703,0.4909030497074127,0.179454505443573
",",0.340058833360672,0.3106197416782379,1.0000001192092896,0.23329497873783112,0.21752727031707764,1.0000001192092896,0.6633074283599854,0.20001006126403809,0.21752727031707764,1.0000001192092896,0.3087472915649414,0.4446498453617096,0.18750765919685364,0.20700839161872864,0.24384500086307526,0.21812842786312103,0.31091248989105225
amino,0.19586412608623505,0.49287715554237366,0.20001006126403809,0.5361420512199402,0.7611264586448669,0.20001006126403809,0.23222345113754272,1.0,0.7611264586448669,0.20001006126403809,0.19441649317741394,0.2604832053184509,0.481711208820343,0.4933541417121887,0.42571502923965454,0.422418475151062,0.17202535271644592
acids,0.18813005089759827,0.573259174823761,0.21752727031707764,0.6105914115905762,1.0,0.21752727031707764,0.25245988368988037,0.7611264586448669,1.0,0.21752727031707764,0.16600719094276428,0.26639893651008606,0.5559310913085938,0.6170958876609802,0.43845081329345703,0.4909030497074127,0.179454505443573
",",0.340058833360672,0.3106197416782379,1.0000001192092896,0.23329497873783112,0.21752727031707764,1.0000001192092896,0.6633074283599854,0.20001006126403809,0.21752727031707764,1.0000001192092896,0.3087472915649414,0.4446498453617096,0.18750765919685364,0.20700839161872864,0.24384500086307526,0.21812842786312103,0.31091248989105225
and,0.3610946238040924,0.30493950843811035,0.6633074283599854,0.24811454117298126,0.25245988368988037,0.6633074283599854,1.0,0.23222345113754272,0.25245988368988037,0.6633074283599854,0.31309178471565247,0.5504306554794312,0.1979406476020813,0.25433242321014404,0.3066939413547516,0.22261030972003937,0.20544172823429108
proteins,0.20252802968025208,0.47387629747390747,0.1900382786989212,0.5713076591491699,0.6808497309684753,0.1900382786989212,0.2611044645309448,0.7018316984176636,0.6808497309684753,0.1900382786989212,0.21361225843429565,0.263568639755249,0.48515060544013977,0.46413254737854004,0.41723665595054626,0.4362223148345947,0.18469302356243134
contain,0.30210477113723755,0.31344425678253174,0.24384500086307526,0.4273507297039032,0.43845081329345703,0.24384500086307526,0.3066939413547516,0.42571502923965454,0.43845081329345703,0.24384500086307526,0.1832355558872223,0.4202895164489746,0.322679728269577,0.4419889748096466,1.0,0.2880042791366577,0.18853069841861725
oxygen,0.08866037428379059,0.36789077520370483,0.21812842786312103,0.4243384599685669,0.4909030497074127,0.21812842786312103,0.22261030972003937,0.422418475151062,0.4909030497074127,0.21812842786312103,0.16781960427761078,0.2354368269443512,0.44130775332450867,0.514471173286438,0.2880042791366577,0.9999999403953552,0.16786395013332367
