,how,many,victorians,are,buddhist,?
buddhism,0.19052346050739288,0.21099953353405,0.23456858098506927,0.18097570538520813,0.8597842454910278,0.18768428266048431
is,0.22544461488723755,0.2649032473564148,0.16473737359046936,0.5330929756164551,0.14551135897636414,0.22961433231830597
the,0.33890387415885925,0.4335206151008606,0.30154773592948914,0.40399202704429626,0.20901480317115784,0.22068053483963013
state,0.15028610825538635,0.23203584551811218,0.21462032198905945,0.19951030611991882,0.14544105529785156,0.1160883978009224
's,-0.026164190843701363,0.01698932610452175,0.09734465181827545,-0.008927806280553341,-0.013375618495047092,-0.023395681753754616
largest,0.08743762224912643,0.23644231259822845,0.13266420364379883,0.23992078006267548,0.08216585963964462,0.12401245534420013
non-christian,0.11748190969228745,0.1969640702009201,0.18802233040332794,0.17146563529968262,0.3475887179374695,0.21195486187934875
religion,0.24073021113872528,0.24069900810718536,0.22623194754123688,0.1752774864435196,0.45827507972717285,0.2503177225589752
",",0.22659391164779663,0.40610817074775696,0.21458443999290466,0.4062570035457611,0.17548716068267822,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.1879289746284485,0.38996943831443787,0.12082725018262863,0.2433311939239502
"168,637",-0.09611403197050095,0.04255366697907448,-0.06311377137899399,0.010187914595007896,-0.05153853818774223,-0.17663085460662842
members,0.20418256521224976,0.25127971172332764,0.24890638887882233,0.31528955698013306,0.10952968150377274,0.10212311148643494
as,0.33782753348350525,0.4070141911506653,0.24589599668979645,0.3826591968536377,0.15296365320682526,0.27043893933296204
of,0.2480744868516922,0.37253960967063904,0.29739347100257874,0.39081433415412903,0.27792954444885254,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.30154773592948914,0.40399202704429626,0.20901480317115784,0.22068053483963013
most,0.311336874961853,0.6236066222190857,0.2733857035636902,0.48698675632476807,0.1647499054670334,0.2107497900724411
recent,0.2783147990703583,0.38218390941619873,0.2677163779735565,0.2818499803543091,0.16812866926193237,0.2544887959957123
census,0.1627962440252304,0.1990179419517517,0.15685582160949707,0.14539827406406403,0.1298017054796219,0.12548218667507172
.,0.3287222981452942,0.3974229395389557,0.22587034106254578,0.3452940285205841,0.19625234603881836,0.4130953550338745
