,who,was,brought,it,to,work,on,the,museum,after,the,death,of,captain,francis,fowke,?
with,0.3282766342163086,0.27411898970603943,0.327576220035553,0.3369046747684479,0.4239959120750427,0.2649822533130646,0.40749499201774597,0.4223487675189972,0.08185859024524689,0.33843478560447693,0.4223487675189972,0.171040341258049,0.41827285289764404,0.16747425496578217,0.16552497446537018,0.2178070992231369,0.2433311939239502
the,0.3733934462070465,0.48711544275283813,0.32700833678245544,0.6251175999641418,0.535392165184021,0.2704800069332123,0.5107308030128479,1.0,0.24861779808998108,0.4565047025680542,1.0,0.21438048779964447,0.733189046382904,0.2267821580171585,0.25598275661468506,0.3325461149215698,0.22068053483963013
death,0.20302973687648773,0.28516459465026855,0.17704704403877258,0.16903388500213623,0.19568277895450592,0.21540111303329468,0.16915851831436157,0.21438048779964447,0.11271750926971436,0.2794583737850189,0.21438048779964447,0.9999998807907104,0.23778599500656128,0.20633955299854279,0.1172601729631424,0.19354507327079773,0.21149799227714539
of,0.2827862501144409,0.4069072902202606,0.3339962065219879,0.38761502504348755,0.41548454761505127,0.23473061621189117,0.3966929316520691,0.733189046382904,0.23314370214939117,0.3867455720901489,0.733189046382904,0.23778599500656128,1.0,0.12030947953462601,0.2373954951763153,0.32606780529022217,0.1826142966747284
captain,0.34573128819465637,0.24411873519420624,0.20464923977851868,0.1780954748392105,0.19193781912326813,0.06450115889310837,0.1531532108783722,0.2267821580171585,0.128316268324852,0.2239951193332672,0.2267821580171585,0.20633955299854279,0.12030947953462601,1.0000001192092896,0.24677148461341858,0.16795551776885986,0.12160754203796387
francis,0.26085689663887024,0.3005248010158539,0.23532214760780334,0.1993500292301178,0.21499893069267273,0.17837896943092346,0.1968355029821396,0.25598275661468506,0.19911181926727295,0.19956864416599274,0.25598275661468506,0.1172601729631424,0.2373954951763153,0.24677148461341858,0.9999999403953552,0.3772073984146118,0.11903949081897736
fowke,0.26284706592559814,0.30578234791755676,0.23888370394706726,0.2191809117794037,0.26482948660850525,0.1645069569349289,0.2621912956237793,0.3325461149215698,0.1764213740825653,0.2970503866672516,0.3325461149215698,0.19354507327079773,0.32606780529022217,0.16795551776885986,0.3772073984146118,0.9999999403953552,0.16964034736156464
",",0.3365725874900818,0.45456063747406006,0.30810219049453735,0.48329564929008484,0.44245919585227966,0.3283594250679016,0.49057599902153015,0.4933079481124878,0.20741747319698334,0.38860568404197693,0.4933079481124878,0.2070959210395813,0.4946078956127167,0.21827615797519684,0.27572840452194214,0.36069920659065247,0.31091248989105225
royal,0.16729144752025604,0.2874114215373993,0.14561191201210022,0.11707678437232971,0.20404569804668427,0.1525811105966568,0.17692488431930542,0.2997032403945923,0.2835387885570526,0.21077340841293335,0.2997032403945923,0.14926467835903168,0.3112924098968506,0.20833522081375122,0.17933867871761322,0.21178469061851501,0.11453001946210861
engineers,0.24476072192192078,0.21913187205791473,0.20400016009807587,0.21256424486637115,0.2772461175918579,0.30583956837654114,0.1590966284275055,0.25282254815101624,0.17906542122364044,0.18675635755062103,0.25282254815101624,0.10275169461965561,0.189129039645195,0.19676709175109863,0.18467645347118378,0.19821901619434357,0.18139411509037018
