,how,many,episodes,were,in,the,daleks,',master,plan,?
notable,0.23468069732189178,0.28463873267173767,0.22805240750312805,0.1756194680929184,0.25145605206489563,0.20948168635368347,0.10410920530557632,0.29527005553245544,0.1056189090013504,0.05493937432765961,0.31928157806396484
exceptions,0.20212310552597046,0.42538678646087646,0.22974300384521484,0.29178521037101746,0.25888991355895996,0.29394328594207764,0.1721397042274475,0.19754618406295776,0.10850793123245239,0.058134786784648895,0.17539265751838684
were,0.2082374095916748,0.4804460406303406,0.17896170914173126,1.0000001192092896,0.3815755248069763,0.3906462490558624,0.26682645082473755,0.17108602821826935,0.1516946405172348,0.18876898288726807,0.17890112102031708
:,-0.11215605586767197,-0.10786184668540955,-0.08253753930330276,-0.04773278534412384,0.020521078258752823,-0.03403344005346298,-0.07904883474111557,-0.06090058758854866,-0.0018629769328981638,-0.10348009318113327,-0.07156077772378922
the,0.33890387415885925,0.4335206151008606,0.1889590173959732,0.3906462490558624,0.6662389636039734,1.0,0.3154934346675873,0.474788099527359,0.19769129157066345,0.2852855324745178,0.22068053483963013
daleks,0.21742945909500122,0.2027176171541214,0.33411118388175964,0.26682645082473755,0.2037806212902069,0.3154934346675873,0.9999999403953552,0.07396712899208069,0.28939545154571533,0.2886110246181488,0.13693755865097046
',0.18823795020580292,0.15973903238773346,0.16757473349571228,0.17108602821826935,0.4158826768398285,0.474788099527359,0.07396712899208069,1.0,0.18809761106967926,0.2319491058588028,0.330942302942276
master,0.21466802060604095,0.1621752381324768,0.1485026776790619,0.1516946405172348,0.17882928252220154,0.19769129157066345,0.28939545154571533,0.18809761106967926,0.9999999403953552,0.2770163118839264,0.11915034055709839
plan,0.31514599919319153,0.1961388885974884,0.15270556509494781,0.18876898288726807,0.23924663662910461,0.2852855324745178,0.2886110246181488,0.2319491058588028,0.2770163118839264,1.0,0.1961054503917694
",",0.22659391164779663,0.40610817074775696,0.2131132036447525,0.36755475401878357,0.5201468467712402,0.4933079481124878,0.14506761729717255,0.5178600549697876,0.21451058983802795,0.21265573799610138,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.20309853553771973,0.2807837128639221,0.4840516746044159,0.6521818041801453,0.2414805293083191,0.32852497696876526,0.18431153893470764,0.2507568597793579,0.25814583897590637
aired,0.17783713340759277,0.14474952220916748,0.6296877264976501,0.18557119369506836,0.21521411836147308,0.2525516450405121,0.2768113613128662,0.20969398319721222,0.11914744973182678,0.13024789094924927,0.22283338010311127
in,0.2601168751716614,0.41474202275276184,0.17357411980628967,0.3815755248069763,1.0,0.6662389636039734,0.2037806212902069,0.4158826768398285,0.17882928252220154,0.23924663662910461,0.20430970191955566
12,0.10959922522306442,0.1780882626771927,-0.0030934580136090517,0.1640433669090271,0.18516430258750916,0.28907760977745056,0.023041976615786552,0.2294355034828186,0.037280622869729996,0.013863922096788883,0.10021790862083435
episodes,0.16633862257003784,0.17309854924678802,0.9999999403953552,0.17896170914173126,0.17357411980628967,0.1889590173959732,0.33411118388175964,0.16757473349571228,0.1485026776790619,0.15270556509494781,0.21740183234214783
(,0.1676948219537735,0.1455259770154953,0.17736345529556274,0.14743882417678833,0.3087427020072937,0.33289089798927307,0.04743315652012825,0.5287467241287231,0.14098842442035675,0.15068650245666504,0.40561532974243164
plus,0.12272078543901443,0.19409812986850739,0.15631093084812164,0.16602718830108643,0.15751990675926208,0.2724461257457733,0.10430029034614563,0.2329874038696289,0.05006604269146919,0.08817063271999359,0.143734410405159
an,0.2520636022090912,0.2465583086013794,0.13370193541049957,0.08893381804227829,0.2605783939361572,0.4207492768764496,0.16435830295085907,0.36139753460884094,0.15933018922805786,0.20559144020080566,0.19793890416622162
