,where,did,tesla,teach,in,gospic,?
during,0.3543127477169037,0.30679523944854736,0.08954931050539017,0.1231086254119873,0.4627237319946289,0.19055627286434174,0.1325719803571701
that,0.4876193106174469,0.47518548369407654,0.22102725505828857,0.30684569478034973,0.435920387506485,0.2639952003955841,0.32716336846351624
year,0.20427323877811432,0.21422851085662842,0.1455472707748413,0.14049290120601654,0.3359307050704956,0.146821528673172,0.18315006792545319
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.22192275524139404,0.5201468467712402,0.33991190791130066,0.31091248989105225
tesla,0.12761090695858002,0.09757418930530548,0.9999999403953552,0.16572627425193787,0.17097744345664978,0.18164220452308655,0.10250775516033173
taught,0.26036134362220764,0.3282313942909241,0.1628430336713791,0.6738810539245605,0.24230356514453888,0.28168052434921265,0.18297621607780457
a,0.40997210144996643,0.2552328109741211,0.2211925983428955,0.18608243763446808,0.539380669593811,0.22361163794994354,0.23916715383529663
large,0.33358052372932434,0.2084006518125534,0.11560440808534622,0.1015603169798851,0.2841601073741913,0.23993508517742157,0.1355665624141693
class,0.19154156744480133,0.14515089988708496,0.1565065234899521,0.2030939757823944,0.1761927455663681,0.21011187136173248,0.12778934836387634
of,0.38066378235816956,0.2513895630836487,0.18837453424930573,0.2383975088596344,0.5696388483047485,0.3498324453830719,0.1826142966747284
students,0.2588886320590973,0.1996062994003296,0.21068733930587769,0.5338317155838013,0.2676171064376831,0.2645251452922821,0.18017297983169556
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.23312166333198547,1.0,0.32087790966033936,0.20430970191955566
his,0.29880598187446594,0.3546801507472992,0.1580733060836792,0.28347906470298767,0.3598145842552185,0.24738289415836334,0.18075084686279297
old,0.24182595312595367,0.19123899936676025,0.13497856259346008,0.2144004851579666,0.2865324318408966,0.21617494523525238,0.20577076077461243
school,0.23611775040626526,0.19696208834648132,0.16295383870601654,0.4499453604221344,0.26157811284065247,0.27723628282546997,0.15091250836849213
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.22192275524139404,0.5201468467712402,0.33991190791130066,0.31091248989105225
higher,0.2712603211402893,0.17969463765621185,0.17543520033359528,0.14238128066062927,0.23285751044750214,0.14819970726966858,0.15679465234279633
real,0.26056113839149475,0.20014923810958862,0.23097385466098785,0.07929164171218872,0.1725122183561325,0.18980537354946136,0.20019613206386566
gymnasium,0.301555871963501,0.2214101403951645,0.2515797019004822,0.30248910188674927,0.23880107700824738,0.27533069252967834,0.08908994495868683
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.22192275524139404,0.5201468467712402,0.33991190791130066,0.31091248989105225
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.23312166333198547,1.0,0.32087790966033936,0.20430970191955566
gospić,0.29223451018333435,0.174786776304245,0.28443384170532227,0.2875871956348419,0.2824176847934723,0.74547278881073,0.15864557027816772
.,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.2642667293548584,0.5591574311256409,0.26635870337486267,0.4130953550338745
