,what,civil,rights,movement,in,the,us,was,known,for,it,'s,disobedience,?
it,0.45803478360176086,0.17707513272762299,0.1732693463563919,0.23563571274280548,0.5130809545516968,0.6251175999641418,0.28048714995384216,0.4577186405658722,0.2640952467918396,0.32171204686164856,0.9999999403953552,0.06608816236257553,0.2648297846317291,0.25732165575027466
has,0.20338068902492523,0.14805923402309418,0.193097785115242,0.18491831421852112,0.4173259735107422,0.4177538752555847,0.16496556997299194,0.40313825011253357,0.2451976239681244,0.450642853975296,0.41962623596191406,-0.040683966130018234,0.11896127462387085,0.15994466841220856
been,0.2567804455757141,0.16754008829593658,0.27311715483665466,0.15120309591293335,0.3515113592147827,0.3563927710056305,0.17548087239265442,0.518218457698822,0.2256493717432022,0.39068686962127686,0.35515493154525757,-0.10734795778989792,0.20087917149066925,0.24354910850524902
used,0.27546408772468567,0.18663932383060455,0.13578931987285614,0.21001854538917542,0.3090210556983948,0.3718377649784088,0.20976735651493073,0.23679393529891968,0.37155357003211975,0.4236139953136444,0.3575260639190674,0.00600846204906702,0.16147232055664062,0.22430120408535004
in,0.30808621644973755,0.26466667652130127,0.17772755026817322,0.26725053787231445,1.0,0.6662389636039734,0.19746538996696472,0.45514053106307983,0.32641831040382385,0.4322226941585541,0.5130809545516968,-0.037580832839012146,0.3054615259170532,0.20430970191955566
many,0.36131182312965393,0.2212105095386505,0.245268315076828,0.24651534855365753,0.41474202275276184,0.4335206151008606,0.2307271808385849,0.260356068611145,0.30594465136528015,0.40972793102264404,0.39615920186042786,0.01698932610452175,0.2810143232345581,0.2124512493610382
nonviolent,0.27531832456588745,0.37643536925315857,0.4365554451942444,0.44501158595085144,0.23583105206489563,0.23885348439216614,0.20210255682468414,0.24546442925930023,0.1938919574022293,0.2900647819042206,0.18447260558605194,0.11726100742816925,0.6002234220504761,0.23365403711795807
resistance,0.1382468044757843,0.27002426981925964,0.21733561158180237,0.3679167926311493,0.19045913219451904,0.2521642744541168,0.11955219507217407,0.224801167845726,0.1516583114862442,0.18606144189834595,0.16944365203380585,0.033725183457136154,0.39310237765312195,0.026361597701907158
movements,0.23197974264621735,0.2419094443321228,0.262999951839447,0.8651208281517029,0.23150597512722015,0.31594985723495483,0.15230609476566315,0.15315485000610352,0.16895659267902374,0.19706670939922333,0.23149621486663818,0.01989559456706047,0.37486886978149414,0.1501890867948532
in,0.30808621644973755,0.26466667652130127,0.17772755026817322,0.26725053787231445,1.0,0.6662389636039734,0.19746538996696472,0.45514053106307983,0.32641831040382385,0.4322226941585541,0.5130809545516968,-0.037580832839012146,0.3054615259170532,0.20430970191955566
india,0.23203566670417786,0.18130739033222198,0.16134028136730194,0.21048478782176971,0.27070173621177673,0.3108653426170349,0.21414899826049805,0.22117909789085388,0.18104800581932068,0.19895431399345398,0.2261946201324463,0.08424708992242813,0.2790805995464325,0.10473668575286865
(,0.2411840260028839,0.16291406750679016,0.17563141882419586,0.11378148943185806,0.3087427020072937,0.33289089798927307,0.23830419778823853,0.2980341613292694,0.2843264043331146,0.3357032239437103,0.2745298147201538,0.0012731997994706035,0.14515410363674164,0.40561532974243164
gandhi,0.23243291676044464,0.30589789152145386,0.24057035148143768,0.30459481477737427,0.2202024757862091,0.23259694874286652,0.1600852757692337,0.183432474732399,0.16156744956970215,0.23430567979812622,0.15517769753932953,0.13761647045612335,0.45138445496559143,0.18234050273895264
's,0.02692362666130066,-0.06354409456253052,-0.06798747181892395,0.009452048689126968,-0.037580832839012146,-0.01540423184633255,0.032960113137960434,0.008974763564765453,0.008368984796106815,-0.07241261005401611,0.06608816236257553,0.9999999403953552,0.027719656005501747,-0.023395681753754616
campaigns,0.20698273181915283,0.331876665353775,0.3402901589870453,0.2880838215351105,0.26681122183799744,0.27786964178085327,0.18957266211509705,0.22862818837165833,0.17578619718551636,0.24437440931797028,0.14820653200149536,0.00899916235357523,0.3399575650691986,0.13006390631198883
for,0.3017193675041199,0.1685788929462433,0.24823954701423645,0.1841055154800415,0.4322226941585541,0.4739971458911896,0.26768606901168823,0.3863949179649353,0.363901823759079,0.9999999403953552,0.32171204686164856,-0.07241261005401611,0.23370130360126495,0.264628142118454
independence,0.24622133374214172,0.32815662026405334,0.32563647627830505,0.3321867883205414,0.25996696949005127,0.2836182415485382,0.16034474968910217,0.24797119200229645,0.17704090476036072,0.1525467187166214,0.229904904961586,0.02269889786839485,0.40463489294052124,0.12301119416952133
from,0.2737620174884796,0.11420916765928268,0.159982830286026,0.23928771913051605,0.4274188280105591,0.40150508284568787,0.24183706939220428,0.31171464920043945,0.18996182084083557,0.314039945602417,0.325604110956192,-0.01936490088701248,0.1641564965248108,0.19969791173934937
the,0.42745697498321533,0.2477465271949768,0.2579100430011749,0.339571475982666,0.6662389636039734,1.0,0.25727739930152893,0.48711544275283813,0.3624623417854309,0.4739971458911896,0.6251175999641418,-0.01540423184633255,0.30963727831840515,0.22068053483963013
british,0.19255435466766357,0.2382184863090515,0.14913320541381836,0.18697787821292877,0.23084034025669098,0.28973397612571716,0.23633208870887756,0.31934812664985657,0.22316274046897888,0.1970057189464569,0.18971234560012817,0.06352180242538452,0.24846328794956207,0.09711728990077972
