,who,lead,the,1968,special,programming,for,abc,radio,'s,fm,stations,?
in,0.2792111933231354,0.2055644989013672,0.6662389636039734,0.08920387923717499,0.2897285223007202,0.17145347595214844,0.4322226941585541,0.1697147786617279,0.22625693678855896,-0.037580832839012146,0.1521582156419754,0.25864288210868835,0.20430970191955566
july,0.2606464624404907,0.17846010625362396,0.2371699959039688,-0.017753751948475838,0.1000046655535698,0.16285662353038788,0.28973108530044556,0.15350030362606049,0.1634930670261383,-0.06841624528169632,0.15679875016212463,0.16817519068717957,0.2897891402244568
1968,-0.017259184271097183,0.020854176953434944,0.07431387901306152,0.9999999403953552,0.09088344126939774,0.035687413066625595,0.04250431805849075,-0.036682769656181335,0.04859283193945885,0.03619736060500145,0.0025641941465437412,0.00463343458250165,-0.08543776720762253
",",0.3365725874900818,0.2561914026737213,0.4933079481124878,0.07405266165733337,0.23880577087402344,0.255766898393631,0.4464869201183319,0.2097204476594925,0.25251123309135437,-0.0016132977325469255,0.22169965505599976,0.26337406039237976,0.31091248989105225
abc,0.14673753082752228,0.19880208373069763,0.2068762183189392,-0.036682769656181335,0.16786715388298035,0.3165910840034485,0.22510288655757904,1.0000001192092896,0.35354745388031006,0.06670809537172318,0.30740925669670105,0.23858611285686493,0.19065172970294952
radio,0.20289050042629242,0.1651650071144104,0.23511973023414612,0.04859283193945885,0.19117730855941772,0.28530606627464294,0.2325505018234253,0.35354745388031006,0.9999999403953552,0.13450658321380615,0.5416761040687561,0.47360363602638245,0.08763375133275986
launched,0.12453620135784149,0.10481670498847961,0.2547066807746887,-0.05846363306045532,0.16814492642879486,0.2434350997209549,0.19341714680194855,0.2561926543712616,0.2416798174381256,-0.01740374229848385,0.2198316752910614,0.26335129141807556,0.1803835779428482
a,0.36608949303627014,0.20661775767803192,0.5829201340675354,-0.025953760370612144,0.31333932280540466,0.20890353620052338,0.44038116931915283,0.21331243216991425,0.19488471746444702,0.04866964742541313,0.1312788724899292,0.199105903506279,0.23916715383529663
special,0.21519862115383148,0.16209714114665985,0.3027077615261078,0.09088344126939774,1.0000001192092896,0.2700044512748718,0.311454176902771,0.16786715388298035,0.19117730855941772,-0.03405539691448212,0.08070641756057739,0.17136484384536743,0.29623302817344666
programming,0.17227613925933838,0.2355399876832962,0.17869283258914948,0.035687413066625595,0.2700044512748718,0.9999999403953552,0.24722188711166382,0.3165910840034485,0.28530606627464294,0.011488005518913269,0.21089835464954376,0.22747810184955597,0.22249025106430054
project,0.2255522608757019,0.1222035363316536,0.2027820199728012,0.07219750434160233,0.1181533932685852,0.2843828797340393,0.2228124439716339,0.12072815746068954,0.12887147068977356,0.07063660025596619,0.08031892776489258,0.20207665860652924,0.30569031834602356
for,0.37110671401023865,0.29822173714637756,0.4739971458911896,0.04250431805849075,0.311454176902771,0.24722188711166382,0.9999999403953552,0.22510288655757904,0.2325505018234253,-0.07241261005401611,0.16451558470726013,0.236822247505188,0.264628142118454
its,0.1326070874929428,0.20311717689037323,0.559237003326416,0.08509465306997299,0.20760555565357208,0.22158177196979523,0.2992613911628723,0.19045390188694,0.16302348673343658,0.03202139586210251,0.18022975325584412,0.2549050748348236,0.15103481709957123
fm,0.08293134719133377,0.05721040442585945,0.1839628368616104,0.0025641941465437412,0.08070641756057739,0.21089835464954376,0.16451558470726013,0.30740925669670105,0.5416761040687561,0.07825475931167603,0.9999998807907104,0.4250081479549408,0.1004299446940422
stations,0.18933221697807312,0.09101244062185287,0.24762700498104095,0.00463343458250165,0.17136484384536743,0.22747810184955597,0.236822247505188,0.23858611285686493,0.47360363602638245,0.029389679431915283,0.4250081479549408,1.0,0.13192185759544373
",",0.3365725874900818,0.2561914026737213,0.4933079481124878,0.07405266165733337,0.23880577087402344,0.255766898393631,0.4464869201183319,0.2097204476594925,0.25251123309135437,-0.0016132977325469255,0.22169965505599976,0.26337406039237976,0.31091248989105225
which,0.3688730001449585,0.2136504352092743,0.6521818041801453,-0.0039784410037100315,0.3709421753883362,0.317421019077301,0.44095608592033386,0.1991286277770996,0.20020823180675507,0.03856118768453598,0.1682177484035492,0.25455939769744873,0.25814583897590637
was,0.3318818509578705,0.1970783770084381,0.48711544275283813,0.07066072523593903,0.1585642695426941,0.15892314910888672,0.3863949179649353,0.21565799415111542,0.20381812751293182,0.008974763564765453,0.14100852608680725,0.15012863278388977,0.18412111699581146
spearheaded,0.25251147150993347,0.20921683311462402,0.3073144257068634,-0.00019527181575540453,0.2681533694267273,0.17254097759723663,0.26258742809295654,0.15722988545894623,0.11485709995031357,0.0653681606054306,0.09778107702732086,0.19433389604091644,0.1784990280866623
by,0.39727845788002014,0.23356960713863373,0.4408751428127289,-0.010274567641317844,0.2578898072242737,0.19613991677761078,0.3248702883720398,0.17600902915000916,0.1833777278661728,-0.010884488001465797,0.09238013625144958,0.20435920357704163,0.17966607213020325
allen,0.22067172825336456,0.1279001533985138,0.23034030199050903,0.0462479330599308,0.13931502401828766,0.18279458582401276,0.17106309533119202,0.2840750813484192,0.2211386263370514,0.041040755808353424,0.08928574621677399,0.13298973441123962,0.1549387127161026
shaw,0.2717337906360626,0.1308889091014862,0.22009336948394775,-0.023286843672394753,0.12659549713134766,0.13030266761779785,0.19634586572647095,0.14885057508945465,0.19602133333683014,0.050764650106430054,0.14068397879600525,0.14451555907726288,0.14002816379070282
",",0.3365725874900818,0.2561914026737213,0.4933079481124878,0.07405266165733337,0.23880577087402344,0.255766898393631,0.4464869201183319,0.2097204476594925,0.25251123309135437,-0.0016132977325469255,0.22169965505599976,0.26337406039237976,0.31091248989105225
a,0.36608949303627014,0.20661775767803192,0.5829201340675354,-0.025953760370612144,0.31333932280540466,0.20890353620052338,0.44038116931915283,0.21331243216991425,0.19488471746444702,0.04866964742541313,0.1312788724899292,0.199105903506279,0.23916715383529663
former,0.25351381301879883,0.19109278917312622,0.2251449078321457,-0.06983404606580734,0.10969372093677521,0.09348438680171967,0.23718710243701935,0.11236388981342316,0.10359173268079758,0.032462362200021744,0.12418510019779205,0.16266417503356934,0.10570605844259262
program,0.2097788155078888,0.21449001133441925,0.22986935079097748,0.005873090121895075,0.23537962138652802,0.6125338077545166,0.29441335797309875,0.28949791193008423,0.3021659553050995,0.0445902980864048,0.21272215247154236,0.2517772316932678,0.1440187245607376
