,how,concentrated,do,the,hydrogen,ions,get,in,the,thylakoid,space,?
the,0.33890387415885925,0.2688957750797272,0.30239659547805786,1.0,0.20406323671340942,0.1818171590566635,0.29667025804519653,0.6662389636039734,1.0,0.22905179858207703,0.24495907127857208,0.22068053483963013
molecules,0.34323933720588684,0.30383917689323425,0.19337092339992523,0.2374771386384964,0.5881773233413696,0.5997051000595093,0.26514357328414917,0.2197362184524536,0.2374771386384964,0.4730325937271118,0.2661668658256531,0.17409995198249817
between,0.2747800648212433,0.1555241495370865,0.14014670252799988,0.39067012071609497,0.18287557363510132,0.1847071349620819,0.2062007188796997,0.41100412607192993,0.39067012071609497,0.13233958184719086,0.17911486327648163,0.12887074053287506
the,0.33890387415885925,0.2688957750797272,0.30239659547805786,1.0,0.20406323671340942,0.1818171590566635,0.29667025804519653,0.6662389636039734,1.0,0.22905179858207703,0.24495907127857208,0.22068053483963013
photosystems,0.28522515296936035,0.2599653899669647,0.29770052433013916,0.3099345266819,0.47223320603370667,0.4652077555656433,0.2787603437900543,0.24916940927505493,0.3099345266819,0.39710068702697754,0.28668832778930664,0.20044444501399994
harness,0.23898398876190186,0.1790393441915512,0.2139367014169693,0.27181383967399597,0.23225753009319305,0.22220845520496368,0.24383080005645752,0.15775062143802643,0.27181383967399597,0.2106163650751114,0.21318501234054565,0.09277012199163437
the,0.33890387415885925,0.2688957750797272,0.30239659547805786,1.0,0.20406323671340942,0.1818171590566635,0.29667025804519653,0.6662389636039734,1.0,0.22905179858207703,0.24495907127857208,0.22068053483963013
electrons,0.2715056836605072,0.21418769657611847,0.23752672970294952,0.2109822928905487,0.6067970395088196,0.6740367412567139,0.22627544403076172,0.15858358144760132,0.2109822928905487,0.38369473814964294,0.23998452723026276,0.15516111254692078
',0.18823795020580292,0.13103918731212616,0.33874475955963135,0.474788099527359,0.1521209180355072,0.15936554968357086,0.22959525883197784,0.4158826768398285,0.474788099527359,0.1445702612400055,0.19663506746292114,0.330942302942276
energy,0.24522052705287933,0.25298771262168884,0.21968168020248413,0.26756542921066284,0.4759276211261749,0.4376910626888275,0.2723105847835541,0.17693158984184265,0.26756542921066284,0.2984413206577301,0.3151380121707916,0.14860127866268158
to,0.44169697165489197,0.2865214943885803,0.38876664638519287,0.535392165184021,0.23178602755069733,0.2567741870880127,0.4388369917869568,0.45010748505592346,0.535392165184021,0.20179182291030884,0.22712917625904083,0.29463258385658264
pump,0.2311953604221344,0.2527303397655487,0.2159440815448761,0.21872945129871368,0.30666568875312805,0.3225928544998169,0.2809664309024811,0.14753441512584686,0.21872945129871368,0.23371091485023499,0.18061552941799164,0.24768272042274475
hydrogen,0.23238429427146912,0.2933582365512848,0.24647696316242218,0.20406323671340942,1.0,0.6510472893714905,0.218809574842453,0.1982225924730301,0.20406323671340942,0.45373737812042236,0.2395610511302948,0.14590126276016235
ions,0.2286808043718338,0.38191279768943787,0.24652104079723358,0.1818171590566635,0.6510472893714905,1.0,0.19076979160308838,0.18162547051906586,0.1818171590566635,0.41014885902404785,0.2240719497203827,0.19270877540111542
into,0.2303972691297531,0.23333536088466644,0.20546826720237732,0.39493247866630554,0.1954989731311798,0.20295210182666779,0.29681822657585144,0.38021373748779297,0.39493247866630554,0.23499679565429688,0.21390677988529205,0.15662476420402527
the,0.33890387415885925,0.2688957750797272,0.30239659547805786,1.0,0.20406323671340942,0.1818171590566635,0.29667025804519653,0.6662389636039734,1.0,0.22905179858207703,0.24495907127857208,0.22068053483963013
thylakoid,0.19070076942443848,0.21310023963451385,0.2739792764186859,0.22905179858207703,0.45373737812042236,0.41014885902404785,0.2613930106163025,0.17373895645141602,0.22905179858207703,1.0,0.1919831484556198,0.19202344119548798
