,the,material,in,the,v,&,a,theatre,collection,is,available,for,which,use,?
the,1.0,0.26762521266937256,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25594043731689453,0.25281965732574463,0.5823672413825989,0.26723232865333557,0.4739971458911896,0.6521818041801453,0.34342584013938904,0.22068053483963013
collections,0.27174001932144165,0.29452911019325256,0.2719179093837738,0.27174001932144165,0.09366906434297562,0.163213849067688,0.2494979351758957,0.21758796274662018,0.9249221086502075,0.20405815541744232,0.3253350257873535,0.25632959604263306,0.319350928068161,0.1765381544828415,0.1873358190059662
are,0.40399202704429626,0.25142809748649597,0.3841303884983063,0.40399202704429626,0.07239489257335663,0.17888472974300385,0.265255331993103,0.10660561919212341,0.22862131893634796,0.5330929756164551,0.31910744309425354,0.3895993232727051,0.42922598123550415,0.4174068570137024,0.24591213464736938
stored,0.2634609043598175,0.39299657940864563,0.26229971647262573,0.2634609043598175,0.08692467957735062,0.08372814208269119,0.22883880138397217,0.13904809951782227,0.3443466126918793,0.23681466281414032,0.4265402853488922,0.27449387311935425,0.3551637828350067,0.33779868483543396,0.18399180471897125
by,0.4408751428127289,0.21369655430316925,0.370934396982193,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,0.18537689745426178,0.2678082287311554,0.3899846076965332,0.21741925179958344,0.3248702883720398,0.40543368458747864,0.21048003435134888,0.17966607213020325
the,1.0,0.26762521266937256,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25594043731689453,0.25281965732574463,0.5823672413825989,0.26723232865333557,0.4739971458911896,0.6521818041801453,0.34342584013938904,0.22068053483963013
v,0.18580520153045654,0.1259491890668869,0.15216681361198425,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.15862858295440674,0.11078842729330063,0.16126930713653564,0.1547757238149643,0.13933385908603668,0.1653934270143509,0.12898752093315125,0.28677162528038025
&,0.14992168545722961,0.04940580949187279,0.1358654648065567,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.10870680212974548,0.18749947845935822,0.08384179323911667,0.13524509966373444,0.15479104220867157,0.16294614970684052,0.1026131808757782,0.12596383690834045
a,0.5829201340675354,0.28408434987068176,0.539380669593811,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.2103080451488495,0.24716788530349731,0.658733606338501,0.19077399373054504,0.44038116931915283,0.56894451379776,0.30793872475624084,0.23916715383529663
",",0.4933079481124878,0.2189585268497467,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.29216358065605164,0.2277175933122635,0.4691906273365021,0.2614012062549591,0.4464869201183319,0.3658004403114319,0.3276674151420593,0.31091248989105225
and,0.5171257257461548,0.2923409640789032,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2638216018676758,0.2379438579082489,0.3859752118587494,0.24201975762844086,0.5064792633056641,0.506277859210968,0.34145063161849976,0.20544172823429108
are,0.40399202704429626,0.25142809748649597,0.3841303884983063,0.40399202704429626,0.07239489257335663,0.17888472974300385,0.265255331993103,0.10660561919212341,0.22862131893634796,0.5330929756164551,0.31910744309425354,0.3895993232727051,0.42922598123550415,0.4174068570137024,0.24591213464736938
available,0.26723232865333557,0.31883445382118225,0.1939793825149536,0.26723232865333557,0.1547757238149643,0.13524509966373444,0.19077399373054504,0.05914657562971115,0.3141503930091858,0.20822511613368988,1.0000001192092896,0.3672940731048584,0.2679377496242523,0.44436103105545044,0.2501629889011383
for,0.4739971458911896,0.26816701889038086,0.4322226941585541,0.4739971458911896,0.13933385908603668,0.15479104220867157,0.44038116931915283,0.23226462304592133,0.22454001009464264,0.43268078565597534,0.3672940731048584,0.9999999403953552,0.44095608592033386,0.47655582427978516,0.264628142118454
research,0.24391183257102966,0.25105157494544983,0.21249429881572723,0.24391183257102966,0.10464902967214584,0.15785476565361023,0.1935642808675766,0.1511714607477188,0.2703606188297272,0.23478153347969055,0.24209608137607574,0.29481053352355957,0.2744959592819214,0.2116919606924057,0.13481977581977844
",",0.4933079481124878,0.2189585268497467,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.29216358065605164,0.2277175933122635,0.4691906273365021,0.2614012062549591,0.4464869201183319,0.3658004403114319,0.3276674151420593,0.31091248989105225
exhibitions,0.22228071093559265,0.1555667221546173,0.28373631834983826,0.22228071093559265,0.0785132572054863,0.12981455028057098,0.16376586258411407,0.31297820806503296,0.4257727861404419,0.15017755329608917,0.16906413435935974,0.2862796187400818,0.2729032635688782,0.19350698590278625,0.1462271511554718
and,0.5171257257461548,0.2923409640789032,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2638216018676758,0.2379438579082489,0.3859752118587494,0.24201975762844086,0.5064792633056641,0.506277859210968,0.34145063161849976,0.20544172823429108
other,0.44152235984802246,0.28948065638542175,0.39989137649536133,0.44152235984802246,0.11888202279806137,0.14744198322296143,0.2806335389614105,0.12831121683120728,0.2705381214618683,0.25895947217941284,0.3339622914791107,0.3273986279964447,0.50507652759552,0.389494389295578,0.24682199954986572
shows,0.36348509788513184,0.2373965084552765,0.3289647698402405,0.36348509788513184,0.03611131012439728,0.12042625993490219,0.3360818326473236,0.2548787295818329,0.21476902067661285,0.31176671385765076,0.22410283982753754,0.35496386885643005,0.33303946256637573,0.27020320296287537,0.2040930688381195
.,0.5934505462646484,0.24824832379817963,0.5591574311256409,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.2394188642501831,0.2516246736049652,0.4569662809371948,0.3383464217185974,0.4726039469242096,0.45942068099975586,0.3711656630039215,0.4130953550338745
