,how,much,imported,oil,came,from,the,middle,east,?
although,0.26196205615997314,0.4015255868434906,0.2184228003025055,0.14899559319019318,0.1906776875257492,0.22925063967704773,0.3265823423862457,0.12026046961545944,0.1777118444442749,0.15541206300258636
lacking,0.3138449788093567,0.41831907629966736,0.2895088493824005,0.14205113053321838,0.1697455197572708,0.1749276965856552,0.31698739528656006,0.14132000505924225,0.090945303440094,0.30209288001060486
historical,0.18125665187835693,0.14369763433933258,0.1347026824951172,0.11414310336112976,0.14246401190757751,0.22481153905391693,0.30835282802581787,0.23246361315250397,0.1990349441766739,0.1665111482143402
connections,0.2621510624885559,0.23348501324653625,0.1500454992055893,0.18266084790229797,0.2159985899925232,0.19531108438968658,0.31443437933921814,0.19631537795066833,0.21612127125263214,0.14831478893756866
to,0.44169697165489197,0.40610215067863464,0.26343628764152527,0.1619214415550232,0.3111628592014313,0.4069952368736267,0.535392165184021,0.2015334814786911,0.24717837572097778,0.29463258385658264
the,0.33890387415885925,0.35023224353790283,0.2233143448829651,0.21849922835826874,0.39390382170677185,0.40150508284568787,1.0,0.3405749201774597,0.3383176326751709,0.22068053483963013
middle,0.1679641306400299,0.19514094293117523,0.1835535168647766,0.1754237711429596,0.20838278532028198,0.26505398750305176,0.3405749201774597,0.9999998807907104,0.3956385850906372,0.13139553368091583
east,0.1773146688938141,0.19139017164707184,0.14051204919815063,0.17592141032218933,0.24231283366680145,0.27024149894714355,0.3383176326751709,0.3956385850906372,1.0000001192092896,0.10070597380399704
",",0.22659391164779663,0.36182254552841187,0.30712804198265076,0.20043784379959106,0.3049119710922241,0.39760664105415344,0.4933079481124878,0.24847112596035004,0.319791704416275,0.31091248989105225
japan,0.16129757463932037,0.19769391417503357,0.20918330550193787,0.16755861043930054,0.1777748465538025,0.1818128079175949,0.22735914587974548,0.13197970390319824,0.20754046738147736,0.1312343180179596
was,0.16678167879581451,0.2580166161060333,0.18956387042999268,0.15102124214172363,0.4994563162326813,0.31171464920043945,0.48711544275283813,0.21038298308849335,0.2747166156768799,0.18412111699581146
the,0.33890387415885925,0.35023224353790283,0.2233143448829651,0.21849922835826874,0.39390382170677185,0.40150508284568787,1.0,0.3405749201774597,0.3383176326751709,0.22068053483963013
country,0.17206698656082153,0.254434198141098,0.2627859115600586,0.17200785875320435,0.1796024590730667,0.21630296111106873,0.30432501435279846,0.154677152633667,0.2239755243062973,0.12647280097007751
most,0.311336874961853,0.4205867648124695,0.24238221347332,0.20593872666358948,0.27523115277290344,0.28580769896507263,0.47635307908058167,0.23024573922157288,0.1843280792236328,0.2107497900724411
dependent,0.2755511403083801,0.2513778507709503,0.2642539143562317,0.17526336014270782,0.15273921191692352,0.13431988656520844,0.23169851303100586,0.08212804049253464,0.1044153943657875,0.1324409693479538
on,0.32655060291290283,0.2834896147251129,0.23725265264511108,0.12803566455841064,0.224246084690094,0.36926645040512085,0.5107308030128479,0.22140929102897644,0.20555776357650757,0.2714994251728058
arab,0.11288778483867645,0.14432010054588318,0.18578630685806274,0.2262253612279892,0.24959172308444977,0.14790591597557068,0.2674407660961151,0.2581328749656677,0.21831627190113068,0.18450474739074707
oil,0.13798584043979645,0.20203979313373566,0.27263492345809937,1.0,0.1307869553565979,0.22372330725193024,0.21849922835826874,0.1754237711429596,0.17592141032218933,0.14867261052131653
.,0.3287222981452942,0.3374604284763336,0.29679930210113525,0.22117017209529877,0.26265060901641846,0.41536515951156616,0.5934505462646484,0.2989427447319031,0.28351864218711853,0.4130953550338745
