,who,recovered,a,manning,fumble,?
on,0.2340552806854248,0.2166234701871872,0.3848365545272827,0.25339728593826294,0.16300038993358612,0.2714994251728058
the,0.3733934462070465,0.2614712417125702,0.5829201340675354,0.27058160305023193,0.16197896003723145,0.22068053483963013
next,0.19192104041576385,0.21497024595737457,0.3054417371749878,0.2187599092721939,0.2307572215795517,0.167460098862648
play,0.2742305099964142,0.13591600954532623,0.21130098402500153,0.2523941099643707,0.2763868272304535,0.11059518158435822
",",0.3365725874900818,0.2676272988319397,0.427140474319458,0.30921146273612976,0.30810612440109253,0.31091248989105225
ealy,0.2409643977880478,0.11775624752044678,0.2892864942550659,0.37721550464630127,0.2692887783050537,0.24052083492279053
knocked,0.19835633039474487,0.3414326608181,0.1961788684129715,0.2306843400001526,0.3439420461654663,0.1071818619966507
the,0.3733934462070465,0.2614712417125702,0.5829201340675354,0.27058160305023193,0.16197896003723145,0.22068053483963013
ball,0.18419332802295685,0.12504027783870697,0.23578347265720367,0.3111599087715149,0.3442053198814392,0.1766241192817688
out,0.3129808306694031,0.27184879779815674,0.34264278411865234,0.2759818434715271,0.34143850207328796,0.22020699083805084
of,0.2827862501144409,0.22457769513130188,0.5052502155303955,0.20024974644184113,0.1608104109764099,0.1826142966747284
manning,0.33436715602874756,0.2291233241558075,0.2509649395942688,0.9999998807907104,0.5059422254562378,0.15856626629829407
's,0.05599616840481758,-0.014260370284318924,0.04866964742541313,0.021839646622538567,0.02591221034526825,-0.023395681753754616
hand,0.32102879881858826,0.23443830013275146,0.2662425637245178,0.21510741114616394,0.16242900490760803,0.20656698942184448
as,0.3923053741455078,0.2542397677898407,0.39550232887268066,0.27189740538597107,0.19993937015533447,0.27043893933296204
he,0.5500732064247131,0.2577524781227112,0.4393508732318878,0.33812835812568665,0.27815836668014526,0.2089974731206894
was,0.3318818509578705,0.32598429918289185,0.4508470594882965,0.2607507109642029,0.21974442899227142,0.18412111699581146
winding,0.16404077410697937,0.2282712608575821,0.2726057469844818,0.22617696225643158,0.21761395037174225,0.03567418456077576
up,0.26056501269340515,0.19591379165649414,0.32523053884506226,0.23252514004707336,0.20273375511169434,0.1819818764925003
for,0.37110671401023865,0.18925832211971283,0.44038116931915283,0.33057859539985657,0.24365292489528656,0.264628142118454
a,0.36608949303627014,0.2461796998977661,1.0,0.2509649395942688,0.17153340578079224,0.23916715383529663
pass,0.12504667043685913,0.19998349249362946,0.19894953072071075,0.28301873803138733,0.28019261360168457,0.09478675574064255
",",0.3365725874900818,0.2676272988319397,0.427140474319458,0.30921146273612976,0.30810612440109253,0.31091248989105225
and,0.41279885172843933,0.25687822699546814,0.3739250600337982,0.2638654112815857,0.24104192852973938,0.20544172823429108
then,0.29952746629714966,0.23282209038734436,0.3970017731189728,0.2315567582845688,0.29952335357666016,0.2884598970413208
recovered,0.19365158677101135,1.0,0.2461796998977661,0.2291233241558075,0.35254186391830444,0.08912046253681183
it,0.2868398427963257,0.2036934196949005,0.5452592968940735,0.17507615685462952,0.1261741667985916,0.25732165575027466
for,0.37110671401023865,0.18925832211971283,0.44038116931915283,0.33057859539985657,0.24365292489528656,0.264628142118454
carolina,0.1409980058670044,0.15065045654773712,0.1979188621044159,0.26052483916282654,0.24233470857143402,0.11847445368766785
on,0.2340552806854248,0.2166234701871872,0.3848365545272827,0.25339728593826294,0.16300038993358612,0.2714994251728058
the,0.3733934462070465,0.2614712417125702,0.5829201340675354,0.27058160305023193,0.16197896003723145,0.22068053483963013
50-yard,0.2855687439441681,0.29189255833625793,0.27746275067329407,0.3826310932636261,0.359836220741272,0.11265861243009567
line,0.1774713397026062,0.08226953446865082,0.23499317467212677,0.16799555718898773,0.12082433700561523,0.16271452605724335
.,0.3541337847709656,0.25115838646888733,0.50484299659729,0.2937074899673462,0.23846884071826935,0.4130953550338745
