,which,famous,french,artist,who,painted,the,grande,odalisque,of,1814,is,represented,in,the,drawings,collection,of,the,v,&,a,?
the,0.6521818041801453,0.28616565465927124,0.2555147111415863,0.1862100064754486,0.3733934462070465,0.18695808947086334,1.0,0.2553926706314087,0.20928500592708588,0.733189046382904,0.0333278514444828,0.5823672413825989,0.3256146013736725,0.6662389636039734,1.0,0.19117170572280884,0.25281965732574463,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
collection,0.30199134349823,0.23276883363723755,0.12934844195842743,0.2585020363330841,0.11647152900695801,0.24867796897888184,0.25281965732574463,0.2107934206724167,0.3092877268791199,0.2915455996990204,0.045527324080467224,0.21135231852531433,0.1968824714422226,0.23004686832427979,0.25281965732574463,0.3887491524219513,0.9999998807907104,0.2915455996990204,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.20069393515586853
of,0.5011631846427917,0.3074295222759247,0.19450366497039795,0.15722915530204773,0.2827862501144409,0.21165502071380615,0.733189046382904,0.2166183739900589,0.20402109622955322,1.0,0.09749412536621094,0.4854315221309662,0.3891753554344177,0.5696388483047485,0.733189046382904,0.23873206973075867,0.2915455996990204,1.0,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
drawings,0.23354779183864594,0.3058651387691498,0.13618554174900055,0.40011364221572876,0.20902255177497864,0.5305083990097046,0.19117170572280884,0.15367786586284637,0.27947166562080383,0.23873206973075867,0.1758415848016739,0.14478443562984467,0.20017090439796448,0.18445944786071777,0.19117170572280884,1.0000001192092896,0.3887491524219513,0.23873206973075867,0.19117170572280884,0.08071447908878326,0.14873763918876648,0.15433108806610107,0.15541397035121918
includes,0.36315640807151794,0.2944819927215576,0.07721874117851257,0.1369931846857071,0.10480155050754547,0.15336082875728607,0.3388250470161438,0.14558203518390656,0.12458313256502151,0.4359378218650818,-0.04831743612885475,0.4033885896205902,0.21544957160949707,0.32460328936576843,0.3388250470161438,0.2228592187166214,0.3749653398990631,0.4359378218650818,0.3388250470161438,0.036025527864694595,0.27284300327301025,0.25086286664009094,0.14011523127555847
over,0.4256240129470825,0.2533319890499115,0.19423793256282806,0.18880997598171234,0.316001296043396,0.17566092312335968,0.39856547117233276,0.13193552196025848,0.08502212911844254,0.36136594414711,0.05746038258075714,0.2159561663866043,0.17716996371746063,0.3605569899082184,0.39856547117233276,0.20427492260932922,0.21212655305862427,0.36136594414711,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.25742942094802856
"10,000",-0.1248844638466835,0.04802420735359192,0.003641475923359394,-0.007887069135904312,-0.0025381569284945726,0.0008646470378153026,-0.07657112926244736,0.11395914107561111,0.21098275482654572,-0.024864796549081802,0.1532789021730423,-0.00011738140892703086,-0.03563957288861275,-0.056806739419698715,-0.07657112926244736,-0.05514957383275032,0.000463886623037979,-0.024864796549081802,-0.07657112926244736,0.1218033954501152,0.12590238451957703,-0.006958124227821827,0.10342991352081299
british,0.2002234309911728,0.23513521254062653,0.43574923276901245,0.15826356410980225,0.2666113078594208,0.16832199692726135,0.28973397612571716,0.15733782947063446,0.14101466536521912,0.23701532185077667,0.04336991161108017,0.19484983384609222,0.15302805602550507,0.23084034025669098,0.28973397612571716,0.10146314650774002,0.15021207928657532,0.23701532185077667,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.09711728990077972
and,0.506277859210968,0.2970265746116638,0.32751965522766113,0.20686885714530945,0.41279885172843933,0.22326073050498962,0.5171257257461548,0.20584659278392792,0.17411568760871887,0.5116966962814331,0.13571928441524506,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.26347166299819946,0.2379438579082489,0.5116966962814331,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.20544172823429108
"2,000",-0.05872787535190582,0.10288267582654953,0.05769777297973633,0.1413199007511139,0.15622515976428986,0.03680536895990372,0.06475643068552017,0.031177591532468796,0.043203894048929214,0.10164742916822433,0.17234063148498535,-0.004002113360911608,0.016650240868330002,0.04807119444012642,0.06475643068552017,0.07774565368890762,0.047761909663677216,0.10164742916822433,0.06475643068552017,-0.030162058770656586,0.05775902420282364,0.04046183079481125,-0.01396813802421093
