,during,the,compression,stage,of,the,rankine,cycle,",",what,state,is,the,working,fluid,in,?
one,0.3187117278575897,0.5514441132545471,0.19263702630996704,0.1530042588710785,0.4999135136604309,0.5514441132545471,0.2472173422574997,0.21576738357543945,0.3696635365486145,0.376489520072937,0.23717761039733887,0.4544198513031006,0.5514441132545471,0.2526702582836151,0.15459325909614563,0.4129433035850525,0.2673267424106598
of,0.3869180977344513,0.733189046382904,0.2915203273296356,0.1389172226190567,1.0,0.733189046382904,0.22334030270576477,0.255176842212677,0.4946078956127167,0.33290785551071167,0.34253445267677307,0.4854315221309662,0.733189046382904,0.19986772537231445,0.217294842004776,0.5696388483047485,0.1826142966747284
the,0.4838213622570038,1.0,0.24867193400859833,0.22652170062065125,0.733189046382904,1.0,0.22060109674930573,0.2701641917228699,0.4933079481124878,0.42745697498321533,0.3097178041934967,0.5823672413825989,1.0,0.25857484340667725,0.23256433010101318,0.6662389636039734,0.22068053483963013
principal,0.12430860847234726,0.23882900178432465,0.10726436227560043,0.10162554681301117,0.25824129581451416,0.23882900178432465,0.2349313497543335,0.028431622311472893,0.2394111454486847,0.1582305133342743,0.26518383622169495,0.1573130041360855,0.23882900178432465,0.18226118385791779,0.114542655646801,0.2094544768333435,0.10016445070505142
advantages,0.17188739776611328,0.2436356246471405,0.414593905210495,0.15947271883487701,0.22758880257606506,0.2436356246471405,0.1546381711959839,0.19343671202659607,0.17778055369853973,0.169710174202919,0.1473768800497055,0.17068763077259064,0.2436356246471405,0.17682184278964996,0.22574812173843384,0.14844228327274323,0.1219927966594696
the,0.4838213622570038,1.0,0.24867193400859833,0.22652170062065125,0.733189046382904,1.0,0.22060109674930573,0.2701641917228699,0.4933079481124878,0.42745697498321533,0.3097178041934967,0.5823672413825989,1.0,0.25857484340667725,0.23256433010101318,0.6662389636039734,0.22068053483963013
rankine,0.21040219068527222,0.22060109674930573,0.28211307525634766,0.22279205918312073,0.22334030270576477,0.22060109674930573,1.0000001192092896,0.2285865843296051,0.2938905656337738,0.14446263015270233,0.16340318322181702,0.19099628925323486,0.22060109674930573,0.14615657925605774,0.2930317521095276,0.20086932182312012,0.15256094932556152
cycle,0.2853600084781647,0.2701641917228699,0.27004173398017883,0.31251904368400574,0.255176842212677,0.2701641917228699,0.2285865843296051,1.0000001192092896,0.16122886538505554,0.17920038104057312,0.1810918003320694,0.20626789331436157,0.2701641917228699,0.1813115030527115,0.22116050124168396,0.20483464002609253,0.07156776636838913
holds,0.18770833313465118,0.28190866112709045,0.2090761661529541,0.09067406505346298,0.2644946873188019,0.28190866112709045,0.20162242650985718,0.08650064468383789,0.2214498221874237,0.08176258951425552,0.21910123527050018,0.3216874897480011,0.28190866112709045,0.14312595129013062,0.13705050945281982,0.2876984775066376,0.11379207670688629
over,0.3472751975059509,0.39856547117233276,0.23607952892780304,0.14147692918777466,0.36136594414711,0.39856547117233276,0.1719900667667389,0.19616319239139557,0.3301127254962921,0.28007611632347107,0.20602752268314362,0.2159561663866043,0.39856547117233276,0.1958465874195099,0.14926740527153015,0.3605569899082184,0.25742942094802856
others,0.24540047347545624,0.34376874566078186,0.16953511536121368,0.19627495110034943,0.2793974280357361,0.34376874566078186,0.11854285001754761,0.11294914036989212,0.42491060495376587,0.3888046145439148,0.17965634167194366,0.25228992104530334,0.34376874566078186,0.24322807788848877,0.12168356776237488,0.3167906701564789,0.26705288887023926
is,0.2240111529827118,0.5823672413825989,0.2661573588848114,0.19676770269870758,0.4854315221309662,0.5823672413825989,0.19099628925323486,0.20626789331436157,0.4691906273365021,0.28837618231773376,0.2627358138561249,1.0,0.5823672413825989,0.20290212333202362,0.23022614419460297,0.5394441485404968,0.22961433231830597
that,0.31487685441970825,0.5473989248275757,0.3029105067253113,0.14718960225582123,0.41498205065727234,0.5473989248275757,0.1826772391796112,0.23440147936344147,0.4137537479400635,0.6297725439071655,0.24252457916736603,0.3995479643344879,0.5473989248275757,0.34541255235671997,0.26332396268844604,0.435920387506485,0.32716336846351624
during,1.0,0.4838213622570038,0.14122962951660156,0.26865634322166443,0.3869180977344513,0.4838213622570038,0.21040219068527222,0.2853600084781647,0.3225448727607727,0.24137552082538605,0.21024808287620544,0.2240111529827118,0.4838213622570038,0.16578039526939392,0.18480466306209564,0.4627237319946289,0.1325719803571701
the,0.4838213622570038,1.0,0.24867193400859833,0.22652170062065125,0.733189046382904,1.0,0.22060109674930573,0.2701641917228699,0.4933079481124878,0.42745697498321533,0.3097178041934967,0.5823672413825989,1.0,0.25857484340667725,0.23256433010101318,0.6662389636039734,0.22068053483963013
compression,0.14122962951660156,0.24867193400859833,0.9999998807907104,0.24320562183856964,0.2915203273296356,0.24867193400859833,0.28211307525634766,0.27004173398017883,0.19348332285881042,0.23375190794467926,0.21250541508197784,0.2661573588848114,0.24867193400859833,0.15783581137657166,0.4609978497028351,0.14698553085327148,0.18572697043418884
stage,0.26865634322166443,0.22652170062065125,0.24320562183856964,1.0000001192092896,0.1389172226190567,0.22652170062065125,0.22279205918312073,0.31251904368400574,0.2630990147590637,0.15168409049510956,0.10644891858100891,0.19676770269870758,0.22652170062065125,0.21316975355148315,0.17453749477863312,0.2011467069387436,0.14916576445102692
relatively,0.2874126732349396,0.33481109142303467,0.30288165807724,0.15598541498184204,0.2916591167449951,0.33481109142303467,0.22336174547672272,0.16322478652000427,0.26971855759620667,0.24081343412399292,0.1657557636499405,0.33787083625793457,0.33481109142303467,0.20160984992980957,0.3039110600948334,0.2696114182472229,0.1281091868877411
little,0.12664344906806946,0.2412613034248352,0.15299011766910553,0.18589851260185242,0.20116642117500305,0.2412613034248352,0.10334445536136627,0.1148483082652092,0.32780832052230835,0.2614184617996216,0.11614276468753815,0.23436859250068665,0.2412613034248352,0.20882830023765564,0.18156465888023376,0.22515349090099335,0.20336517691612244
