,in,what,city,is,wbt-fm,located,?
wbt,0.2740623652935028,0.21782539784908295,0.2522145211696625,0.19580474495887756,0.628950297832489,0.10380789637565613,0.22194723784923553
will,0.2580665349960327,0.3510494530200958,0.11721272766590118,0.3723262846469879,0.2980247139930725,0.12029515206813812,0.35046905279159546
also,0.5073733329772949,0.42747777700424194,0.2577536404132843,0.5012649297714233,0.3329872488975525,0.25066080689430237,0.21848613023757935
simulcast,0.31364256143569946,0.2620822489261627,0.21181875467300415,0.2441602647304535,0.45763757824897766,0.1871696412563324,0.1439180225133896
the,0.6662389636039734,0.42745697498321533,0.35769423842430115,0.5823672413825989,0.34347477555274963,0.407527357339859,0.22068053483963013
game,0.23986028134822845,0.2246788740158081,0.17519502341747284,0.21222543716430664,0.29154255986213684,0.06946636736392975,0.1829071193933487
on,0.46853652596473694,0.34226128458976746,0.2549738585948944,0.3635730445384979,0.35723766684532166,0.22447186708450317,0.2714994251728058
its,0.3793783485889435,0.30393704771995544,0.3465842306613922,0.4447362422943115,0.28235697746276855,0.3198530077934265,0.15103481709957123
sister,0.2088935822248459,0.1249556615948677,0.1572740525007248,0.13919129967689514,0.24764129519462585,0.0996956080198288,0.15028199553489685
station,0.21784305572509766,0.1613752841949463,0.28755414485931396,0.19625909626483917,0.41250327229499817,0.34322288632392883,0.12574981153011322
wbt-fm,0.3160903751850128,0.23787499964237213,0.28100454807281494,0.2598657011985779,1.0,0.2576824426651001,0.2747560441493988
(,0.3087427020072937,0.2411840260028839,0.19590984284877777,0.35393038392066956,0.3031943440437317,0.21025894582271576,0.40561532974243164
99.3,-0.035387326031923294,-0.04413545876741409,0.11807587742805481,0.048066042363643646,-0.06973107159137726,0.2437024712562561,-0.12154223024845123
fm,0.1521582156419754,0.12007185071706772,0.22745120525360107,0.13060927391052246,0.6104981303215027,0.19831176102161407,0.1004299446940422
),0.3326910734176636,0.26259949803352356,0.2113075703382492,0.37732169032096863,0.31098827719688416,0.19755883514881134,0.42300865054130554
",",0.5201468467712402,0.3087472915649414,0.35839709639549255,0.4691906273365021,0.3162071406841278,0.2678719460964203,0.31091248989105225
which,0.4840516746044159,0.5261979103088379,0.22264601290225983,0.4457404911518097,0.31580087542533875,0.29797419905662537,0.25814583897590637
is,0.5394441485404968,0.28837618231773376,0.3186660706996918,1.0,0.2598657011985779,0.35717159509658813,0.22961433231830597
based,0.3070422410964966,0.274813175201416,0.20024986565113068,0.3248139023780823,0.20820499956607819,0.2699260115623474,0.134929820895195
in,1.0,0.30808621644973755,0.3911624252796173,0.5394441485404968,0.3160903751850128,0.35149815678596497,0.20430970191955566
chester,0.1883646547794342,0.14611099660396576,0.3022550046443939,0.15257549285888672,0.20824792981147766,0.11290387809276581,0.1484697014093399
",",0.5201468467712402,0.3087472915649414,0.35839709639549255,0.4691906273365021,0.3162071406841278,0.2678719460964203,0.31091248989105225
south,0.33642083406448364,0.15388517081737518,0.38135167956352234,0.27680471539497375,0.225368469953537,0.3639508783817291,0.12336621433496475
carolina,0.2380082756280899,0.1956660896539688,0.26210474967956543,0.13908782601356506,0.20671804249286652,0.2030065506696701,0.11847445368766785
.,0.5591574311256409,0.3567904531955719,0.29856356978416443,0.4569662809371948,0.3825979232788086,0.28226932883262634,0.4130953550338745
