,what,was,the,warsaw,pact,war,plan,?
this,0.5489566326141357,0.3638818562030792,0.6274310946464539,0.1978864073753357,0.18009251356124878,0.29429852962493896,0.2665008008480072,0.3155723512172699
also,0.42747777700424194,0.4032125174999237,0.6021018624305725,0.16331592202186584,0.17681542038917542,0.29626187682151794,0.2076215147972107,0.21848613023757935
became,0.1434093862771988,0.6575068235397339,0.36325156688690186,0.1935342699289322,0.15146133303642273,0.2935825288295746,0.09119918942451477,0.11374033987522125
the,0.42745697498321533,0.48711544275283813,1.0,0.23137180507183075,0.22991842031478882,0.366199791431427,0.2852855324745178,0.22068053483963013
subject,0.3828662037849426,0.19509273767471313,0.2387523651123047,0.14467738568782806,0.14935076236724854,0.19892966747283936,0.24069572985172272,0.33952999114990234
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.19253842532634735,0.20963026583194733,0.31680163741111755,0.2742128372192383,0.1826142966747284
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.19591784477233887,0.17009644210338593,0.2368277609348297,0.27156999707221985,0.23916715383529663
film,0.17437689006328583,0.25235438346862793,0.2824619710445404,0.1820325255393982,0.1371803879737854,0.1768592894077301,0.14869330823421478,0.16369038820266724
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25300899147987366,0.19027502834796906,0.2671184241771698,0.21265573799610138,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.23137180507183075,0.22991842031478882,0.366199791431427,0.2852855324745178,0.22068053483963013
bridge,0.16739098727703094,0.23293238878250122,0.27692803740501404,0.1657981276512146,0.07002916932106018,0.1684015989303589,0.2565337121486664,0.1396101862192154
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.20140162110328674,0.02696620300412178,0.23910050094127655,0.19810442626476288,0.21978627145290375
remagen,0.11452659964561462,0.3243533670902252,0.3145361840724945,0.35220515727996826,0.2578800618648529,0.2565229833126068,0.18543115258216858,0.11813917011022568
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26825499534606934,0.13724426925182343,0.3000848889350891,0.2966235876083374,0.4130953550338745
,what,was,the,warsaw,pact,war,plan,?
seven,0.15978287160396576,0.28194957971572876,0.28151169419288635,0.18363049626350403,0.14866335690021515,0.19957704842090607,0.1642867773771286,0.1732930988073349
days,0.2191895991563797,0.2985812723636627,0.2574930489063263,0.17732223868370056,0.16854099929332733,0.2091457098722458,0.1782163679599762,0.2198754847049713
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.1953994333744049,0.23854580521583557,0.2610234022140503,0.36421895027160645,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.23137180507183075,0.22991842031478882,0.366199791431427,0.2852855324745178,0.22068053483963013
river,0.13815869390964508,0.15785206854343414,0.2894456386566162,0.10622203350067139,0.09793210029602051,0.1444680392742157,0.1802174597978592,0.15390869975090027
rhine,0.16475653648376465,0.18681856989860535,0.30735138058662415,0.35471341013908386,0.2095537632703781,0.21229961514472961,0.20480945706367493,0.13754533231258392
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2614976763725281,0.15255855023860931,0.3560331463813782,0.2407723069190979,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.19591784477233887,0.17009644210338593,0.2368277609348297,0.27156999707221985,0.23916715383529663
warsaw,0.10373849421739578,0.2614976763725281,0.23137180507183075,1.0,0.38584384322166443,0.3365558683872223,0.23353691399097443,0.09769917279481888
pact,0.21212948858737946,0.15255855023860931,0.22991842031478882,0.38584384322166443,1.0,0.37609028816223145,0.26371029019355774,0.12425699084997177
war,0.22516006231307983,0.3560331463813782,0.366199791431427,0.3365558683872223,0.37609028816223145,1.0000001192092896,0.23922358453273773,0.15510529279708862
plan,0.2947953939437866,0.2407723069190979,0.2852855324745178,0.23353691399097443,0.26371029019355774,0.23922358453273773,1.0,0.1961054503917694
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.1427849680185318,0.1463480442762375,0.22632956504821777,0.22760893404483795,0.264628142118454
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.15493714809417725,0.09700453281402588,0.15861496329307556,0.20559144020080566,0.19793890416622162
invasion,0.22275975346565247,0.27169278264045715,0.32296645641326904,0.27199462056159973,0.3627150058746338,0.43677109479904175,0.3551265299320221,0.18923960626125336
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.19253842532634735,0.20963026583194733,0.31680163741111755,0.2742128372192383,0.1826142966747284
western,0.2454150915145874,0.2864105999469757,0.37920868396759033,0.1806304007768631,0.16590893268585205,0.23575052618980408,0.1305529624223709,0.17439141869544983
europe,0.17179538309574127,0.2931758761405945,0.34463706612586975,0.2790890336036682,0.20665723085403442,0.3000480532646179,0.1687568724155426,0.18278923630714417
during,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.19431914389133453,0.1355232149362564,0.4802435040473938,0.19351215660572052,0.1325719803571701
the,0.42745697498321533,0.48711544275283813,1.0,0.23137180507183075,0.22991842031478882,0.366199791431427,0.2852855324745178,0.22068053483963013
cold,0.19148564338684082,0.16259494423866272,0.2897129952907562,0.181290403008461,0.1646382212638855,0.3876534104347229,0.10180630534887314,0.12272877991199493
war,0.22516006231307983,0.3560331463813782,0.366199791431427,0.3365558683872223,0.37609028816223145,1.0000001192092896,0.23922358453273773,0.15510529279708862
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26825499534606934,0.13724426925182343,0.3000848889350891,0.2966235876083374,0.4130953550338745
