,although,not,a,fuel,___,is,the,chemical,compound,the,generates,the,most,occurrence,of,explosions,.
fire,0.2351413071155548,0.16487717628479004,0.2617572844028473,0.28269287943840027,0.16052885353565216,0.20205499231815338,0.2911929488182068,0.1683976948261261,0.15943507850170135,0.2911929488182068,0.10000097751617432,0.2911929488182068,0.1695970743894577,0.15617041289806366,0.20259131491184235,0.4430410861968994,0.2511917054653168
and,0.334905743598938,0.39099299907684326,0.3739250600337982,0.22683054208755493,0.27950772643089294,0.3859752118587494,0.5171257257461548,0.1947544515132904,0.21241717040538788,0.5171257257461548,0.23343290388584137,0.5171257257461548,0.4309377074241638,0.19658420979976654,0.5116966962814331,0.23091156780719757,0.588965117931366
explosion,0.17141874134540558,0.18602901697158813,0.30481159687042236,0.34611502289772034,0.16899161040782928,0.24345266819000244,0.2702338993549347,0.3090759217739105,0.2836986184120178,0.2702338993549347,0.2419593334197998,0.2702338993549347,0.1910455822944641,0.36428460478782654,0.2521720826625824,0.9297640919685364,0.22781632840633392
hazards,0.23438873887062073,0.26446297764778137,0.25150901079177856,0.3399985134601593,0.2106705754995346,0.21223413944244385,0.2174634337425232,0.384195476770401,0.290707528591156,0.2174634337425232,0.23568184673786163,0.2174634337425232,0.20777374505996704,0.32982778549194336,0.2060418576002121,0.49264127016067505,0.29686102271080017
exist,0.3262431025505066,0.4296533465385437,0.20179782807826996,0.13954630494117737,0.2983018755912781,0.24373944103717804,0.3024537265300751,0.2211078256368637,0.2109566181898117,0.3024537265300751,0.2687835395336151,0.3024537265300751,0.2649478018283844,0.3125694990158081,0.28013259172439575,0.2533489763736725,0.29937607049942017
when,0.3650384247303009,0.4799930453300476,0.44397395849227905,0.19850334525108337,0.27029287815093994,0.3471449911594391,0.5091903209686279,0.27270105481147766,0.2538573741912842,0.5091903209686279,0.2329302430152893,0.5091903209686279,0.299309104681015,0.22543923556804657,0.3757161796092987,0.2302466481924057,0.475719153881073
concentrated,0.280920147895813,0.2994207441806793,0.22587455809116364,0.31878069043159485,0.019609246402978897,0.25344735383987427,0.2688957750797272,0.29733291268348694,0.2915184795856476,0.2688957750797272,0.23078091442584991,0.2688957750797272,0.3210751712322235,0.12763622403144836,0.28396520018577576,0.23469139635562897,0.2786614000797272
oxidants,0.19385987520217896,0.1954321265220642,0.14788439869880676,0.36319446563720703,0.12131313979625702,0.20412951707839966,0.15653514862060547,0.5592220425605774,0.5808524489402771,0.15653514862060547,0.23114873468875885,0.15653514862060547,0.23335188627243042,0.2753230929374695,0.18022018671035767,0.32311248779296875,0.20457129180431366
and,0.334905743598938,0.39099299907684326,0.3739250600337982,0.22683054208755493,0.27950772643089294,0.3859752118587494,0.5171257257461548,0.1947544515132904,0.21241717040538788,0.5171257257461548,0.23343290388584137,0.5171257257461548,0.4309377074241638,0.19658420979976654,0.5116966962814331,0.23091156780719757,0.588965117931366
fuels,0.23606890439987183,0.29436495900154114,0.18871913850307465,0.7826094627380371,0.23187310993671417,0.21151012182235718,0.18556588888168335,0.4017719030380249,0.3070349395275116,0.18556588888168335,0.34201380610466003,0.18556588888168335,0.22366012632846832,0.3031461536884308,0.1976904273033142,0.4167237877845764,0.22267504036426544
are,0.30740880966186523,0.46186959743499756,0.265255331993103,0.206919863820076,0.1828700751066208,0.5330929756164551,0.40399202704429626,0.2260693907737732,0.27501243352890015,0.40399202704429626,0.2894045412540436,0.40399202704429626,0.48698675632476807,0.2843131721019745,0.39081433415412903,0.2795923352241516,0.3452940285205841
