,what,cycle,starts,with,rubisco,?
the,0.42745697498321533,0.2701641917228699,0.39423343539237976,0.4223487675189972,0.27236315608024597,0.22068053483963013
calvin,0.2447197437286377,0.27192947268486023,0.17678199708461761,0.174408420920372,0.1092502698302269,0.2228267937898636
cycle,0.17920038104057312,1.0000001192092896,0.2499716877937317,0.1380273401737213,0.2256743162870407,0.07156776636838913
starts,0.24892903864383698,0.2499716877937317,1.0,0.2296278178691864,0.21069063246250153,0.17788195610046387
by,0.2455483376979828,0.15267513692378998,0.16106465458869934,0.39731505513191223,0.22404374182224274,0.17966607213020325
using,0.27984681725502014,0.13598577678203583,0.15886811912059784,0.3917884826660156,0.28905412554740906,0.2804589569568634
the,0.42745697498321533,0.2701641917228699,0.39423343539237976,0.4223487675189972,0.27236315608024597,0.22068053483963013
enzyme,0.20453688502311707,0.2787400782108307,0.1629476249217987,0.2311933934688568,0.3881222605705261,0.19525861740112305
rubisco,0.18222950398921967,0.2256743162870407,0.21069063246250153,0.2618594467639923,1.0,0.14757676422595978
to,0.455847829580307,0.17373278737068176,0.21829968690872192,0.4239959120750427,0.2258824110031128,0.29463258385658264
fix,0.30551406741142273,0.17524947226047516,0.18161611258983612,0.24528451263904572,0.16523636877536774,0.3740307092666626
co2,0.13638697564601898,0.10624489933252335,0.08752230554819107,0.21265184879302979,0.23474988341331482,0.0799083262681961
into,0.2180619090795517,0.14627525210380554,0.2338104397058487,0.2912435233592987,0.2386668473482132,0.15662476420402527
five-carbon,0.22519803047180176,0.36134690046310425,0.21390925347805023,0.2170209437608719,0.47455906867980957,0.20668728649616241
ribulose,0.24353325366973877,0.2301180511713028,0.23822139203548431,0.2736120820045471,0.41326019167900085,0.201125368475914
bisphosphate,0.19876451790332794,0.29248762130737305,0.1857890486717224,0.2268734723329544,0.4950956404209137,0.17039591073989868
(,0.2411840260028839,0.15891370177268982,0.20039929449558258,0.29503780603408813,0.20497854053974152,0.40561532974243164
rubp,0.21134784817695618,0.2160542756319046,0.2183988243341446,0.225058913230896,0.5083208084106445,0.26014244556427
),0.26259949803352356,0.1594121754169464,0.20984549820423126,0.3069596290588379,0.20024602115154266,0.42300865054130554
molecules,0.2143162339925766,0.3103310465812683,0.1936526596546173,0.2543012797832489,0.42271944880485535,0.17409995198249817
.,0.3567904531955719,0.19143328070640564,0.21013739705085754,0.4446153938770294,0.2983836829662323,0.4130953550338745
