,how,many,followers,does,the,presbyterian,church,of,east,africa,have,?
the,0.33890387415885925,0.4335206151008606,0.26839348673820496,0.35928019881248474,1.0,0.18977245688438416,0.23846197128295898,0.733189046382904,0.3383176326751709,0.2903064787387848,0.40389683842658997,0.22068053483963013
presbyterian,0.1557958722114563,0.1866256594657898,0.35988569259643555,0.11952971667051315,0.18977245688438416,1.0,0.624447762966156,0.2613043189048767,0.30899178981781006,0.2812316417694092,0.1792810559272766,0.14897421002388
church,0.10719848424196243,0.20546764135360718,0.3551288843154907,0.16385334730148315,0.23846197128295898,0.624447762966156,0.9999999403953552,0.3079429268836975,0.278177410364151,0.1766279935836792,0.14373023808002472,0.18081501126289368
of,0.2480744868516922,0.37253960967063904,0.26143142580986023,0.3119818866252899,0.733189046382904,0.2613043189048767,0.3079429268836975,1.0,0.314786434173584,0.2694264054298401,0.3802283704280853,0.1826142966747284
east,0.1773146688938141,0.20167402923107147,0.21306976675987244,0.1668700873851776,0.3383176326751709,0.30899178981781006,0.278177410364151,0.314786434173584,1.0000001192092896,0.34218665957450867,0.13639354705810547,0.10070597380399704
africa,0.1568063348531723,0.285052627325058,0.178101047873497,0.12769947946071625,0.2903064787387848,0.2812316417694092,0.1766279935836792,0.2694264054298401,0.34218665957450867,0.9999999403953552,0.21439820528030396,0.12926554679870605
has,0.26820555329322815,0.4266262650489807,0.1626555621623993,0.42885294556617737,0.4177538752555847,0.15358039736747742,0.19444791972637177,0.3909035325050354,0.2007128894329071,0.17411938309669495,0.6353569626808167,0.15994466841220856
3,0.12271612882614136,0.026462629437446594,0.11596270650625229,0.09254035353660583,0.06283142417669296,0.043178413063287735,0.06398936361074448,0.046857766807079315,0.11721130460500717,0.08106116950511932,0.08414030820131302,0.005975271109491587
million,0.21114659309387207,0.3520967364311218,0.2715872824192047,0.10680846869945526,0.277012437582016,0.30242156982421875,0.19440792500972748,0.21686489880084991,0.20456106960773468,0.25096797943115234,0.28469452261924744,0.23092924058437347
followers,0.2560766935348511,0.32230791449546814,1.0,0.19221580028533936,0.26839348673820496,0.35988569259643555,0.3551288843154907,0.26143142580986023,0.21306976675987244,0.178101047873497,0.23000523447990417,0.16716530919075012
in,0.2601168751716614,0.41474202275276184,0.26862582564353943,0.214483380317688,0.6662389636039734,0.2315383106470108,0.2493300437927246,0.5696388483047485,0.32659441232681274,0.27806714177131653,0.36843645572662354,0.20430970191955566
kenya,0.17591707408428192,0.21882791817188263,0.17177407443523407,0.15162554383277893,0.21657514572143555,0.23962973058223724,0.11369488388299942,0.22226637601852417,0.2637212574481964,0.4904056489467621,0.17783501744270325,0.17197901010513306
and,0.33647966384887695,0.5296266674995422,0.30679747462272644,0.3461615741252899,0.5171257257461548,0.2451682835817337,0.1976170688867569,0.5116966962814331,0.27633291482925415,0.2685798704624176,0.4711785912513733,0.20544172823429108
the,0.33890387415885925,0.4335206151008606,0.26839348673820496,0.35928019881248474,1.0,0.18977245688438416,0.23846197128295898,0.733189046382904,0.3383176326751709,0.2903064787387848,0.40389683842658997,0.22068053483963013
surrounding,0.18849462270736694,0.316882461309433,0.22049906849861145,0.23254890739917755,0.37289485335350037,0.15513896942138672,0.1867845356464386,0.36802753806114197,0.32573989033699036,0.14367517828941345,0.29365313053131104,0.05288729816675186
countries,0.22695748507976532,0.4298940598964691,0.23850670456886292,0.2621564269065857,0.33290645480155945,0.19469724595546722,0.16836395859718323,0.2800094783306122,0.28804680705070496,0.4068560302257538,0.3603367507457733,0.15128466486930847
.,0.3287222981452942,0.3974229395389557,0.2655838429927826,0.3022993505001068,0.5934505462646484,0.29744452238082886,0.28898224234580994,0.5352458953857422,0.28351864218711853,0.25634920597076416,0.41614407300949097,0.4130953550338745
