,what,do,the,auricles,do,?
between,0.2462156116962433,0.14014670252799988,0.39067012071609497,0.18602998554706573,0.14014670252799988,0.12887074053287506
the,0.42745697498321533,0.30239659547805786,1.0,0.33550047874450684,0.30239659547805786,0.22068053483963013
lobes,0.2680743336677551,0.2388528436422348,0.3548465073108673,0.43482014536857605,0.2388528436422348,0.13856348395347595
on,0.34226128458976746,0.3025321364402771,0.5107308030128479,0.16318173706531525,0.3025321364402771,0.2714994251728058
either,0.3851809501647949,0.3592597544193268,0.3795609474182129,0.17877350747585297,0.3592597544193268,0.31498292088508606
side,0.2532914876937866,0.183847576379776,0.37146830558776855,0.12175671756267548,0.183847576379776,0.07831130921840668
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.30034124851226807,0.26150479912757874,0.1826142966747284
the,0.42745697498321533,0.30239659547805786,1.0,0.33550047874450684,0.30239659547805786,0.22068053483963013
mouth,0.18337541818618774,0.17105767130851746,0.3073960244655609,0.23494666814804077,0.17105767130851746,0.21761061251163483
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.25997117161750793,0.3283645510673523,0.31091248989105225
many,0.36131182312965393,0.38738366961479187,0.4335206151008606,0.25531214475631714,0.38738366961479187,0.2124512493610382
species,0.14617158472537994,0.20613440871238708,0.2522439956665039,0.22578726708889008,0.20613440871238708,0.1957087516784668
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.30034124851226807,0.26150479912757874,0.1826142966747284
lobates,0.14199547469615936,0.1946193128824234,0.23895198106765747,0.2786640226840973,0.1946193128824234,0.2026495784521103
have,0.39808809757232666,0.49831271171569824,0.40389683842658997,0.28104421496391296,0.49831271171569824,0.32991164922714233
four,0.18057085573673248,0.1615660935640335,0.40344667434692383,0.24379803240299225,0.1615660935640335,0.14532537758350372
auricles,0.21166424453258514,0.22695384919643402,0.33550047874450684,0.9999999403953552,0.22695384919643402,0.21453310549259186
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.25997117161750793,0.3283645510673523,0.31091248989105225
gelatinous,0.15438850224018097,0.2259150743484497,0.23073269426822662,0.33148980140686035,0.2259150743484497,0.17941416800022125
projections,0.24621178209781647,0.17417123913764954,0.2387572079896927,0.19466818869113922,0.17417123913764954,0.26596105098724365
edged,0.13539952039718628,0.14392390847206116,0.2992836833000183,0.13847000896930695,0.14392390847206116,0.08233875781297684
with,0.2464839518070221,0.23744353652000427,0.4223487675189972,0.27418482303619385,0.23744353652000427,0.2433311939239502
cilia,0.17923450469970703,0.2475823163986206,0.18933437764644623,0.37756839394569397,0.2475823163986206,0.15204964578151703
that,0.6297725439071655,0.44533252716064453,0.5473989248275757,0.2529236674308777,0.44533252716064453,0.32716336846351624
produce,0.1685742735862732,0.2995959520339966,0.23457570374011993,0.2497197687625885,0.2995959520339966,0.19229066371917725
water,0.17456887662410736,0.2054748237133026,0.297396719455719,0.2473224252462387,0.2054748237133026,0.14731885492801666
currents,0.2076863795518875,0.2447616457939148,0.30279916524887085,0.24589428305625916,0.2447616457939148,0.07452256232500076
that,0.6297725439071655,0.44533252716064453,0.5473989248275757,0.2529236674308777,0.44533252716064453,0.32716336846351624
help,0.3728281855583191,0.40743157267570496,0.30064165592193604,0.15058116614818573,0.40743157267570496,0.28403452038764954
direct,0.26271191239356995,0.20146861672401428,0.3262479901313782,0.1526334136724472,0.20146861672401428,0.18476411700248718
microscopic,0.22313661873340607,0.24510926008224487,0.23638604581356049,0.36363551020622253,0.24510926008224487,0.18998190760612488
prey,0.21349354088306427,0.1948252022266388,0.2732231020927429,0.32311058044433594,0.1948252022266388,0.15793472528457642
toward,0.2619364559650421,0.15671567618846893,0.3341628313064575,0.12701766192913055,0.15671567618846893,0.09989774227142334
the,0.42745697498321533,0.30239659547805786,1.0,0.33550047874450684,0.30239659547805786,0.22068053483963013
mouth,0.18337541818618774,0.17105767130851746,0.3073960244655609,0.23494666814804077,0.17105767130851746,0.21761061251163483
.,0.3567904531955719,0.3613996207714081,0.5934505462646484,0.27171364426612854,0.3613996207714081,0.4130953550338745
