,how,does,cooling,of,the,local,environment,affect,the,mnemiopsis,?
mnemiopsis,0.27315208315849304,0.2771356701850891,0.22770440578460693,0.264727383852005,0.23440246284008026,0.10404196381568909,0.20519424974918365,0.2580280601978302,0.23440246284008026,1.0,0.3170430064201355
populations,0.2133786678314209,0.20781418681144714,0.21399015188217163,0.2561377286911011,0.2796059846878052,0.1804085373878479,0.3145314157009125,0.2954012155532837,0.2796059846878052,0.308880478143692,0.17519071698188782
in,0.2601168751716614,0.214483380317688,0.22014863789081573,0.5696388483047485,0.6662389636039734,0.2223825752735138,0.2854640781879425,0.31448644399642944,0.6662389636039734,0.19060823321342468,0.20430970191955566
those,0.3717906177043915,0.3144809603691101,0.263832688331604,0.37935635447502136,0.42861196398735046,0.18141843378543854,0.27173230051994324,0.367963969707489,0.42861196398735046,0.21657083928585052,0.3328189253807068
areas,0.2255835086107254,0.19766740500926971,0.1908552497625351,0.2803763747215271,0.3311663568019867,0.314243346452713,0.3383721709251404,0.28787603974342346,0.3311663568019867,0.1555110067129135,0.1273590475320816
were,0.2082374095916748,0.046230707317590714,0.14711441099643707,0.34038281440734863,0.3906462490558624,0.16442985832691193,0.14369609951972961,0.18298183381557465,0.3906462490558624,0.06993475556373596,0.17890112102031708
eventually,0.29669713973999023,0.2876618802547455,0.2967661917209625,0.313495934009552,0.42022404074668884,0.16580919921398163,0.1914358288049698,0.22961999475955963,0.42022404074668884,0.18964476883411407,0.13642115890979767
brought,0.23100145161151886,0.1843709498643875,0.140728160738945,0.3339962065219879,0.32700833678245544,0.16104188561439514,0.09212185442447662,0.2213515192270279,0.32700833678245544,0.1219903826713562,0.2339296191930771
under,0.23006081581115723,0.1601116806268692,0.2118285447359085,0.32766106724739075,0.3348022699356079,0.13595515489578247,0.12481803447008133,0.1950659304857254,0.3348022699356079,0.10349297523498535,0.18233340978622437
control,0.27268826961517334,0.22912582755088806,0.30853933095932007,0.2817542552947998,0.32841500639915466,0.2018730789422989,0.1954021453857422,0.32167160511016846,0.32841500639915466,0.14785565435886383,0.1620711386203766
by,0.34370526671409607,0.143477201461792,0.16985099017620087,0.3646814823150635,0.4408751428127289,0.17162570357322693,0.15333500504493713,0.1960909515619278,0.4408751428127289,0.16947123408317566,0.17966607213020325
the,0.33890387415885925,0.35928019881248474,0.2641267478466034,0.733189046382904,1.0,0.2130540907382965,0.25819888710975647,0.314972460269928,1.0,0.23440246284008026,0.22068053483963013
accidental,0.19034333527088165,0.19006644189357758,0.19515517354011536,0.2658019959926605,0.25876864790916443,0.1741555780172348,0.17014525830745697,0.234233558177948,0.25876864790916443,0.24591080844402313,0.2016049474477768
introduction,0.24394704401493073,0.18062648177146912,0.23341557383537292,0.24229779839515686,0.2808631956577301,0.071106918156147,0.21249400079250336,0.16765588521957397,0.2808631956577301,0.30725008249282837,0.27021539211273193
of,0.2480744868516922,0.3119818866252899,0.2464919537305832,1.0,0.733189046382904,0.20668989419937134,0.2659151554107666,0.3070525825023651,0.733189046382904,0.264727383852005,0.1826142966747284
the,0.33890387415885925,0.35928019881248474,0.2641267478466034,0.733189046382904,1.0,0.2130540907382965,0.25819888710975647,0.314972460269928,1.0,0.23440246284008026,0.22068053483963013
mnemiopsis-eating,0.33581772446632385,0.3565247058868408,0.41255298256874084,0.36742833256721497,0.34148645401000977,0.20070743560791016,0.2969622015953064,0.3190062940120697,0.34148645401000977,0.8239319324493408,0.3546854555606842
north,0.12114071100950241,0.11500263214111328,0.2268272191286087,0.3604778051376343,0.36298373341560364,0.11877486109733582,0.17833420634269714,0.15142393112182617,0.36298373341560364,0.1553216576576233,0.11829731613397598
american,0.22688741981983185,0.1448984146118164,0.1149837076663971,0.22180068492889404,0.24562937021255493,0.11635489761829376,0.1276966780424118,0.10385915637016296,0.24562937021255493,0.24985148012638092,0.18877598643302917
ctenophore,0.2459191530942917,0.2509111762046814,0.2632846236228943,0.2790392339229584,0.2813475728034973,0.12628710269927979,0.22742629051208496,0.26743966341018677,0.2813475728034973,0.5738357901573181,0.2190871685743332
beroe,0.1331382542848587,0.14422236382961273,0.15876469016075134,0.24126726388931274,0.2654626965522766,0.22696112096309662,0.20278754830360413,0.232316255569458,0.2654626965522766,0.2926037609577179,0.1766621172428131
ovata,0.06604424118995667,0.14256824553012848,0.17297343909740448,0.17106987535953522,0.183624267578125,0.08064431697130203,0.16764427721500397,0.07686907052993774,0.183624267578125,0.4299567937850952,0.09807669371366501
",",0.22659391164779663,0.28617382049560547,0.19767683744430542,0.4946078956127167,0.4933079481124878,0.20673875510692596,0.2742449939250946,0.24902932345867157,0.4933079481124878,0.32095542550086975,0.31091248989105225
and,0.33647966384887695,0.3461615741252899,0.2188228815793991,0.5116966962814331,0.5171257257461548,0.2468787580728531,0.2753470242023468,0.3258028030395508,0.5171257257461548,0.22967760264873505,0.20544172823429108
by,0.34370526671409607,0.143477201461792,0.16985099017620087,0.3646814823150635,0.4408751428127289,0.17162570357322693,0.15333500504493713,0.1960909515619278,0.4408751428127289,0.16947123408317566,0.17966607213020325
a,0.29312583804130554,0.38201746344566345,0.253410667181015,0.5052502155303955,0.5829201340675354,0.2435571700334549,0.25667375326156616,0.20271271467208862,0.5829201340675354,0.3138870298862457,0.23916715383529663
cooling,0.2554044723510742,0.2364400178194046,1.0000001192092896,0.2464919537305832,0.2641267478466034,0.1352636069059372,0.3717382848262787,0.26720207929611206,0.2641267478466034,0.22770440578460693,0.19326604902744293
of,0.2480744868516922,0.3119818866252899,0.2464919537305832,1.0,0.733189046382904,0.20668989419937134,0.2659151554107666,0.3070525825023651,0.733189046382904,0.264727383852005,0.1826142966747284
the,0.33890387415885925,0.35928019881248474,0.2641267478466034,0.733189046382904,1.0,0.2130540907382965,0.25819888710975647,0.314972460269928,1.0,0.23440246284008026,0.22068053483963013
local,0.1895620971918106,0.11821071803569794,0.1352636069059372,0.20668989419937134,0.2130540907382965,1.0,0.21490207314491272,0.16914759576320648,0.2130540907382965,0.10404196381568909,0.15022775530815125
climate,0.23680974543094635,0.22213737666606903,0.3590892255306244,0.25840428471565247,0.2693597674369812,0.12948592007160187,0.40844660997390747,0.2776014804840088,0.2693597674369812,0.18499448895454407,0.19998492300510406
from,0.22939439117908478,0.1777622550725937,0.15658967196941376,0.4249346852302551,0.40150508284568787,0.15869346261024475,0.20909692347049713,0.2122911810874939,0.40150508284568787,0.20794148743152618,0.19969791173934937
1991,0.0894000455737114,0.028305286541581154,-0.08749547600746155,-0.004689669236540794,0.002508036559447646,0.003912242595106363,-0.026580648496747017,-0.04492243379354477,0.002508036559447646,-0.1377173215150833,0.175977423787117
to,0.44169697165489197,0.4391997456550598,0.26446348428726196,0.41548454761505127,0.535392165184021,0.2207600325345993,0.274095743894577,0.2910311818122864,0.535392165184021,0.2134498953819275,0.29463258385658264
1993,0.09233522415161133,0.017164727672934532,-0.12365134805440903,-0.0491785854101181,-0.03424737602472305,-0.021555395796895027,-0.05230264738202095,-0.07425715774297714,-0.03424737602472305,-0.18429921567440033,0.14008748531341553
",",0.22659391164779663,0.28617382049560547,0.19767683744430542,0.4946078956127167,0.4933079481124878,0.20673875510692596,0.2742449939250946,0.24902932345867157,0.4933079481124878,0.32095542550086975,0.31091248989105225
which,0.4852597713470459,0.39111801981925964,0.35445600748062134,0.5011631846427917,0.6521818041801453,0.24027122557163239,0.301195353269577,0.36426806449890137,0.6521818041801453,0.31305280327796936,0.25814583897590637
significantly,0.3329834043979645,0.31266137957572937,0.32299306988716125,0.2703875005245209,0.3313288986682892,0.1593645066022873,0.2627306282520294,0.4010094106197357,0.3313288986682892,0.23161906003952026,0.1823679804801941
slowed,0.2737673819065094,0.20930548012256622,0.3038274049758911,0.2261045277118683,0.313388854265213,0.09936252981424332,0.18314237892627716,0.3429965078830719,0.313388854265213,0.19574227929115295,0.10585252940654755
