,where,was,a,lab,for,tesla,set,up,?
they,0.43078136444091797,0.3300964832305908,0.3528250455856323,0.2534525394439697,0.3466525673866272,0.1470530778169632,0.22562575340270996,0.32603394985198975,0.2753053903579712
set,0.27437397837638855,0.22985222935676575,0.2540091574192047,0.0715620368719101,0.30194196105003357,0.04138053581118584,1.0000001192092896,0.32636314630508423,0.1698019951581955
up,0.341964989900589,0.24070115387439728,0.32523053884506226,0.19338922202587128,0.342966228723526,0.17339079082012177,0.32636314630508423,1.0000001192092896,0.1819818764925003
a,0.40997210144996643,0.4508470594882965,1.0,0.19764700531959534,0.44038116931915283,0.2211925983428955,0.2540091574192047,0.32523053884506226,0.23916715383529663
laboratory,0.24821273982524872,0.24070261418819427,0.2253785878419876,0.6134601831436157,0.26230254769325256,0.3209504187107086,0.16195087134838104,0.1994142383337021,0.07445509731769562
for,0.38599511981010437,0.3863949179649353,0.44038116931915283,0.185353085398674,0.9999999403953552,0.13983871042728424,0.30194196105003357,0.342966228723526,0.264628142118454
tesla,0.12761090695858002,0.16455206274986267,0.2211925983428955,0.24769280850887299,0.13983871042728424,0.9999999403953552,0.04138053581118584,0.17339079082012177,0.10250775516033173
at,0.4402937591075897,0.36707764863967896,0.3095070421695709,0.2634577453136444,0.34237727522850037,0.16552478075027466,0.19892042875289917,0.26974549889564514,0.21978627145290375
89,0.1799003630876541,0.15807123482227325,0.18645848333835602,0.04475858807563782,0.12944486737251282,0.15559504926204681,0.14100077748298645,0.17725487053394318,0.13874289393424988
liberty,0.18150395154953003,0.15978959202766418,0.2256072610616684,0.15082642436027527,0.18206685781478882,0.20551256835460663,0.11919918656349182,0.13510802388191223,0.137216255068779
street,0.2266174852848053,0.21281053125858307,0.18956080079078674,0.2031901776790619,0.24031898379325867,0.15601496398448944,0.14916808903217316,0.11786003410816193,0.07315441966056824
in,0.5344807505607605,0.45514053106307983,0.539380669593811,0.19344905018806458,0.4322226941585541,0.17097744345664978,0.2663729190826416,0.3120773434638977,0.20430970191955566
manhattan,0.19199755787849426,0.21494844555854797,0.19931083917617798,0.29468420147895813,0.13444578647613525,0.19268673658370972,0.20861300826072693,0.1692020148038864,0.08787932246923447
where,0.9999999403953552,0.20731619000434875,0.40997210144996643,0.18901365995407104,0.38599511981010437,0.12761090695858002,0.27437397837638855,0.341964989900589,0.24793872237205505
he,0.3705328106880188,0.5410010814666748,0.4393508732318878,0.2131323367357254,0.4540175199508667,0.12373391538858414,0.15966562926769257,0.2621474862098694,0.2089974731206894
worked,0.23623773455619812,0.38922780752182007,0.23579153418540955,0.286190390586853,0.3048533797264099,0.15985111892223358,0.2158898413181305,0.20586617290973663,0.0901828184723854
on,0.37630224227905273,0.3909217119216919,0.3848365545272827,0.21672630310058594,0.36199691891670227,0.16159376502037048,0.23748746514320374,0.34194523096084595,0.2714994251728058
improving,0.24979066848754883,0.13756299018859863,0.25574174523353577,0.23060406744480133,0.37727224826812744,0.22146393358707428,0.13581691682338715,0.2348639965057373,0.3233918249607086
and,0.43859338760375977,0.3740963041782379,0.3739250600337982,0.2452252358198166,0.5064792633056641,0.19560420513153076,0.27649927139282227,0.4032393991947174,0.20544172823429108
developing,0.2389208972454071,0.20219255983829498,0.29613688588142395,0.22750087082386017,0.32847198843955994,0.19485853612422943,0.16699673235416412,0.2082422822713852,0.1301516592502594
new,0.26026442646980286,0.2748313844203949,0.3214259147644043,0.2394755333662033,0.2700757384300232,0.15999311208724976,0.238132506608963,0.27085041999816895,0.14782847464084625
types,0.23438596725463867,0.0920981764793396,0.27099108695983887,0.19042766094207764,0.29793059825897217,0.1195170134305954,0.14808544516563416,0.17719930410385132,0.1285012811422348
of,0.38066378235816956,0.4069072902202606,0.5052502155303955,0.21564167737960815,0.4185989499092102,0.18837453424930573,0.20671486854553223,0.32945773005485535,0.1826142966747284
electric,0.18615438044071198,0.17723047733306885,0.24061402678489685,0.15736123919487,0.2190219610929489,0.3824412524700165,0.15309464931488037,0.16397646069526672,0.15674720704555511
motors,0.128192737698555,0.21805553138256073,0.1982623040676117,0.17575965821743011,0.19300910830497742,0.4209146201610565,0.0888025090098381,0.13319514691829681,0.16430476307868958
",",0.3149496018886566,0.45456063747406006,0.427140474319458,0.1915702074766159,0.4464869201183319,0.20599327981472015,0.24912182986736298,0.34193792939186096,0.31091248989105225
generators,0.2887599468231201,0.11544439941644669,0.20979048311710358,0.2128949612379074,0.22097858786582947,0.3713798522949219,0.2105441689491272,0.33842533826828003,0.20217099785804749
and,0.43859338760375977,0.3740963041782379,0.3739250600337982,0.2452252358198166,0.5064792633056641,0.19560420513153076,0.27649927139282227,0.4032393991947174,0.20544172823429108
other,0.3730994164943695,0.14651623368263245,0.2806335389614105,0.16562052071094513,0.3273986279964447,0.11896419525146484,0.22195905447006226,0.30423301458358765,0.24682199954986572
devices,0.2131791114807129,0.17249077558517456,0.23065660893917084,0.29177695512771606,0.2581363916397095,0.4021223783493042,0.19287332892417908,0.1828700453042984,0.10574188083410263
.,0.41390106081962585,0.40146201848983765,0.50484299659729,0.2572387754917145,0.4726039469242096,0.17949827015399933,0.2928885817527771,0.351434588432312,0.4130953550338745
