,previous,to,isotopic,dating,sections,of,rocks,had,to,be,dated,using,fossils,and,stratigraphic,correlation,relative,to,what,?
previously,0.664284348487854,0.2865954041481018,0.11568935215473175,0.12049467861652374,0.17250177264213562,0.2850290536880493,0.13707296550273895,0.3946262300014496,0.2865954041481018,0.31897011399269104,0.2165820151567459,0.21030718088150024,0.21638718247413635,0.28226712346076965,0.187621608376503,0.1859169751405716,0.16270551085472107,0.2865954041481018,0.24305304884910583,0.15811841189861298
",",0.26843470335006714,0.44245919585227966,0.16429710388183594,0.2450258880853653,0.28268834948539734,0.4946078956127167,0.30537211894989014,0.35487717390060425,0.44245919585227966,0.39254459738731384,0.2621086835861206,0.27050045132637024,0.21695511043071747,0.6633074283599854,0.2281859666109085,0.2353242188692093,0.21147610247135162,0.44245919585227966,0.3087472915649414,0.31091248989105225
geologists,0.16859106719493866,0.24980248510837555,0.3806329667568207,0.3807944059371948,0.21898281574249268,0.21582631766796112,0.49909713864326477,0.20951126515865326,0.24980248510837555,0.23381906747817993,0.27729925513267517,0.21200257539749146,0.5815710425376892,0.16954530775547028,0.5271145105361938,0.3050975203514099,0.21868082880973816,0.24980248510837555,0.33891814947128296,0.18105274438858032
could,0.19101986289024353,0.5461788773536682,0.16965343058109283,0.1241912916302681,0.30408576130867004,0.29043012857437134,0.18706542253494263,0.5528231859207153,0.5461788773536682,0.4791525900363922,0.19997653365135193,0.41149967908859253,0.25910499691963196,0.3385082483291626,0.17372512817382812,0.2783307731151581,0.19885890185832977,0.5461788773536682,0.4188697934150696,0.3411986827850342
only,0.36214756965637207,0.5096819996833801,0.3135858476161957,0.1749136745929718,0.2596110701560974,0.49632513523101807,0.2013266682624817,0.3839550316333771,0.5096819996833801,0.46042704582214355,0.18601422011852264,0.37800416350364685,0.25843650102615356,0.4542345404624939,0.22903157770633698,0.2529177963733673,0.30703461170196533,0.5096819996833801,0.41415658593177795,0.2767370045185089
use,0.19417217373847961,0.47261837124824524,0.32569795846939087,0.21020367741584778,0.2792243957519531,0.2750902473926544,0.19122737646102905,0.22564378380775452,0.47261837124824524,0.4528608024120331,0.17823220789432526,0.7256444692611694,0.16954033076763153,0.34145063161849976,0.25960054993629456,0.25987234711647034,0.23208537697792053,0.47261837124824524,0.3453877568244934,0.32795652747154236
fossils,0.17114092409610748,0.22865045070648193,0.35598525404930115,0.3732518255710602,0.19572754204273224,0.2560483515262604,0.5277665257453918,0.22382453083992004,0.22865045070648193,0.2112617939710617,0.3590318262577057,0.14589408040046692,1.0000001192092896,0.23379240930080414,0.4491811990737915,0.3287617266178131,0.30374422669410706,0.22865045070648193,0.24009542167186737,0.1504307985305786
and,0.22210395336151123,0.48971283435821533,0.1658094823360443,0.23646213114261627,0.3160761892795563,0.5116966962814331,0.29739323258399963,0.3872550129890442,0.48971283435821533,0.41766801476478577,0.19221575558185577,0.33157408237457275,0.23379240930080414,1.0,0.24237629771232605,0.2317097932100296,0.3077041506767273,0.48971283435821533,0.31309178471565247,0.20544172823429108
stratigraphic,0.22916485369205475,0.20134103298187256,0.48396414518356323,0.41411957144737244,0.2175697386264801,0.338003009557724,0.4446791410446167,0.1698199212551117,0.20134103298187256,0.19420665502548218,0.3940454125404358,0.27383702993392944,0.4491811990737915,0.24237629771232605,0.9999998807907104,0.4366875886917114,0.3294168710708618,0.20134103298187256,0.24726764857769012,0.13672329485416412
correlation,0.2554042637348175,0.28919774293899536,0.4894229471683502,0.25187990069389343,0.23117589950561523,0.2555362582206726,0.20760875940322876,0.24800878763198853,0.28919774293899536,0.3288320302963257,0.19129399955272675,0.2540377080440521,0.3287617266178131,0.2317097932100296,0.4366875886917114,1.0000001192092896,0.5401809215545654,0.28919774293899536,0.310825914144516,0.23400020599365234
to,0.26198142766952515,1.0,0.20931284129619598,0.17611581087112427,0.2865123450756073,0.41548454761505127,0.23520028591156006,0.37984350323677063,1.0,0.4972836375236511,0.20172762870788574,0.3678804934024811,0.22865045070648193,0.48971283435821533,0.20134103298187256,0.28919774293899536,0.283727765083313,1.0,0.455847829580307,0.29463258385658264
date,0.22298967838287354,0.2530132532119751,0.2256462424993515,0.4261505901813507,0.14160609245300293,0.19568462669849396,0.20581649243831635,0.1289709359407425,0.2530132532119751,0.26916593313217163,0.5506651997566223,0.2148745357990265,0.20930039882659912,0.21585220098495483,0.268695205450058,0.18985410034656525,0.11616124957799911,0.2530132532119751,0.20141606032848358,0.2698357403278351
sections,0.21757404506206512,0.2865123450756073,0.19598735868930817,0.13103041052818298,0.9999999403953552,0.20906880497932434,0.2015804797410965,0.21496297419071198,0.2865123450756073,0.35861948132514954,0.149433434009552,0.23820480704307556,0.19572754204273224,0.3160761892795563,0.2175697386264801,0.23117589950561523,0.12000851333141327,0.2865123450756073,0.29098522663116455,0.2495482712984085
of,0.2892087996006012,0.41548454761505127,0.2199648916721344,0.2134421318769455,0.20906880497932434,1.0,0.2664484679698944,0.37755560874938965,0.41548454761505127,0.33904364705085754,0.210488960146904,0.24298200011253357,0.2560483515262604,0.5116966962814331,0.338003009557724,0.2555362582206726,0.32158899307250977,0.41548454761505127,0.33290785551071167,0.1826142966747284
rock,0.14114029705524445,0.22657817602157593,0.17741158604621887,0.24752582609653473,0.12924973666667938,0.2653365731239319,0.5946089029312134,0.1485758125782013,0.22657817602157593,0.24234087765216827,0.16981558501720428,0.18912139534950256,0.2785075604915619,0.2808155119419098,0.2781538665294647,0.1341751515865326,0.13933731615543365,0.22657817602157593,0.1923677921295166,0.13172835111618042
relative,0.24748127162456512,0.283727765083313,0.43053022027015686,0.1867489069700241,0.12000851333141327,0.32158899307250977,0.17908771336078644,0.2177768349647522,0.283727765083313,0.2004498690366745,0.12702377140522003,0.18788865208625793,0.30374422669410706,0.3077041506767273,0.3294168710708618,0.5401809215545654,1.0000001192092896,0.283727765083313,0.24426062405109406,0.1457768678665161
