,how,did,the,rhine,extend,watershed,southward,?
through,0.2704794108867645,0.14190755784511566,0.44071322679519653,0.23343999683856964,0.3006420433521271,0.35008612275123596,0.42300552129745483,0.16913433372974396
stream,0.15122921764850616,0.0437934473156929,0.2507912814617157,0.22996878623962402,0.2335471659898758,0.4412503242492676,0.34640878438949585,0.11238504201173782
capture,0.13953673839569092,0.1035466119647026,0.3008226752281189,0.14610227942466736,0.2208288460969925,0.16476057469844818,0.23795457184314728,0.12945853173732758
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.167837992310524,0.24409228563308716,0.3274255096912384,0.2523079812526703,0.31091248989105225
the,0.33890387415885925,0.34736719727516174,1.0,0.30735138058662415,0.29680711030960083,0.3608066141605377,0.3246697783470154,0.22068053483963013
rhine,0.09285783767700195,0.15695837140083313,0.30735138058662415,1.0,0.15292979776859283,0.27378469705581665,0.3219551146030426,0.13754533231258392
extended,0.1505790501832962,0.22313983738422394,0.3160722553730011,0.17787183821201324,0.7595950365066528,0.20983093976974487,0.25906902551651,0.17568568885326385
its,0.22449488937854767,0.19922670722007751,0.559237003326416,0.17144687473773956,0.35213279724121094,0.32050031423568726,0.26557686924934387,0.15103481709957123
watershed,0.11951517313718796,0.05166950449347496,0.3608066141605377,0.27378469705581665,0.2821061313152313,1.0,0.44132018089294434,0.19569385051727295
southward,0.1291119009256363,0.18089640140533447,0.3246697783470154,0.3219551146030426,0.3508359491825104,0.44132018089294434,1.0,0.09980402886867523
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.2089352011680603,0.23276987671852112,0.2929422855377197,0.2108648419380188,0.4130953550338745
