,what,did,luther,think,that,faith,could,not,be,understood,by,?
some,0.4491020441055298,0.42553430795669556,0.2097044140100479,0.5093849301338196,0.6049469113349915,0.21603228151798248,0.46296966075897217,0.564181387424469,0.49956634640693665,0.4293270707130432,0.306446373462677,0.2562315762042999
scholars,0.2640625238418579,0.27782103419303894,0.24086572229862213,0.3046245574951172,0.30800777673721313,0.2974238395690918,0.20709694921970367,0.19963021576404572,0.22129200398921967,0.27904343605041504,0.17651315033435822,0.11279910802841187
have,0.39808809757232666,0.3783526122570038,0.12011514604091644,0.5388241410255432,0.6182622313499451,0.2082022875547409,0.4896247088909149,0.5619372129440308,0.5760743618011475,0.3884161710739136,0.3359639644622803,0.32991164922714233
asserted,0.31134697794914246,0.3047267198562622,0.19642622768878937,0.3432936370372772,0.3599851727485657,0.30416738986968994,0.2908278703689575,0.4063356816768646,0.25831732153892517,0.33351656794548035,0.2365238517522812,0.2433508187532425
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.5798900723457336,1.0,0.29499298334121704,0.5584503412246704,0.6600887179374695,0.6036020517349243,0.43199658393859863,0.37496164441108704,0.32716336846351624
luther,0.2134782373905182,0.23667675256729126,1.0,0.16532817482948303,0.21746599674224854,0.2839079797267914,0.1768653839826584,0.21636232733726501,0.15299063920974731,0.11290297657251358,0.15382802486419678,0.1732746809720993
taught,0.25590506196022034,0.3282313942909241,0.1697547286748886,0.3011631369590759,0.22723259031772614,0.28071197867393494,0.26896312832832336,0.2191137969493866,0.17041322588920593,0.3388894200325012,0.20017704367637634,0.18297621607780457
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.5798900723457336,1.0,0.29499298334121704,0.5584503412246704,0.6600887179374695,0.6036020517349243,0.43199658393859863,0.37496164441108704,0.32716336846351624
faith,0.3120079040527344,0.24413958191871643,0.2839079797267914,0.3630247414112091,0.29499298334121704,1.0,0.20057570934295654,0.2913705110549927,0.25434166193008423,0.22263026237487793,0.15042667090892792,0.2833177447319031
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.30740439891815186,0.4731321930885315,0.2653059959411621,0.3385082483291626,0.39099299907684326,0.41766801476478577,0.2717077434062958,0.4289871156215668,0.20544172823429108
reason,0.3762516975402832,0.2975914180278778,0.1425657421350479,0.45760443806648254,0.462776243686676,0.25525468587875366,0.3438085615634918,0.4808345437049866,0.3769439458847046,0.3220181167125702,0.18194518983364105,0.3403966724872589
were,0.22298263013362885,0.4162326455116272,0.18652333319187164,0.26015451550483704,0.35517072677612305,0.18950022757053375,0.40738195180892944,0.33318549394607544,0.4064064621925354,0.2717213034629822,0.4406847059726715,0.17890112102031708
