,what,was,the,average,family,size,?
there,0.35085538029670715,0.24909798800945282,0.47025805711746216,0.22857481241226196,0.16961421072483063,0.22725626826286316,0.29405656456947327
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.17036251723766327,0.19354695081710815,0.14647510647773743,0.17890112102031708
"111,529",0.12686651945114136,0.1551566869020462,0.10277030616998672,0.06293781846761703,0.26924291253089905,0.04158741235733032,0.05395520105957985
families,0.17109867930412292,0.17975707352161407,0.26391902565956116,0.2241257280111313,0.6758413910865784,0.13403689861297607,0.14422203600406647
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.20423224568367004,0.11613968014717102,0.20613399147987366,0.40561532974243164
70.4,0.019678322598338127,0.15773969888687134,0.1345955729484558,0.035257697105407715,-0.0552339106798172,-0.004815572407096624,0.041057851165533066
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.3856343626976013,0.13784094154834747,0.3477778136730194,0.21441808342933655
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23717734217643738,0.1893671154975891,0.27599775791168213,0.1826142966747284
all,0.41981086134910583,0.23179835081100464,0.4860881567001343,0.25719907879829407,0.21070411801338196,0.29749128222465515,0.29575422406196594
households,0.1889873743057251,0.17632555961608887,0.26440316438674927,0.41769370436668396,0.32333338260650635,0.2689792513847351,0.17362827062606812
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.20956556499004364,0.15234941244125366,0.1989639550447464,0.42300865054130554
;,0.10986888408660889,0.0754367932677269,0.09152708947658539,0.09858231991529465,0.08289860188961029,0.0915059968829155,0.10349778085947037
the,0.42745697498321533,0.48711544275283813,1.0,0.27058175206184387,0.2394849956035614,0.2946445941925049,0.22068053483963013
average,0.24068789184093475,0.18843130767345428,0.27058175206184387,1.0,0.16706408560276031,0.3103724718093872,0.21764592826366425
family,0.16391263902187347,0.21917963027954102,0.2394849956035614,0.16706408560276031,0.9999998807907104,0.15242300927639008,0.15222905576229095
size,0.2566739320755005,0.12699323892593384,0.2946445941925049,0.3103724718093872,0.15242300927639008,1.0000001192092896,0.13693112134933472
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.18843130767345428,0.21917963027954102,0.12699323892593384,0.18412111699581146
3.62,-0.202086940407753,-0.18200799822807312,-0.23176975548267365,-0.030221857130527496,-0.030999016016721725,-0.13892051577568054,-0.18508212268352509
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2717139422893524,0.24114800989627838,0.30260366201400757,0.4130953550338745
