,what,city,is,tied,with,miami,for,hosting,the,super,bowl,?
the,0.42745697498321533,0.35769423842430115,0.5823672413825989,0.24453675746917725,0.4223487675189972,0.19180938601493835,0.4739971458911896,0.3117837607860565,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
south,0.15388517081737518,0.38135167956352234,0.27680471539497375,0.13544709980487823,0.15469324588775635,0.16922584176063538,0.17502866685390472,0.19888921082019806,0.3129390776157379,0.13015596568584442,0.17958779633045197,0.12336621433496475
florida/miami,0.1516270637512207,0.32337820529937744,0.22316017746925354,0.18017594516277313,0.20668640732765198,0.7828934788703918,0.2614940404891968,0.24991798400878906,0.2696992754936218,0.2097877860069275,0.3453962206840515,0.17255498468875885
area,0.21965408325195312,0.41959723830223083,0.29283958673477173,0.14836983382701874,0.2303420901298523,0.22475723922252655,0.20941852033138275,0.10102023929357529,0.37834644317626953,0.09147491306066513,0.19680163264274597,0.12640461325645447
has,0.20338068902492523,0.2476206123828888,0.5668748617172241,0.16990259289741516,0.44092974066734314,0.18996839225292206,0.450642853975296,0.30578017234802246,0.4177538752555847,0.15233033895492554,0.17163237929344177,0.15994466841220856
previously,0.24305304884910583,0.19301825761795044,0.24012024700641632,0.18091896176338196,0.22913505136966705,0.2054256945848465,0.3148766756057739,0.2957053780555725,0.33854439854621887,0.24618855118751526,0.13252989947795868,0.15811841189861298
hosted,0.10146842896938324,0.2563081383705139,0.18988433480262756,0.16045978665351868,0.1889495551586151,0.1946914792060852,0.2607939839363098,0.6811624765396118,0.2576315402984619,0.1794566810131073,0.17901405692100525,0.09810540825128555
the,0.42745697498321533,0.35769423842430115,0.5823672413825989,0.24453675746917725,0.4223487675189972,0.19180938601493835,0.4739971458911896,0.3117837607860565,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
event,0.26981404423713684,0.13720391690731049,0.2078172266483307,0.13800054788589478,0.17549638450145721,0.18212273716926575,0.21648059785366058,0.3345154821872711,0.2960145175457001,0.20683135092258453,0.22903870046138763,0.16076280176639557
10,0.11840458959341049,0.18970850110054016,0.1865890771150589,0.06722628325223923,0.11515160650014877,0.03255012258887291,0.07862305641174316,-0.002247204538434744,0.2880653440952301,0.053164973855018616,0.06414627283811569,0.022911956533789635
times,0.21414996683597565,0.22256386280059814,0.21773184835910797,0.22775548696517944,0.3026435673236847,0.11473499238491058,0.2999500632286072,0.14220558106899261,0.29093852639198303,0.19135531783103943,0.25533148646354675,0.18880689144134521
(,0.2411840260028839,0.19590984284877777,0.35393038392066956,0.1712648570537567,0.29503780603408813,0.1883707493543625,0.3357032239437103,0.20159326493740082,0.33289089798927307,0.17553061246871948,0.15949074923992157,0.40561532974243164
tied,0.13032014667987823,0.1055404543876648,0.1781301349401474,1.0,0.30813896656036377,0.1389777958393097,0.2228156179189682,0.10059817880392075,0.24453675746917725,0.15753702819347382,0.19662193953990936,0.14687292277812958
for,0.3017193675041199,0.18687109649181366,0.43268078565597534,0.2228156179189682,0.39140474796295166,0.19339090585708618,0.9999999403953552,0.38310176134109497,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.264628142118454
