,how,many,electorates,does,the,state,of,victoria,have,?
the,0.33890387415885925,0.4335206151008606,0.27523401379585266,0.35928019881248474,1.0,0.3097178041934967,0.733189046382904,0.2204313427209854,0.40389683842658997,0.22068053483963013
state,0.15028610825538635,0.23203584551811218,0.3060373365879059,0.15987756848335266,0.3097178041934967,1.0,0.34253445267677307,0.23197819292545319,0.2083192616701126,0.1160883978009224
of,0.2480744868516922,0.37253960967063904,0.34452956914901733,0.3119818866252899,0.733189046382904,0.34253445267677307,1.0,0.2505437433719635,0.3802283704280853,0.1826142966747284
victoria,0.09004101157188416,0.1926158368587494,0.3051965832710266,0.09501408785581589,0.2204313427209854,0.23197819292545319,0.2505437433719635,1.0,0.16480252146720886,0.12246892601251602
was,0.16678167879581451,0.260356068611145,0.25124168395996094,0.19302551448345184,0.48711544275283813,0.22072885930538177,0.4069072902202606,0.2550773620605469,0.2863433063030243,0.18412111699581146
divided,0.1862497329711914,0.21604293584823608,0.30963563919067383,0.12029664218425751,0.34601110219955444,0.1687982976436615,0.37450557947158813,0.12457699328660965,0.252825528383255,0.10190024226903915
into,0.2303972691297531,0.2618265151977539,0.21371926367282867,0.22312942147254944,0.39493247866630554,0.13660210371017456,0.32255905866622925,0.07956245541572571,0.3038242757320404,0.15662476420402527
eight,0.222213014960289,0.348200261592865,0.24166586995124817,0.11145713925361633,0.34254369139671326,0.11737248301506042,0.3220755457878113,0.1760280728340149,0.31264185905456543,0.11634626984596252
electorates,0.15310049057006836,0.1556028425693512,1.0,0.1859847754240036,0.27523401379585266,0.3060373365879059,0.34452956914901733,0.3051965832710266,0.15077510476112366,0.13051731884479523
with,0.3525622487068176,0.35744401812553406,0.0922229215502739,0.26186925172805786,0.4223487675189972,0.2062043994665146,0.41827285289764404,0.1835653930902481,0.48046383261680603,0.2433311939239502
each,0.4183253347873688,0.35348209738731384,0.21908918023109436,0.31699198484420776,0.470844566822052,0.18823035061359406,0.38460010290145874,0.16885024309158325,0.4084063768386841,0.21173812448978424
electorate,0.1442400962114334,0.12443629652261734,0.9519646763801575,0.14044839143753052,0.23709100484848022,0.3206973969936371,0.3167199194431305,0.32215455174446106,0.1538148671388626,0.1467054933309555
represented,0.16157718002796173,0.20285002887248993,0.2749561667442322,0.1663246899843216,0.3256146013736725,0.2271086424589157,0.3891753554344177,0.16067147254943848,0.21880444884300232,0.11276352405548096
by,0.34370526671409607,0.3409687578678131,0.1966835856437683,0.143477201461792,0.4408751428127289,0.2263980358839035,0.3646814823150635,0.17471559345722198,0.3359639644622803,0.17966607213020325
five,0.20553050935268402,0.41084155440330505,0.20475010573863983,0.14718510210514069,0.41977158188819885,0.1870855689048767,0.3980514109134674,0.1563853919506073,0.35977232456207275,0.18342848122119904
representatives,0.1742788553237915,0.1986415535211563,0.4509209394454956,0.17351844906806946,0.2691882848739624,0.40094056725502014,0.3133973777294159,0.1830836981534958,0.21157918870449066,0.14079871773719788
elected,0.15145733952522278,0.13487686216831207,0.5811700820922852,0.14313174784183502,0.23167964816093445,0.23233018815517426,0.2767166793346405,0.17549392580986023,0.13752682507038116,0.1966295689344406
by,0.34370526671409607,0.3409687578678131,0.1966835856437683,0.143477201461792,0.4408751428127289,0.2263980358839035,0.3646814823150635,0.17471559345722198,0.3359639644622803,0.17966607213020325
single,0.19500847160816193,0.20817208290100098,0.13892340660095215,0.2102108746767044,0.29338565468788147,0.11868365854024887,0.22455744445323944,0.19115333259105682,0.23322337865829468,0.2151121199131012
transferable,0.2560582458972931,0.22769445180892944,0.35180556774139404,0.27788910269737244,0.32938724756240845,0.26208361983299255,0.363071471452713,0.2334986925125122,0.2970276176929474,0.19023680686950684
vote,0.2566540539264679,0.14577564597129822,0.5097381472587585,0.17017656564712524,0.22779929637908936,0.23926781117916107,0.19845709204673767,0.15194720029830933,0.26096346974372864,0.2888886630535126
.,0.3287222981452942,0.3974229395389557,0.23215512931346893,0.3022993505001068,0.5934505462646484,0.31380724906921387,0.5352458953857422,0.23069117963314056,0.41614407300949097,0.4130953550338745
