,who,in,warsaw,has,the,power,of,legislative,action,?
legislative,0.17747299373149872,0.24765221774578094,0.0928143709897995,0.14951680600643158,0.27501925826072693,0.29454687237739563,0.34083476662635803,1.0,0.19175301492214203,0.1654243916273117
power,0.25855374336242676,0.16666220128536224,0.12232338637113571,0.1779095083475113,0.2647338807582855,1.0000001192092896,0.25273123383522034,0.29454687237739563,0.16127116978168488,0.15304024517536163
in,0.2792111933231354,1.0,0.22642600536346436,0.4173259735107422,0.6662389636039734,0.16666220128536224,0.5696388483047485,0.24765221774578094,0.22362500429153442,0.20430970191955566
warsaw,0.16496863961219788,0.22642600536346436,1.0,0.16755639016628265,0.23137180507183075,0.12232338637113571,0.19253842532634735,0.0928143709897995,0.09601336717605591,0.09769917279481888
is,0.24293622374534607,0.5394441485404968,0.09741193056106567,0.5668748617172241,0.5823672413825989,0.15234114229679108,0.4854315221309662,0.19055356085300446,0.20976395905017853,0.22961433231830597
vested,0.25360822677612305,0.18508097529411316,0.14487697184085846,0.20862941443920135,0.2728080451488495,0.2980123460292816,0.32697826623916626,0.3834543824195862,0.20589956641197205,0.1897280216217041
in,0.2792111933231354,1.0,0.22642600536346436,0.4173259735107422,0.6662389636039734,0.16666220128536224,0.5696388483047485,0.24765221774578094,0.22362500429153442,0.20430970191955566
a,0.36608949303627014,0.539380669593811,0.19591784477233887,0.4670248031616211,0.5829201340675354,0.21580491960048676,0.5052502155303955,0.23537522554397583,0.2362375408411026,0.23916715383529663
unicameral,0.239291250705719,0.27988916635513306,0.1597696989774704,0.20556047558784485,0.3586629033088684,0.23834897577762604,0.38851577043533325,0.6173946261405945,0.2035866528749466,0.12827882170677185
warsaw,0.16496863961219788,0.22642600536346436,1.0,0.16755639016628265,0.23137180507183075,0.12232338637113571,0.19253842532634735,0.0928143709897995,0.09601336717605591,0.09769917279481888
city,0.21073515713214874,0.3911624252796173,0.25006377696990967,0.2476206123828888,0.35769423842430115,0.17168310284614563,0.32503411173820496,0.24466803669929504,0.1636904776096344,0.13423943519592285
council,0.19620807468891144,0.2689173221588135,0.15685740113258362,0.18650029599666595,0.2829204201698303,0.15535259246826172,0.2972237169742584,0.42707106471061707,0.1744534820318222,0.1160062924027443
(,0.2443375140428543,0.3087427020072937,0.1835584193468094,0.2498389035463333,0.33289089798927307,0.18972817063331604,0.35032153129577637,0.2079382687807083,0.2436094880104065,0.40561532974243164
rada,0.12086915969848633,0.18239764869213104,0.27396389842033386,0.19292092323303223,0.21380630135536194,0.23424911499023438,0.22594383358955383,0.21312880516052246,0.1259758174419403,0.09883232414722443
miasta,0.1445300430059433,0.27800852060317993,0.23084555566310883,0.18598532676696777,0.29386764764785767,0.11906559020280838,0.32883426547050476,0.22521191835403442,0.07548632472753525,0.16856437921524048
),0.2457384318113327,0.3326910734176636,0.19817118346691132,0.26944878697395325,0.3456730246543884,0.20355020463466644,0.3680361211299896,0.2175537496805191,0.2671453356742859,0.42300865054130554
",",0.3365725874900818,0.5201468467712402,0.25300899147987366,0.3734780251979828,0.4933079481124878,0.2231994867324829,0.4946078956127167,0.24434074759483337,0.22599565982818604,0.31091248989105225
which,0.3688730001449585,0.4840516746044159,0.16906329989433289,0.4350704550743103,0.6521818041801453,0.2490626573562622,0.5011631846427917,0.2521616220474243,0.3008856773376465,0.25814583897590637
comprises,0.022967025637626648,0.2665193974971771,0.08343512564897537,0.3426830470561981,0.30223149061203003,0.09070863574743271,0.3857746422290802,0.2806629240512848,0.05793529376387596,0.037654489278793335
60,0.041363123804330826,0.008437495678663254,-0.0626445934176445,-0.027776895090937614,0.04635925963521004,-0.043088097125291824,0.05524682253599167,0.05958141013979912,-0.04965762421488762,0.06999651342630386
members,0.3290669620037079,0.196792870759964,0.1251550167798996,0.19174115359783173,0.3321719169616699,0.19974319636821747,0.28120753169059753,0.2957446873188019,0.1765614151954651,0.10212311148643494
.,0.3541337847709656,0.5591574311256409,0.26825499534606934,0.4105546176433563,0.5934505462646484,0.2141435295343399,0.5352458953857422,0.25327762961387634,0.2625104486942291,0.4130953550338745
