,what,contributed,to,water,pollution,in,the,rhine,?
although,0.24844598770141602,0.25409063696861267,0.4176313281059265,0.20492228865623474,0.2515318691730499,0.28763338923454285,0.3265823423862457,0.14405955374240875,0.15541206300258636
many,0.36131182312965393,0.2724478840827942,0.40243685245513916,0.2702730894088745,0.3464607894420624,0.41474202275276184,0.4335206151008606,0.11647748202085495,0.2124512493610382
plants,0.25144460797309875,0.17731112241744995,0.27162864804267883,0.40801990032196045,0.38089460134506226,0.2697395086288452,0.29499560594558716,0.11852127313613892,0.1473488062620163
and,0.31309178471565247,0.2908022403717041,0.48971283435821533,0.3054247498512268,0.2889794111251831,0.4954058527946472,0.5171257257461548,0.22029656171798706,0.20544172823429108
factories,0.18422946333885193,0.20938259363174438,0.24363911151885986,0.27619269490242004,0.3944483995437622,0.3225904107093811,0.2603243589401245,0.2563677430152893,0.13455291092395782
can,0.34502777457237244,0.16669970750808716,0.4979398250579834,0.33822447061538696,0.35720357298851013,0.26527702808380127,0.312528520822525,0.09961956739425659,0.3226337134838104
be,0.3929833769798279,0.25662684440612793,0.4972836375236511,0.3042290508747101,0.30181699991226196,0.3481820821762085,0.4248143136501312,0.18054811656475067,0.3324260413646698
found,0.1796332150697708,0.21523454785346985,0.25225648283958435,0.20654930174350739,0.20840983092784882,0.39141854643821716,0.3452354073524475,0.1264849454164505,0.16790300607681274
along,0.22421957552433014,0.2557644248008728,0.2976071536540985,0.2521761655807495,0.1869688779115677,0.3603311777114868,0.39495137333869934,0.24867600202560425,0.17134909331798553
the,0.42745697498321533,0.2633678913116455,0.535392165184021,0.297396719455719,0.2658846378326416,0.6662389636039734,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.1254749894142151,0.1736302673816681,0.18943050503730774,0.15997937321662903,0.24648422002792358,0.30735138058662415,1.0,0.13754533231258392
up,0.28591108322143555,0.17266391217708588,0.40375280380249023,0.24995703995227814,0.23444867134094238,0.3120773434638977,0.38423117995262146,0.1867746114730835,0.1819818764925003
into,0.2180619090795517,0.2034910023212433,0.38810545206069946,0.2901814877986908,0.20252639055252075,0.38021373748779297,0.39493247866630554,0.1991104632616043,0.15662476420402527
switzerland,0.10552600771188736,0.10731122642755508,0.18967147171497345,0.13540767133235931,0.16311202943325043,0.35930100083351135,0.25689372420310974,0.32351648807525635,0.13347817957401276
",",0.3087472915649414,0.2899704575538635,0.44245919585227966,0.26706066727638245,0.2824518084526062,0.5201468467712402,0.4933079481124878,0.167837992310524,0.31091248989105225
it,0.45803478360176086,0.21715179085731506,0.513711154460907,0.31979092955589294,0.32417261600494385,0.5130809545516968,0.6251175999641418,0.17693428695201874,0.25732165575027466
is,0.28837618231773376,0.19456906616687775,0.42745086550712585,0.2879090905189514,0.271872878074646,0.5394441485404968,0.5823672413825989,0.15617261826992035,0.22961433231830597
along,0.22421957552433014,0.2557644248008728,0.2976071536540985,0.2521761655807495,0.1869688779115677,0.3603311777114868,0.39495137333869934,0.24867600202560425,0.17134909331798553
the,0.42745697498321533,0.2633678913116455,0.535392165184021,0.297396719455719,0.2658846378326416,0.6662389636039734,1.0,0.30735138058662415,0.22068053483963013
lower,0.20079238712787628,0.0835440456867218,0.233318492770195,0.2041805535554886,0.19577576220035553,0.27455443143844604,0.3463275134563446,0.28043457865715027,0.08471795171499252
rhine,0.16475653648376465,0.1254749894142151,0.1736302673816681,0.18943050503730774,0.15997937321662903,0.24648422002792358,0.30735138058662415,1.0,0.13754533231258392
that,0.6297725439071655,0.27004948258399963,0.5436353087425232,0.3326379060745239,0.3338398039340973,0.435920387506485,0.5473989248275757,0.16362759470939636,0.32716336846351624
the,0.42745697498321533,0.2633678913116455,0.535392165184021,0.297396719455719,0.2658846378326416,0.6662389636039734,1.0,0.30735138058662415,0.22068053483963013
bulk,0.19509074091911316,0.26522234082221985,0.2223905473947525,0.2535833716392517,0.23282887041568756,0.19168980419635773,0.2220524251461029,0.1682240515947342,0.14538165926933289
of,0.33290785551071167,0.29837220907211304,0.41548454761505127,0.2741255462169647,0.28485921025276184,0.5696388483047485,0.733189046382904,0.2548927664756775,0.1826142966747284
them,0.4994642734527588,0.24613092839717865,0.5916602611541748,0.33000800013542175,0.30519017577171326,0.29119014739990234,0.4788833558559418,0.16000233590602875,0.35435691475868225
are,0.29724663496017456,0.19477394223213196,0.3504326641559601,0.26855918765068054,0.30163344740867615,0.3841303884983063,0.40399202704429626,0.13834848999977112,0.24591213464736938
concentrated,0.20476274192333221,0.34009549021720886,0.2865214943885803,0.35962244868278503,0.30325424671173096,0.29073235392570496,0.2688957750797272,0.1625138521194458,0.11501483619213104
",",0.3087472915649414,0.2899704575538635,0.44245919585227966,0.26706066727638245,0.2824518084526062,0.5201468467712402,0.4933079481124878,0.167837992310524,0.31091248989105225
as,0.31749409437179565,0.26930540800094604,0.42092081904411316,0.21305090188980103,0.22893749177455902,0.3887844979763031,0.48381632566452026,0.18380387127399445,0.27043893933296204
the,0.42745697498321533,0.2633678913116455,0.535392165184021,0.297396719455719,0.2658846378326416,0.6662389636039734,1.0,0.30735138058662415,0.22068053483963013
river,0.13815869390964508,0.09141972661018372,0.13636653125286102,0.40245044231414795,0.22603744268417358,0.2149806171655655,0.2894456386566162,0.3672541379928589,0.15390869975090027
passes,0.21615341305732727,0.1472366750240326,0.2602662146091461,0.27960216999053955,0.19417639076709747,0.2780042290687561,0.3752402365207672,0.18002983927726746,0.09716983139514923
the,0.42745697498321533,0.2633678913116455,0.535392165184021,0.297396719455719,0.2658846378326416,0.6662389636039734,1.0,0.30735138058662415,0.22068053483963013
major,0.21026742458343506,0.23858404159545898,0.19240309298038483,0.14223308861255646,0.1936955451965332,0.3249945342540741,0.31775903701782227,0.10607928037643433,0.19788557291030884
cities,0.161918506026268,0.10806678980588913,0.20735321938991547,0.14889144897460938,0.22927755117416382,0.32293570041656494,0.2621172070503235,0.21865984797477722,0.13339310884475708
of,0.33290785551071167,0.29837220907211304,0.41548454761505127,0.2741255462169647,0.28485921025276184,0.5696388483047485,0.733189046382904,0.2548927664756775,0.1826142966747284
cologne,0.13229849934577942,0.11179757863283157,0.2057424932718277,0.15437573194503784,0.16915734112262726,0.2079852819442749,0.1949973702430725,0.47460702061653137,0.12676802277565002
",",0.3087472915649414,0.2899704575538635,0.44245919585227966,0.26706066727638245,0.2824518084526062,0.5201468467712402,0.4933079481124878,0.167837992310524,0.31091248989105225
düsseldorf,0.13595208525657654,0.19774049520492554,0.17470301687717438,0.03956585377454758,0.20200443267822266,0.2691386044025421,0.23592178523540497,0.5152241587638855,0.11610876768827438
and,0.31309178471565247,0.2908022403717041,0.48971283435821533,0.3054247498512268,0.2889794111251831,0.4954058527946472,0.5171257257461548,0.22029656171798706,0.20544172823429108
