,what,is,an,anda,?
temüjin,0.34580421447753906,0.2998083829879761,0.23323971033096313,0.263322651386261,0.21090233325958252
began,0.1665823757648468,0.20498190820217133,0.19044236838817596,0.09604710340499878,0.1370266228914261
his,0.26976513862609863,0.24372583627700806,0.24025635421276093,0.05046051740646362,0.18075084686279297
ascent,0.17637182772159576,0.19781513512134552,0.20654331147670746,0.16113515198230743,0.10920551419258118
to,0.455847829580307,0.42745086550712585,0.3138085603713989,0.11109834164381027,0.29463258385658264
power,0.22216427326202393,0.15234114229679108,0.1744573563337326,0.13613590598106384,0.15304024517536163
by,0.2455483376979828,0.3899846076965332,0.2719563841819763,0.13164176046848297,0.17966607213020325
offering,0.24005436897277832,0.16401077806949615,0.1421716809272766,0.08931911736726761,0.15441901981830597
himself,0.2431095689535141,0.12654030323028564,0.18889817595481873,0.03219678997993469,0.10407622903585434
as,0.31749409437179565,0.43216490745544434,0.37218472361564636,0.11327415704727173,0.27043893933296204
an,0.2821882665157318,0.4654068350791931,1.0,0.1063046008348465,0.19793890416622162
ally,0.1712556630373001,0.22017301619052887,0.1985180377960205,0.12511564791202545,0.10381226241588593
(,0.2411840260028839,0.35393038392066956,0.286407470703125,0.3256615996360779,0.40561532974243164
or,0.33867141604423523,0.41870999336242676,0.3096676766872406,0.24150969088077545,0.32389625906944275
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.225419282913208,0.31091248989105225
according,0.2776208221912384,0.2838992476463318,0.16550497710704803,0.09618596732616425,0.21173474192619324
to,0.455847829580307,0.42745086550712585,0.3138085603713989,0.11109834164381027,0.29463258385658264
other,0.341873437166214,0.25895947217941284,0.1556563824415207,0.14629802107810974,0.24682199954986572
sources,0.30212491750717163,0.2594712972640991,0.23446166515350342,0.1306907832622528,0.2886999845504761
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.225419282913208,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.44552403688430786,0.1942354291677475,0.23916715383529663
vassal,0.16755311191082,0.173939511179924,0.22122347354888916,0.06566774845123291,0.11192825436592102
),0.26259949803352356,0.37732169032096863,0.2873353958129883,0.34574031829833984,0.42300865054130554
