,what,is,the,benefit,of,polypeptide,binding,?
phosphorylation,0.25527045130729675,0.3029656410217285,0.2611441910266876,0.24131956696510315,0.26122167706489563,0.5676385164260864,0.3723352253437042,0.21997706592082977
helps,0.2570236623287201,0.27021104097366333,0.28157877922058105,0.3443874716758728,0.22412827610969543,0.26897475123405457,0.31337109208106995,0.20885655283927917
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.2863100469112396,0.37253960967063904,0.25532853603363037,0.24237065017223358,0.2124512493610382
proteins,0.21361225843429565,0.2132607400417328,0.23576003313064575,0.20540086925029755,0.2195783406496048,0.7186763286590576,0.4987618029117584,0.18469302356243134
bind,0.20024219155311584,0.20363958179950714,0.20701828598976135,0.17580808699131012,0.23110318183898926,0.5643077492713928,0.7536251544952393,0.13327588140964508
the,0.42745697498321533,0.5823672413825989,1.0,0.24974633753299713,0.733189046382904,0.25302034616470337,0.26792919635772705,0.22068053483963013
polypeptide,0.22742465138435364,0.2182423621416092,0.25302034616470337,0.2252833992242813,0.2324114888906479,1.0,0.46608766913414,0.17399710416793823
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26083990931510925,0.4946078956127167,0.1832212209701538,0.20828008651733398,0.31091248989105225
keeping,0.3156749904155731,0.22661545872688293,0.271767258644104,0.3526240289211273,0.21222269535064697,0.16637758910655975,0.27298736572265625,0.2775583565235138
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.24521009624004364,0.38761502504348755,0.26498812437057495,0.24684685468673706,0.25732165575027466
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.17663010954856873,0.4249346852302551,0.20059393346309662,0.15920230746269226,0.19969791173934937
folding,0.2241935282945633,0.19605450332164764,0.2656084895133972,0.1465836763381958,0.2382078468799591,0.4085691273212433,0.3857383131980896,0.1512565016746521
prematurely,0.24785155057907104,0.2468642145395279,0.26191282272338867,0.2608453333377838,0.21390719711780548,0.26054126024246216,0.1455971896648407,0.2519291043281555
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2692491412162781,0.5352458953857422,0.24966394901275635,0.20501452684402466,0.4130953550338745
,what,is,the,benefit,of,polypeptide,binding,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.39679133892059326,0.45148900151252747,0.349952757358551,0.32196158170700073,0.3155723512172699
is,0.28837618231773376,1.0,0.5823672413825989,0.2076713591814041,0.4854315221309662,0.2182423621416092,0.24042607843875885,0.22961433231830597
important,0.31164905428886414,0.350485235452652,0.39348116517066956,0.2424352914094925,0.43301743268966675,0.2596707344055176,0.2557353675365448,0.17812499403953552
because,0.46729007363319397,0.4047735333442688,0.44596394896507263,0.38761425018310547,0.4075504541397095,0.28807032108306885,0.27644556760787964,0.2528740465641022
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.24521009624004364,0.38761502504348755,0.26498812437057495,0.24684685468673706,0.25732165575027466
prevents,0.29858162999153137,0.26185330748558044,0.3293589949607849,0.34670376777648926,0.26218757033348083,0.3563280701637268,0.3404778242111206,0.2179328203201294
chloroplast,0.23505516350269318,0.20798198878765106,0.21317854523658752,0.19759595394134521,0.2069506198167801,0.6873421669006348,0.32410261034965515,0.12532055377960205
proteins,0.21361225843429565,0.2132607400417328,0.23576003313064575,0.20540086925029755,0.2195783406496048,0.7186763286590576,0.4987618029117584,0.18469302356243134
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.17663010954856873,0.4249346852302551,0.20059393346309662,0.15920230746269226,0.19969791173934937
assuming,0.44429823756217957,0.3417447805404663,0.2946830689907074,0.2816621661186218,0.34728947281837463,0.23013079166412354,0.30495330691337585,0.40639710426330566
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.29973217844963074,0.4329940676689148,0.2735549211502075,0.2843244671821594,0.1898253709077835
active,0.2610722482204437,0.2193424552679062,0.2376219779253006,0.2840106785297394,0.23132829368114471,0.27329951524734497,0.20081616938114166,0.20374006032943726
