,when,did,france,take,control,of,algeria,?
france,0.24438227713108063,0.2138325721025467,1.0000001192092896,0.13818983733654022,0.19930024445056915,0.3265724182128906,0.3980414569377899,0.15069349110126495
took,0.25529301166534424,0.42470768094062805,0.23143109679222107,0.5846115350723267,0.31930482387542725,0.2766268849372864,0.15423940122127533,0.14109265804290771
control,0.3260348439216614,0.22942528128623962,0.19930024445056915,0.32050415873527527,1.0,0.2817542552947998,0.19822262227535248,0.1620711386203766
of,0.3757161796092987,0.2513895630836487,0.3265724182128906,0.29282352328300476,0.2817542552947998,1.0,0.20665249228477478,0.1826142966747284
algeria,0.1514066457748413,0.035289864987134933,0.3980414569377899,0.1268104612827301,0.19822262227535248,0.20665249228477478,1.0000001192092896,0.192555770277977
in,0.4431333839893341,0.2593238651752472,0.3812309503555298,0.21975718438625336,0.24831421673297882,0.5696388483047485,0.2257280796766281,0.20430970191955566
1830,-0.04393759369850159,-0.15325585007667542,0.017700091004371643,-0.022612543776631355,-0.025454755872488022,0.04025930166244507,0.08232995122671127,-0.007744183298200369
but,0.5599016547203064,0.49033689498901367,0.25404971837997437,0.3614824414253235,0.2699015140533447,0.39942997694015503,0.15674614906311035,0.27921953797340393
began,0.25673019886016846,0.4415510594844818,0.20842383801937103,0.10897689312696457,0.13415531814098358,0.2330763041973114,0.08619678020477295,0.1370266228914261
in,0.4431333839893341,0.2593238651752472,0.3812309503555298,0.21975718438625336,0.24831421673297882,0.5696388483047485,0.2257280796766281,0.20430970191955566
earnest,0.15945471823215485,0.19778895378112793,0.14410410821437836,0.16257241368293762,0.09133496135473251,0.2134242206811905,0.06273072212934494,0.21694941818714142
to,0.5423505902290344,0.4452643394470215,0.2670897841453552,0.4075521230697632,0.28164729475975037,0.41548454761505127,0.10015332698822021,0.29463258385658264
rebuild,0.24728108942508698,0.2595549523830414,0.18940335512161255,0.2481570988893509,0.25676989555358887,0.1881089210510254,0.0808052346110344,0.11057925969362259
its,0.34032323956489563,0.19922670722007751,0.21158620715141296,0.2256559580564499,0.23098616302013397,0.48690423369407654,0.19145607948303223,0.15103481709957123
worldwide,0.19179211556911469,0.13039597868919373,0.21819981932640076,0.1369730532169342,0.15245619416236877,0.23144318163394928,0.22127272188663483,0.2253960371017456
empire,0.18422111868858337,0.18850058317184448,0.25791844725608826,0.18385393917560577,0.27420011162757874,0.30522286891937256,0.24413447082042694,0.14909450709819794
after,0.5331412553787231,0.30330467224121094,0.2599034905433655,0.32370224595069885,0.18320131301879883,0.3867455720901489,0.1831081062555313,0.16608688235282898
1850,0.21821586787700653,0.19959712028503418,0.09786742925643921,0.16350771486759186,0.1857495903968811,0.11029938608407974,0.16500386595726013,0.369617223739624
",",0.36674630641937256,0.3015086054801941,0.28250643610954285,0.2881867289543152,0.20811550319194794,0.4946078956127167,0.17786583304405212,0.31091248989105225
concentrating,0.3017951548099518,0.18564537167549133,0.15172095596790314,0.18703114986419678,0.25771960616111755,0.278516560792923,0.07047347724437714,0.14677777886390686
chiefly,0.26096346974372864,0.1774693727493286,0.17283272743225098,0.11488678306341171,0.2226954847574234,0.25772255659103394,0.18663367629051208,0.021524203941226006
in,0.4431333839893341,0.2593238651752472,0.3812309503555298,0.21975718438625336,0.24831421673297882,0.5696388483047485,0.2257280796766281,0.20430970191955566
north,0.21003669500350952,0.16732536256313324,0.28069406747817993,0.15240003168582916,0.149099200963974,0.3604778051376343,0.19937729835510254,0.11829731613397598
and,0.4716290831565857,0.34479495882987976,0.2925812005996704,0.296702116727829,0.29790008068084717,0.5116966962814331,0.13345398008823395,0.20544172823429108
west,0.1639508605003357,0.16852347552776337,0.26655134558677673,0.12299501895904541,0.16004686057567596,0.2891985774040222,0.2129155695438385,0.12088293582201004
africa,0.18735390901565552,0.1931072473526001,0.3494209945201874,0.1700870543718338,0.09908807277679443,0.2694264054298401,0.4592131972312927,0.12926554679870605
",",0.36674630641937256,0.3015086054801941,0.28250643610954285,0.2881867289543152,0.20811550319194794,0.4946078956127167,0.17786583304405212,0.31091248989105225
as,0.4437963366508484,0.3596470057964325,0.19034622609615326,0.26337623596191406,0.18926969170570374,0.3886612355709076,0.1290663778781891,0.27043893933296204
well,0.33199459314346313,0.4341743588447571,0.18028524518013,0.2634601593017578,0.23414066433906555,0.3343164324760437,0.09317924827337265,0.24815571308135986
as,0.4437963366508484,0.3596470057964325,0.19034622609615326,0.26337623596191406,0.18926969170570374,0.3886612355709076,0.1290663778781891,0.27043893933296204
