,what,force,acted,on,bodies,to,retard,their,velocity,?
he,0.3114890456199646,0.21256574988365173,0.34692081809043884,0.32403138279914856,0.1293221116065979,0.385390967130661,0.21178916096687317,0.3267501890659332,0.14919722080230713,0.2089974731206894
showed,0.23458190262317657,0.1499156504869461,0.2196812480688095,0.30369096994400024,0.2129116803407669,0.2083204984664917,0.08338892459869385,0.30298280715942383,0.17923547327518463,0.17389845848083496
that,0.6297725439071655,0.26810982823371887,0.22111652791500092,0.42569106817245483,0.30124250054359436,0.5436353087425232,0.25773885846138,0.4266771972179413,0.2781139016151428,0.32716336846351624
the,0.42745697498321533,0.2800885736942291,0.20873373746871948,0.5107308030128479,0.2745959758758545,0.535392165184021,0.130629763007164,0.516537070274353,0.22094543278217316,0.22068053483963013
bodies,0.1688588559627533,0.17167499661445618,0.2008659392595291,0.17646045982837677,1.0000001192092896,0.2779117226600647,0.1149422898888588,0.3776066303253174,0.2276332825422287,0.18285469710826874
were,0.22298263013362885,0.15954084694385529,0.20052456855773926,0.2774328887462616,0.350736141204834,0.31913647055625916,0.11349081248044968,0.43277356028556824,0.09440699964761734,0.17890112102031708
accelerated,0.2256019562482834,0.3795941472053528,0.15139979124069214,0.17791010439395905,0.2134445458650589,0.22047658264636993,0.14732681214809418,0.18333445489406586,0.5203639268875122,0.12856028974056244
by,0.2455483376979828,0.24997374415397644,0.17589417099952698,0.33887791633605957,0.2477024495601654,0.33534231781959534,0.15632133185863495,0.3242124021053314,0.18501399457454681,0.17966607213020325
gravity,0.259439080953598,0.4355055093765259,0.16205400228500366,0.18129420280456543,0.33835574984550476,0.23946231603622437,0.18635988235473633,0.23088012635707855,0.536300778388977,0.18354056775569916
to,0.455847829580307,0.24496492743492126,0.09797097742557526,0.41031414270401,0.2779117226600647,1.0,0.19701553881168365,0.44619059562683105,0.2513314187526703,0.29463258385658264
an,0.2821882665157318,0.21655116975307465,0.22419151663780212,0.3192969560623169,0.13373848795890808,0.3138085603713989,0.19615869224071503,0.19624626636505127,0.2044711709022522,0.19793890416622162
extent,0.369102418422699,0.13504411280155182,0.1558464765548706,0.21073654294013977,0.16406233608722687,0.26711156964302063,0.057999446988105774,0.29518261551856995,0.22697100043296814,0.1940663903951645
that,0.6297725439071655,0.26810982823371887,0.22111652791500092,0.42569106817245483,0.30124250054359436,0.5436353087425232,0.25773885846138,0.4266771972179413,0.2781139016151428,0.32716336846351624
was,0.22111038863658905,0.20879842340946198,0.2783038318157196,0.3909217119216919,0.1612221896648407,0.3636345863342285,0.16039669513702393,0.2396296262741089,0.12663620710372925,0.18412111699581146
independent,0.28752967715263367,0.15246377885341644,0.18077091872692108,0.2345636934041977,0.14416977763175964,0.20949965715408325,0.16706083714962006,0.23524324595928192,0.16778557002544403,0.11902587860822678
of,0.33290785551071167,0.27094775438308716,0.19531118869781494,0.3966929316520691,0.2732889950275421,0.41548454761505127,0.11645468324422836,0.4329940676689148,0.15038157999515533,0.1826142966747284
their,0.35142919421195984,0.17198090255260468,0.1404404491186142,0.3598666191101074,0.3776066303253174,0.44619059562683105,0.10176324844360352,1.0,0.21414723992347717,0.1898253709077835
mass,0.23905135691165924,0.26299312710762024,0.110650934278965,0.18456357717514038,0.36261528730392456,0.20907121896743774,0.1625605672597885,0.18290048837661743,0.37683752179145813,0.2076406031847
and,0.31309178471565247,0.24372100830078125,0.2573051452636719,0.4077630043029785,0.30740299820899963,0.48971283435821533,0.17759469151496887,0.45114588737487793,0.18406882882118225,0.20544172823429108
argued,0.31776854395866394,0.19676682353019714,0.17137983441352844,0.22411823272705078,0.19552035629749298,0.24650873243808746,0.13021664321422577,0.2632414996623993,0.16589096188545227,0.18905270099639893
that,0.6297725439071655,0.26810982823371887,0.22111652791500092,0.42569106817245483,0.30124250054359436,0.5436353087425232,0.25773885846138,0.4266771972179413,0.2781139016151428,0.32716336846351624
objects,0.24020016193389893,0.27373945713043213,0.18311384320259094,0.18997140228748322,0.39785921573638916,0.2695634961128235,0.1778462678194046,0.29732805490493774,0.3547598123550415,0.15479016304016113
retain,0.178955540060997,0.18074023723602295,0.11118318885564804,0.15185658633708954,0.202780619263649,0.3600676357746124,0.3559184670448303,0.3016938865184784,0.1466769129037857,0.10032857954502106
their,0.35142919421195984,0.17198090255260468,0.1404404491186142,0.3598666191101074,0.3776066303253174,0.44619059562683105,0.10176324844360352,1.0,0.21414723992347717,0.1898253709077835
velocity,0.21937116980552673,0.33556628227233887,0.12998650968074799,0.18354582786560059,0.2276332825422287,0.2513314187526703,0.18465152382850647,0.21414723992347717,1.0000001192092896,0.20807628333568573
unless,0.4516109526157379,0.20567655563354492,0.1961863934993744,0.26810336112976074,0.21307720243930817,0.45781534910202026,0.25588420033454895,0.30396270751953125,0.25820791721343994,0.37169966101646423
acted,0.1540473997592926,0.23832069337368011,0.9999998807907104,0.21502941846847534,0.2008659392595291,0.09797097742557526,0.17001888155937195,0.1404404491186142,0.12998650968074799,0.15984973311424255
on,0.34226128458976746,0.1764998733997345,0.21502941846847534,0.9999999403953552,0.17646045982837677,0.41031414270401,0.10849350690841675,0.3598666191101074,0.18354582786560059,0.2714994251728058
by,0.2455483376979828,0.24997374415397644,0.17589417099952698,0.33887791633605957,0.2477024495601654,0.33534231781959534,0.15632133185863495,0.3242124021053314,0.18501399457454681,0.17966607213020325
a,0.3320399522781372,0.2451154738664627,0.1548982858657837,0.3848365545272827,0.20684704184532166,0.45503583550453186,0.23246514797210693,0.29698723554611206,0.2071385234594345,0.23916715383529663
force,0.16915984451770782,1.0000001192092896,0.23832069337368011,0.1764998733997345,0.17167499661445618,0.24496492743492126,0.15091843903064728,0.17198090255260468,0.33556628227233887,0.1650998443365097
",",0.3087472915649414,0.22091743350028992,0.286516010761261,0.49057599902153015,0.22888998687267303,0.44245919585227966,0.21596390008926392,0.3045167922973633,0.2040358930826187,0.31091248989105225
for,0.3017193675041199,0.15857845544815063,0.20401453971862793,0.36199691891670227,0.1515924632549286,0.4451248347759247,0.17156924307346344,0.3406745493412018,0.18387487530708313,0.264628142118454
example,0.3456268310546875,0.23485584557056427,0.10911449044942856,0.22160455584526062,0.23232342302799225,0.3451666533946991,0.24562297761440277,0.2809860408306122,0.2974894940853119,0.30374911427497864
friction,0.2582229971885681,0.44091445207595825,0.17609186470508575,0.232167586684227,0.2621486783027649,0.30962538719177246,0.24108928442001343,0.2752121388912201,0.45042911171913147,0.18292373418807983
.,0.3567904531955719,0.2783275842666626,0.22676311433315277,0.49257001280784607,0.253254771232605,0.4645031690597534,0.21213486790657043,0.34427863359451294,0.19446231424808502,0.4130953550338745
