,what,term,was,used,for,the,second,regeneration,?
the,0.42745697498321533,0.2740369141101837,0.48711544275283813,0.3718377649784088,0.4739971458911896,1.0,0.4620301127433777,0.3351733982563019,0.22068053483963013
actual,0.43790674209594727,0.2494962066411972,0.2121414989233017,0.3794138729572296,0.3384522795677185,0.40616878867149353,0.20479357242584229,0.2292419970035553,0.20405827462673187
term,0.25282326340675354,1.0,0.21378034353256226,0.4406372904777527,0.2766548991203308,0.2740369141101837,0.1964436024427414,0.196629136800766,0.1901002675294876
``,0.008517155423760414,0.11803510040044785,-0.012679691426455975,0.08103004097938538,0.01270448137074709,0.029072100296616554,0.07228557765483856,0.0084949666634202,0.0685480609536171
regeneration,0.22060240805149078,0.196629136800766,0.18699689209461212,0.1494564712047577,0.17274489998817444,0.3351733982563019,0.2708222270011902,1.0,0.13848066329956055
'',0.08143015950918198,0.13619764149188995,0.04456103965640068,0.050410956144332886,-0.04479556903243065,0.041273195296525955,-0.06889788806438446,0.05689337104558945,0.018684765323996544
was,0.22111038863658905,0.21378034353256226,1.0000001192092896,0.23679393529891968,0.3863949179649353,0.48711544275283813,0.3858029544353485,0.18699689209461212,0.18412111699581146
not,0.5449194312095642,0.2823779284954071,0.2888734042644501,0.358921617269516,0.39280617237091064,0.4310511648654938,0.22539767622947693,0.25486037135124207,0.41942933201789856
initially,0.24580118060112,0.1754443496465683,0.3788634240627289,0.19967558979988098,0.2961968183517456,0.2997018098831177,0.19204241037368774,0.23355740308761597,0.0699334517121315
conceived,0.22557096183300018,0.23079413175582886,0.3378709852695465,0.2420535534620285,0.20706376433372498,0.23506250977516174,0.17451323568820953,0.30691325664520264,0.14654332399368286
of,0.33290785551071167,0.26047757267951965,0.4069072902202606,0.3075267970561981,0.4185989499092102,0.733189046382904,0.353416383266449,0.32214465737342834,0.1826142966747284
until,0.2693650424480438,0.24880193173885345,0.43126991391181946,0.15791192650794983,0.2802979350090027,0.37191009521484375,0.3330997824668884,0.19951669871807098,0.20304496586322784
the,0.42745697498321533,0.2740369141101837,0.48711544275283813,0.3718377649784088,0.4739971458911896,1.0,0.4620301127433777,0.3351733982563019,0.22068053483963013
doctor,0.20870667695999146,0.18813423812389374,0.19672659039497375,0.15671396255493164,0.1556548923254013,0.2820442318916321,0.20181342959403992,0.344775915145874,0.1462511420249939
's,0.02692362666130066,-0.02037568762898445,0.008974763564765453,0.00600846204906702,-0.07241261005401611,-0.01540423184633255,-0.060212843120098114,-0.07974092662334442,-0.023395681753754616
third,0.2033906877040863,0.1743110567331314,0.3460187017917633,0.12432441860437393,0.2187870591878891,0.4229298532009125,0.8191088438034058,0.25911036133766174,0.15394791960716248
on-screen,0.2608162760734558,0.13920685648918152,0.181447371840477,0.2613900601863861,0.3028116524219513,0.24245591461658478,0.19153755903244019,0.22423319518566132,0.22305797040462494
regeneration,0.22060240805149078,0.196629136800766,0.18699689209461212,0.1494564712047577,0.17274489998817444,0.3351733982563019,0.2708222270011902,1.0,0.13848066329956055
however,0.4480680823326111,0.3404300808906555,0.37327632308006287,0.41882941126823425,0.44511833786964417,0.49814513325691223,0.27868780493736267,0.27937668561935425,0.2152075469493866
;,0.10986888408660889,0.06304056942462921,0.0754367932677269,0.11651374399662018,0.0293948445469141,0.09152708947658539,0.037661533802747726,0.022114260122179985,0.10349778085947037
hartnell,0.16135340929031372,0.23031781613826752,0.3343326449394226,0.11491769552230835,0.2604477107524872,0.24653013050556183,0.30197077989578247,0.2895614802837372,0.21577993035316467
's,0.02692362666130066,-0.02037568762898445,0.008974763564765453,0.00600846204906702,-0.07241261005401611,-0.01540423184633255,-0.060212843120098114,-0.07974092662334442,-0.023395681753754616
doctor,0.20870667695999146,0.18813423812389374,0.19672659039497375,0.15671396255493164,0.1556548923254013,0.2820442318916321,0.20181342959403992,0.344775915145874,0.1462511420249939
had,0.23849567770957947,0.16051872074604034,0.5927209258079529,0.2477826625108719,0.3270139992237091,0.3875846862792969,0.2551495432853699,0.23609250783920288,0.20728366076946259
merely,0.4384106993675232,0.31846556067466736,0.22645150125026703,0.24217376112937927,0.2469184547662735,0.3044394552707672,0.17468047142028809,0.24736453592777252,0.31133392453193665
described,0.22590412199497223,0.2858964800834656,0.2883506715297699,0.3386477828025818,0.20229990780353546,0.2878154516220093,0.15958446264266968,0.17750614881515503,0.1374269425868988
undergoing,0.2311505824327469,0.20355232059955597,0.2561926245689392,0.2033369243144989,0.30305469036102295,0.28524625301361084,0.19823399186134338,0.3888770043849945,0.13844598829746246
a,0.3320399522781372,0.3080509603023529,0.4508470594882965,0.3864384889602661,0.44038116931915283,0.5829201340675354,0.3655064105987549,0.22819030284881592,0.23916715383529663
``,0.008517155423760414,0.11803510040044785,-0.012679691426455975,0.08103004097938538,0.01270448137074709,0.029072100296616554,0.07228557765483856,0.0084949666634202,0.0685480609536171
