,how,long,was,he,bedridden,with,cholera,?
shortly,0.1427200883626938,0.21751251816749573,0.36920204758644104,0.276366651058197,0.28810784220695496,0.27037379145622253,0.1628875583410263,0.13327454030513763
after,0.23871733248233795,0.25804978609085083,0.49306565523147583,0.3936046361923218,0.2983003854751587,0.33843478560447693,0.24152815341949463,0.16608688235282898
he,0.2594625651836395,0.2111329436302185,0.5410010814666748,1.0000001192092896,0.3102736473083496,0.2845253646373749,0.2517127990722656,0.2089974731206894
arrived,0.17363044619560242,0.14705641567707062,0.363562673330307,0.2795191705226898,0.2298806756734848,0.16000589728355408,0.22247342765331268,0.1681029200553894
",",0.22659391164779663,0.3431144952774048,0.45456063747406006,0.40251094102859497,0.3832813501358032,0.4120737314224243,0.2610902190208435,0.31091248989105225
tesla,0.19128404557704926,0.14681872725486755,0.16455206274986267,0.12373391538858414,0.24443134665489197,0.16424812376499176,0.08909805119037628,0.10250775516033173
contracted,0.2106567770242691,0.18636956810951233,0.23928777873516083,0.2876087427139282,0.26687970757484436,0.2643035352230072,0.24106921255588531,0.09855229407548904
cholera,0.2687561511993408,0.21321363747119904,0.26068684458732605,0.2517127990722656,0.25308215618133545,0.17662671208381653,1.0,0.19678184390068054
;,0.07230665534734726,0.08035528659820557,0.0754367932677269,0.05541064962744713,0.0017941665137186646,0.12944702804088593,0.040447384119033813,0.10349778085947037
he,0.2594625651836395,0.2111329436302185,0.5410010814666748,1.0000001192092896,0.3102736473083496,0.2845253646373749,0.2517127990722656,0.2089974731206894
was,0.16678167879581451,0.1968146562576294,1.0000001192092896,0.5410010814666748,0.3018348515033722,0.27411898970603943,0.26068684458732605,0.18412111699581146
bedridden,0.26991328597068787,0.31056931614875793,0.3018348515033722,0.3102736473083496,0.9999999403953552,0.2655036151409149,0.25308215618133545,0.27357012033462524
for,0.3308170735836029,0.2547193765640259,0.3863949179649353,0.4540175199508667,0.28467220067977905,0.39140474796295166,0.21282750368118286,0.264628142118454
nine,0.1557593196630478,0.2318415641784668,0.2782309651374817,0.28116974234580994,0.1958039104938507,0.25953325629234314,0.18327763676643372,0.13964155316352844
months,0.22324973344802856,0.34182459115982056,0.30324822664260864,0.30243980884552,0.3104805052280426,0.1904708445072174,0.22308292984962463,0.2804218530654907
and,0.33647966384887695,0.3395216166973114,0.3740963041782379,0.45427167415618896,0.3898039758205414,0.5477725267410278,0.2558041512966156,0.20544172823429108
was,0.16678167879581451,0.1968146562576294,1.0000001192092896,0.5410010814666748,0.3018348515033722,0.27411898970603943,0.26068684458732605,0.18412111699581146
near,0.10767845064401627,0.21566927433013916,0.1933041363954544,0.14969274401664734,0.2875928580760956,0.21191000938415527,0.19270648062229156,0.10734958201646805
death,0.19782234728336334,0.1302267462015152,0.28516459465026855,0.2806733548641205,0.269456684589386,0.171040341258049,0.33589693903923035,0.21149799227714539
multiple,0.2151651531457901,0.21753473579883575,0.150493785738945,0.14295612275600433,0.22785747051239014,0.23303250968456268,0.1182345375418663,0.1591399908065796
times,0.2685738503932953,0.18651624023914337,0.2859917879104614,0.307947039604187,0.19771528244018555,0.3026435673236847,0.21354739367961884,0.18880689144134521
.,0.3287222981452942,0.3247973620891571,0.40146201848983765,0.38061028718948364,0.3737426996231079,0.4446153938770294,0.260728657245636,0.4130953550338745
