,what,was,the,goal,of,the,grand,coalition,?
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,1.0,0.305169016122818,0.27709540724754333,0.22068053483963013
deal,0.3379717469215393,0.19347058236598969,0.23069973289966583,0.16141925752162933,0.22831951081752777,0.23069973289966583,0.16554395854473114,0.30402764678001404,0.2513751685619354
brought,0.26212388277053833,0.35886916518211365,0.32700833678245544,0.1963806301355362,0.3339962065219879,0.32700833678245544,0.14751467108726501,0.15024714171886444,0.2339296191930771
kibaki,0.1701267510652542,0.31435975432395935,0.20502740144729614,0.15214431285858154,0.21858225762844086,0.20502740144729614,0.15751421451568604,0.2973006069660187,0.19735006988048553
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.0441170372068882,-0.03817026689648628,-0.01540423184633255,-0.005897364113479853,-0.02830805629491806,-0.023395681753754616
pnu,0.20867592096328735,0.30045607686042786,0.3120071589946747,0.32399052381515503,0.3244759738445282,0.3120071589946747,0.13199177384376526,0.3816206753253937,0.2153494507074356
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.20885969698429108,0.5116966962814331,0.5171257257461548,0.24639178812503815,0.279930055141449,0.20544172823429108
odinga,0.12417111545801163,0.17100627720355988,0.11700057238340378,0.1881289780139923,0.12025092542171478,0.11700057238340378,0.11089788377285004,0.19613133370876312,0.2598755955696106
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.0441170372068882,-0.03817026689648628,-0.01540423184633255,-0.005897364113479853,-0.02830805629491806,-0.023395681753754616
odm,0.21722900867462158,0.1983935832977295,0.28903728723526,0.11761012673377991,0.2945936620235443,0.28903728723526,0.20125892758369446,0.17178672552108765,0.1599399894475937
together,0.22179445624351501,0.14391832053661346,0.26662585139274597,0.15752620995044708,0.26678720116615295,0.26662585139274597,0.09412597119808197,0.27370840311050415,0.1690303236246109
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.20885969698429108,0.5116966962814331,0.5171257257461548,0.24639178812503815,0.279930055141449,0.20544172823429108
heralded,0.18729710578918457,0.284647136926651,0.33707308769226074,0.09438253939151764,0.35852131247520447,0.33707308769226074,0.22477412223815918,0.27134084701538086,0.14380741119384766
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,1.0,0.305169016122818,0.27709540724754333,0.22068053483963013
formation,0.16291823983192444,0.19543607532978058,0.33687281608581543,0.09714789688587189,0.2957320809364319,0.33687281608581543,0.18019966781139374,0.30287373065948486,0.09831923991441727
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.1838325709104538,1.0,0.733189046382904,0.27195852994918823,0.2811764180660248,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,1.0,0.305169016122818,0.27709540724754333,0.22068053483963013
grand,0.1358851045370102,0.24247264862060547,0.305169016122818,0.045496001839637756,0.27195852994918823,0.305169016122818,0.9999999403953552,0.23725168406963348,0.1168735921382904
coalition,0.15644073486328125,0.22617590427398682,0.27709540724754333,0.2322036772966385,0.2811764180660248,0.27709540724754333,0.23725168406963348,1.0000001192092896,0.13521195948123932
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.4933079481124878,0.29582488536834717,0.23388497531414032,0.31091248989105225
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2241991013288498,0.5696388483047485,0.6662389636039734,0.24767720699310303,0.21407485008239746,0.20430970191955566
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.19597876071929932,0.5011631846427917,0.6521818041801453,0.20318171381950378,0.20330844819545746,0.25814583897590637
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,1.0,0.305169016122818,0.27709540724754333,0.22068053483963013
two,0.23363454639911652,0.27166637778282166,0.43858039379119873,0.13808752596378326,0.37726253271102905,0.43858039379119873,0.2209620177745819,0.25221121311187744,0.19645625352859497
political,0.21846716105937958,0.24282537400722504,0.20477235317230225,0.1911076456308365,0.27319738268852234,0.20477235317230225,0.12752677500247955,0.47164371609687805,0.17130474746227264
parties,0.21181418001651764,0.15179266035556793,0.2535073459148407,0.16738444566726685,0.2394237220287323,0.2535073459148407,0.15479759871959686,0.5065913200378418,0.16949701309204102
would,0.45766422152519226,0.41663143038749695,0.4133751392364502,0.3103758990764618,0.3353942930698395,0.4133751392364502,0.21951478719711304,0.2262832373380661,0.37178951501846313
share,0.2764742076396942,0.11521016061306,0.249948650598526,0.21227814257144928,0.2850857973098755,0.249948650598526,0.11234559863805771,0.1812024563550949,0.1754547506570816
power,0.22216427326202393,0.1794997751712799,0.2647338807582855,0.16805818676948547,0.25273123383522034,0.2647338807582855,0.1366519331932068,0.31432512402534485,0.15304024517536163
equally,0.3545299768447876,0.2207929790019989,0.25614944100379944,0.2079491913318634,0.262323796749115,0.25614944100379944,0.1427469253540039,0.23982451856136322,0.22503766417503357
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.19919876754283905,0.5352458953857422,0.5934505462646484,0.22995266318321228,0.20060032606124878,0.4130953550338745
