,as,a,euphoric,how,is,oxygen,used,in,bars,?
oxygen,0.16691245138645172,0.21662019193172455,0.3495035171508789,0.21928748488426208,0.21825239062309265,0.9999999403953552,0.21276918053627014,0.1672476977109909,0.14342163503170013,0.16786395013332367
",",0.48816442489624023,0.427140474319458,0.1695050448179245,0.22659391164779663,0.4691906273365021,0.21812842786312103,0.3120402991771698,0.5201468467712402,0.15093733370304108,0.31091248989105225
as,1.0,0.39550232887268066,0.22804005444049835,0.33782753348350525,0.43216490745544434,0.16691245138645172,0.35160550475120544,0.3887844979763031,0.1895981878042221,0.27043893933296204
a,0.39550232887268066,1.0,0.35717514157295227,0.29312583804130554,0.658733606338501,0.21662019193172455,0.3864384889602661,0.539380669593811,0.18241655826568604,0.23916715383529663
supposed,0.2560082972049713,0.3128533661365509,0.273987740278244,0.4460916221141815,0.26327794790267944,0.22053267061710358,0.3874214291572571,0.26477015018463135,0.15380999445915222,0.36114630103111267
mild,0.20400865375995636,0.28573232889175415,0.4008743166923523,0.20864196121692657,0.2723495364189148,0.2874981462955475,0.24524277448654175,0.2406633049249649,0.15178053081035614,0.1594024896621704
euphoric,0.22804005444049835,0.35717514157295227,1.0,0.2927420139312744,0.2852916121482849,0.3495035171508789,0.3438456952571869,0.2209940105676651,0.14229264855384827,0.2589734196662903
",",0.48816442489624023,0.427140474319458,0.1695050448179245,0.22659391164779663,0.4691906273365021,0.21812842786312103,0.3120402991771698,0.5201468467712402,0.15093733370304108,0.31091248989105225
has,0.351646363735199,0.4670248031616211,0.1743096113204956,0.26820555329322815,0.5668748617172241,0.1811927706003189,0.23367926478385925,0.4173259735107422,0.12771154940128326,0.15994466841220856
a,0.39550232887268066,1.0,0.35717514157295227,0.29312583804130554,0.658733606338501,0.21662019193172455,0.3864384889602661,0.539380669593811,0.18241655826568604,0.23916715383529663
history,0.2152104675769806,0.2123815417289734,0.05835898965597153,0.28613850474357605,0.1751103699207306,0.09605661034584045,0.23813171684741974,0.29215577244758606,0.13190560042858124,0.2501974403858185
of,0.3886612355709076,0.5052502155303955,0.23853856325149536,0.2480744868516922,0.4854315221309662,0.16848602890968323,0.3075267970561981,0.5696388483047485,0.12708143889904022,0.1826142966747284
recreational,0.23708267509937286,0.2747270464897156,0.20617610216140747,0.18226738274097443,0.22414052486419678,0.15029174089431763,0.3134261667728424,0.23290567100048065,0.1624651551246643,0.15257807075977325
use,0.3453201949596405,0.30793872475624084,0.25302013754844666,0.39296725392341614,0.3357410430908203,0.2547725737094879,0.7127541303634644,0.2715643048286438,0.22762849926948547,0.32795652747154236
in,0.3887844979763031,0.539380669593811,0.2209940105676651,0.2601168751716614,0.5394441485404968,0.1672476977109909,0.3090210556983948,1.0,0.2027268260717392,0.20430970191955566
oxygen,0.16691245138645172,0.21662019193172455,0.3495035171508789,0.21928748488426208,0.21825239062309265,0.9999999403953552,0.21276918053627014,0.1672476977109909,0.14342163503170013,0.16786395013332367
bars,0.1895981878042221,0.18241655826568604,0.14229264855384827,0.17497585713863373,0.1124049574136734,0.14342163503170013,0.2270808070898056,0.2027268260717392,1.0,0.1464296281337738
and,0.49487000703811646,0.3739250600337982,0.2094307839870453,0.33647966384887695,0.3859752118587494,0.22261030972003937,0.3150506615638733,0.4954058527946472,0.24086515605449677,0.20544172823429108
in,0.3887844979763031,0.539380669593811,0.2209940105676651,0.2601168751716614,0.5394441485404968,0.1672476977109909,0.3090210556983948,1.0,0.2027268260717392,0.20430970191955566
sports,0.1638442724943161,0.1933065801858902,0.09900777041912079,0.10512971878051758,0.2082153707742691,0.10604706406593323,0.18944233655929565,0.27591386437416077,0.13062310218811035,0.04557104781270027
.,0.515582263469696,0.50484299659729,0.21048571169376373,0.3287222981452942,0.4569662809371948,0.2554275095462799,0.33111312985420227,0.5591574311256409,0.19793879985809326,0.4130953550338745
