,what,does,lgm,stands,for,?
there,0.35085538029670715,0.2930194139480591,0.21964691579341888,0.27128827571868896,0.3728419542312622,0.29405656456947327
is,0.28837618231773376,0.4403602182865143,0.21081586182117462,0.41062167286872864,0.43268078565597534,0.22961433231830597
evidence,0.33425694704055786,0.2606262266635895,0.12796205282211304,0.21941521763801575,0.2610411047935486,0.24151235818862915
that,0.6297725439071655,0.4764937460422516,0.30078765749931335,0.2772740423679352,0.4137635827064514,0.32716336846351624
there,0.35085538029670715,0.2930194139480591,0.21964691579341888,0.27128827571868896,0.3728419542312622,0.29405656456947327
have,0.39808809757232666,0.3709583580493927,0.34489598870277405,0.1893480122089386,0.41175219416618347,0.32991164922714233
been,0.2567804455757141,0.22925697267055511,0.24985218048095703,0.1627107411623001,0.39068686962127686,0.24354910850524902
significant,0.24268144369125366,0.31748154759407043,0.18456698954105377,0.15675146877765656,0.2912706434726715,0.18679562211036682
changes,0.2740466892719269,0.29364344477653503,0.2573396861553192,0.1481684148311615,0.25747987627983093,0.21264225244522095
in,0.30808621644973755,0.214483380317688,0.2136618196964264,0.24075044691562653,0.4322226941585541,0.20430970191955566
amazon,0.16355936229228973,0.2086499184370041,0.11549964547157288,0.13983038067817688,0.165912926197052,0.18144656717777252
rainforest,0.22127854824066162,0.16115479171276093,0.20166289806365967,0.14279408752918243,0.18492411077022552,0.1917492002248764
vegetation,0.2184489667415619,0.22660966217517853,0.18740037083625793,0.1625511795282364,0.23696251213550568,0.10736152529716492
over,0.28007611632347107,0.24276040494441986,0.22949272394180298,0.18680714070796967,0.3419422209262848,0.25742942094802856
the,0.42745697498321533,0.35928019881248474,0.2530740201473236,0.31032469868659973,0.4739971458911896,0.22068053483963013
last,0.23175878822803497,0.15111127495765686,0.12226901948451996,0.15298444032669067,0.3043119013309479,0.22371746599674225
"21,000",-0.15567101538181305,-0.030496640130877495,0.1961238533258438,0.023131266236305237,5.434904232970439e-05,-0.030267925933003426
years,0.1981470286846161,0.11878147721290588,0.1574820578098297,0.12829795479774475,0.2878222167491913,0.1914375126361847
through,0.23167094588279724,0.21495459973812103,0.27418336272239685,0.11498624831438065,0.3172857463359833,0.16913433372974396
the,0.42745697498321533,0.35928019881248474,0.2530740201473236,0.31032469868659973,0.4739971458911896,0.22068053483963013
last,0.23175878822803497,0.15111127495765686,0.12226901948451996,0.15298444032669067,0.3043119013309479,0.22371746599674225
glacial,0.15804831683635712,0.11060648411512375,0.1277005523443222,0.1285548210144043,0.12617988884449005,0.09140896797180176
maximum,0.19255907833576202,0.18101169168949127,0.23674742877483368,0.16238108277320862,0.2296343743801117,0.10959649085998535
(,0.2411840260028839,0.2728188931941986,0.17527323961257935,0.2422497719526291,0.3357032239437103,0.40561532974243164
lgm,0.2686269283294678,0.24814610183238983,1.0,0.09848073124885559,0.28871288895606995,0.27672693133354187
),0.26259949803352356,0.2575884759426117,0.16605032980442047,0.23071527481079102,0.3639558255672455,0.42300865054130554
and,0.31309178471565247,0.3461615741252899,0.28099530935287476,0.24613958597183228,0.5064792633056641,0.20544172823429108
subsequent,0.20167095959186554,0.20590463280677795,0.344743013381958,0.10034613311290741,0.21050673723220825,0.13111010193824768
deglaciation,0.25941869616508484,0.13182254135608673,0.17407916486263275,0.18146555125713348,0.22817718982696533,0.20721618831157684
.,0.3567904531955719,0.3022993505001068,0.2719632685184479,0.2680073380470276,0.4726039469242096,0.4130953550338745
