,why,did,natural,sedimentation,by,the,rhine,compensate,the,transgression,bby,the,sea,?
since,0.3056725263595581,0.27613121271133423,0.1843990534543991,0.14968997240066528,0.32704517245292664,0.4054957628250122,0.1959613710641861,0.17243652045726776,0.4054957628250122,0.14792878925800323,0.15758420526981354,0.4054957628250122,0.15245658159255981,0.2876587212085724
7500,-0.047197651118040085,-0.08205366879701614,0.08362911641597748,0.030001303181052208,-0.0456082783639431,0.029057733714580536,0.018675556406378746,0.002276800340041518,0.029057733714580536,0.04952351748943329,-0.06059660390019417,0.029057733714580536,-0.07119420915842056,0.06164838746190071
yr,0.25501880049705505,0.17192907631397247,0.041442304849624634,0.1623833179473877,0.12279606610536575,0.09380238503217697,0.11170292645692825,0.005616801790893078,0.09380238503217697,0.130353644490242,0.20168009400367737,0.09380238503217697,0.17544707655906677,0.36382460594177246
ago,0.35060983896255493,0.19972491264343262,0.10926639288663864,0.34034493565559387,0.20432448387145996,0.23063679039478302,0.1324431449174881,0.13957270979881287,0.23063679039478302,0.15770450234413147,0.1134435310959816,0.23063679039478302,0.2567644417285919,0.2202194780111313
",",0.2827242314815521,0.3015086054801941,0.30864179134368896,0.23885005712509155,0.3680937886238098,0.4933079481124878,0.167837992310524,0.26494190096855164,0.4933079481124878,0.25618770718574524,0.18597915768623352,0.4933079481124878,0.30078184604644775,0.31091248989105225
a,0.2667238116264343,0.2552328109741211,0.19475746154785156,0.2670274078845978,0.32094135880470276,0.5829201340675354,0.1823403388261795,0.18354620039463043,0.5829201340675354,0.25803226232528687,0.2970249652862549,0.5829201340675354,0.17038485407829285,0.23916715383529663
situation,0.333413302898407,0.2690824270248413,0.0902964174747467,0.23654600977897644,0.20389829576015472,0.29657405614852905,0.22464416921138763,0.35790443420410156,0.29657405614852905,0.3791920244693756,0.20337362587451935,0.29657405614852905,0.1525353193283081,0.2714049518108368
with,0.24107445776462555,0.25472134351730347,0.09072273224592209,0.19930024445056915,0.39731505513191223,0.4223487675189972,0.18184249103069305,0.1780141294002533,0.4223487675189972,0.18691089749336243,0.255173921585083,0.4223487675189972,0.20304065942764282,0.2433311939239502
tides,0.14653998613357544,0.1744382530450821,0.27152302861213684,0.35186517238616943,0.2539587914943695,0.25823691487312317,0.15703924000263214,0.24443306028842926,0.25823691487312317,0.1919664591550827,0.23395739495754242,0.25823691487312317,0.4801848530769348,0.10811402648687363
and,0.27806392312049866,0.34479495882987976,0.3004496097564697,0.28912636637687683,0.4289871156215668,0.5171257257461548,0.22029656171798706,0.2643875181674957,0.5171257257461548,0.26669302582740784,0.2586958408355713,0.5171257257461548,0.30105236172676086,0.20544172823429108
currents,0.23853984475135803,0.14245115220546722,0.2521589994430542,0.4007657766342163,0.21828332543373108,0.30279916524887085,0.1652490645647049,0.3945351839065552,0.30279916524887085,0.2583836019039154,0.23431646823883057,0.30279916524887085,0.4258579909801483,0.07452256232500076
",",0.2827242314815521,0.3015086054801941,0.30864179134368896,0.23885005712509155,0.3680937886238098,0.4933079481124878,0.167837992310524,0.26494190096855164,0.4933079481124878,0.25618770718574524,0.18597915768623352,0.4933079481124878,0.30078184604644775,0.31091248989105225
very,0.42126598954200745,0.3388260006904602,0.19279490411281586,0.22681720554828644,0.2570326030254364,0.34171217679977417,0.1368808150291443,0.18321359157562256,0.34171217679977417,0.1869962066411972,0.2549537122249603,0.34171217679977417,0.1886223703622818,0.20864155888557434
similar,0.2182219922542572,0.29411372542381287,0.1618676483631134,0.2579782009124756,0.28307145833969116,0.2963123023509979,0.0950942412018776,0.20179879665374756,0.2963123023509979,0.15489061176776886,0.216839998960495,0.2963123023509979,0.12099620699882507,0.23309361934661865
to,0.4100138247013092,0.4452643394470215,0.21663954854011536,0.25847527384757996,0.33534231781959534,0.535392165184021,0.1736302673816681,0.3709917664527893,0.535392165184021,0.27609097957611084,0.25360214710235596,0.535392165184021,0.2749888300895691,0.29463258385658264
present,0.17187058925628662,0.1261267513036728,0.10523074865341187,0.21008789539337158,0.15190309286117554,0.2829846143722534,0.17266963422298431,0.20527806878089905,0.2829846143722534,0.18718387186527252,0.11345942318439484,0.2829846143722534,0.16412480175495148,0.21759982407093048
has,0.24175488948822021,0.2124989777803421,0.17507778108119965,0.17507442831993103,0.3254803419113159,0.4177538752555847,0.12709470093250275,0.12566713988780975,0.4177538752555847,0.11692886054515839,0.18396906554698944,0.4177538752555847,0.15683573484420776,0.15994466841220856
existed,0.2642989456653595,0.30351951718330383,0.14110730588436127,0.20263707637786865,0.1425320953130722,0.32677435874938965,0.15732082724571228,0.16761168837547302,0.32677435874938965,0.1834525763988495,0.09893923252820969,0.32677435874938965,0.19982917606830597,0.17013543844223022
.,0.32909876108169556,0.35288307070732117,0.25792330503463745,0.24440717697143555,0.3936232924461365,0.5934505462646484,0.2089352011680603,0.2161218374967575,0.5934505462646484,0.2558988034725189,0.2487642914056778,0.5934505462646484,0.2680719196796417,0.4130953550338745
,why,did,natural,sedimentation,by,the,rhine,compensate,the,transgression,bby,the,sea,?
rates,0.19132044911384583,0.16058027744293213,0.18975363671779633,0.25594907999038696,0.23408402502536774,0.25867342948913574,0.16531243920326233,0.3477661907672882,0.25867342948913574,0.3130285441875458,0.20818600058555603,0.25867342948913574,0.17548683285713196,0.13808594644069672
of,0.28464117646217346,0.2513895630836487,0.2963479459285736,0.2614911198616028,0.3646814823150635,0.733189046382904,0.2548927664756775,0.2828839123249054,0.733189046382904,0.29435664415359497,0.15218955278396606,0.733189046382904,0.2707739472389221,0.1826142966747284
sea-level,0.21108554303646088,0.1535646915435791,0.18300025165081024,0.37432458996772766,0.1265428215265274,0.30006691813468933,0.22782282531261444,0.2578192949295044,0.30006691813468933,0.13294829428195953,0.29788562655448914,0.30006691813468933,0.49968618154525757,0.2430570423603058
rise,0.16381201148033142,0.16756875813007355,0.12452959269285202,0.273499071598053,0.18536683917045593,0.3404741883277893,0.14898693561553955,0.1690390557050705,0.3404741883277893,0.24251100420951843,0.1115204468369484,0.3404741883277893,0.3275212049484253,0.10799103230237961
had,0.24633871018886566,0.540525496006012,0.10830845683813095,0.0953521728515625,0.37294110655784607,0.3875846862792969,0.17234164476394653,0.18707141280174255,0.3875846862792969,0.15463268756866455,0.1790759265422821,0.3875846862792969,0.1869262456893921,0.20728366076946259
dropped,0.12283893674612045,0.3167249262332916,0.14139290153980255,0.14232994616031647,0.195561945438385,0.2875209450721741,0.16188417375087738,0.16478216648101807,0.2875209450721741,0.10563678294420242,0.21974614262580872,0.2875209450721741,0.1121039167046547,0.1272711455821991
so,0.5904637575149536,0.43696269392967224,0.14809587597846985,0.2766294777393341,0.35152724385261536,0.4296516180038452,0.1913330852985382,0.31854885816574097,0.4296516180038452,0.28398191928863525,0.28530895709991455,0.4296516180038452,0.15222474932670593,0.43163934350013733
far,0.3096095025539398,0.2696933448314667,0.17864686250686646,0.18548743426799774,0.20033018290996552,0.38564538955688477,0.24846766889095306,0.20349135994911194,0.38564538955688477,0.22031596302986145,0.12741586565971375,0.38564538955688477,0.2322877198457718,0.2170870453119278
",",0.2827242314815521,0.3015086054801941,0.30864179134368896,0.23885005712509155,0.3680937886238098,0.4933079481124878,0.167837992310524,0.26494190096855164,0.4933079481124878,0.25618770718574524,0.18597915768623352,0.4933079481124878,0.30078184604644775,0.31091248989105225
that,0.5601457357406616,0.47518548369407654,0.23673862218856812,0.3067595660686493,0.37496164441108704,0.5473989248275757,0.16362759470939636,0.3421173393726349,0.5473989248275757,0.3553771376609802,0.2698565423488617,0.5473989248275757,0.2267688512802124,0.32716336846351624
natural,0.23105263710021973,0.08853514492511749,1.0,0.2984277009963989,0.17614005506038666,0.2291368842124939,0.10907647758722305,0.2636013925075531,0.2291368842124939,0.21270370483398438,0.14550642669200897,0.2291368842124939,0.202376589179039,0.16155436635017395
sedimentation,0.2079896181821823,0.05480002984404564,0.2984277009963989,0.9999998807907104,0.19334092736244202,0.2617757022380829,0.17811830341815948,0.26482948660850525,0.2617757022380829,0.3729029595851898,0.13867069780826569,0.2617757022380829,0.3575179874897003,0.17398139834403992
by,0.19170543551445007,0.18574509024620056,0.17614005506038666,0.19334092736244202,1.0000001192092896,0.4408751428127289,0.18456800282001495,0.23053959012031555,0.4408751428127289,0.26642435789108276,0.14629238843917847,0.4408751428127289,0.19145366549491882,0.17966607213020325
the,0.30742117762565613,0.34736719727516174,0.2291368842124939,0.2617757022380829,0.4408751428127289,1.0,0.30735138058662415,0.2269025444984436,1.0,0.27999699115753174,0.23549826443195343,1.0,0.30363768339157104,0.22068053483963013
rhine,0.08587279915809631,0.15695837140083313,0.10907647758722305,0.17811830341815948,0.18456800282001495,0.30735138058662415,1.0,0.15196874737739563,0.30735138058662415,0.10412928462028503,0.07125270366668701,0.30735138058662415,0.17523105442523956,0.13754533231258392
and,0.27806392312049866,0.34479495882987976,0.3004496097564697,0.28912636637687683,0.4289871156215668,0.5171257257461548,0.22029656171798706,0.2643875181674957,0.5171257257461548,0.26669302582740784,0.2586958408355713,0.5171257257461548,0.30105236172676086,0.20544172823429108
coastal,0.18349292874336243,0.1047234758734703,0.2913430631160736,0.29095059633255005,0.10084307193756104,0.2718130946159363,0.15396280586719513,0.14655664563179016,0.2718130946159363,0.18406671285629272,0.15674664080142975,0.2718130946159363,0.48406046628952026,0.13777320086956024
processes,0.3694080412387848,0.1924196183681488,0.30935490131378174,0.44926515221595764,0.18670718371868134,0.24400095641613007,0.13259100914001465,0.3165183663368225,0.24400095641613007,0.35580208897590637,0.14831788837909698,0.24400095641613007,0.14180484414100647,0.22719913721084595
together,0.22130186855793,0.16267985105514526,0.17830008268356323,0.16749294102191925,0.24535199999809265,0.26662585139274597,0.17053095996379852,0.16581974923610687,0.26662585139274597,0.11021025478839874,0.16001330316066742,0.26662585139274597,0.12055010348558426,0.1690303236246109
",",0.2827242314815521,0.3015086054801941,0.30864179134368896,0.23885005712509155,0.3680937886238098,0.4933079481124878,0.167837992310524,0.26494190096855164,0.4933079481124878,0.25618770718574524,0.18597915768623352,0.4933079481124878,0.30078184604644775,0.31091248989105225
could,0.446071982383728,0.6308382749557495,0.14252281188964844,0.17655369639396667,0.26333630084991455,0.35393214225769043,0.1763576716184616,0.31536057591438293,0.35393214225769043,0.28485411405563354,0.22682440280914307,0.35393214225769043,0.18213185667991638,0.3411986827850342
