,what,industry,has,managed,to,survive,major,military,spending,cutbacks,?
although,0.24844598770141602,0.20336399972438812,0.29775476455688477,0.21732893586158752,0.4176313281059265,0.2066718488931656,0.18535885214805603,0.17328155040740967,0.30446287989616394,0.2516428232192993,0.15541206300258636
military,0.18809624016284943,0.24109408259391785,0.16913649439811707,0.1891658455133438,0.2282337248325348,0.13221187889575958,0.22216801345348358,0.9999998807907104,0.27453184127807617,0.2857310473918915,0.1890317052602768
spending,0.31686943769454956,0.20625191926956177,0.2154192179441452,0.2279772013425827,0.34208691120147705,0.2548910975456238,0.19723892211914062,0.27453184127807617,1.0,0.4464341104030609,0.21198494732379913
cutbacks,0.27834421396255493,0.2560059428215027,0.31327760219573975,0.2129163295030594,0.2881920039653778,0.2396126538515091,0.31587040424346924,0.2857310473918915,0.4464341104030609,1.0000001192092896,0.18624737858772278
have,0.39808809757232666,0.16034089028835297,0.6353569626808167,0.17431439459323883,0.4544740617275238,0.37571606040000916,0.2512233257293701,0.21110375225543976,0.3190878629684448,0.4059879183769226,0.32991164922714233
had,0.23849567770957947,0.19256481528282166,0.5787927508354187,0.3428601622581482,0.37984350323677063,0.2640253007411957,0.21882961690425873,0.24236898124217987,0.3213145434856415,0.31406617164611816,0.20728366076946259
an,0.2821882665157318,0.17711345851421356,0.2991473078727722,0.112259641289711,0.3138085603713989,0.16879752278327942,0.14518070220947266,0.16605477035045624,0.16079100966453552,0.2074989676475525,0.19793890416622162
impact,0.25162962079048157,0.24844162166118622,0.20220687985420227,0.15847204625606537,0.2031068354845047,0.24815115332603455,0.26558610796928406,0.17958876490592957,0.2883586883544922,0.3047454357147217,0.18429921567440033
",",0.3087472915649414,0.24502649903297424,0.3734780251979828,0.2541543245315552,0.44245919585227966,0.23943406343460083,0.29355156421661377,0.2611614465713501,0.2879842221736908,0.2397550642490387,0.31091248989105225
aerospace,0.14070720970630646,0.36237260699272156,0.0856543630361557,0.13308972120285034,0.15696074068546295,0.09991803020238876,0.19758917391300201,0.37337160110473633,0.17615285515785217,0.21835023164749146,0.1227976456284523
continues,0.27419164776802063,0.1926182508468628,0.28418686985969543,0.24108880758285522,0.363338828086853,0.25716808438301086,0.2042420655488968,0.12606047093868256,0.21927818655967712,0.3061871826648712,0.13186512887477875
to,0.455847829580307,0.24876736104488373,0.3619994819164276,0.29769739508628845,1.0,0.3082670271396637,0.19240309298038483,0.2282337248325348,0.34208691120147705,0.2881920039653778,0.29463258385658264
be,0.3929833769798279,0.18855157494544983,0.3863394856452942,0.15255926549434662,0.4972836375236511,0.2839570641517639,0.1488431692123413,0.15564680099487305,0.33402007818222046,0.2976210117340088,0.3324260413646698
a,0.3320399522781372,0.27788880467414856,0.4670248031616211,0.2628381848335266,0.45503583550453186,0.21787875890731812,0.22990699112415314,0.22087278962135315,0.26904135942459106,0.29339298605918884,0.23916715383529663
major,0.21026742458343506,0.1881316751241684,0.2243996560573578,0.2762875258922577,0.19240309298038483,0.1485692262649536,0.9999998807907104,0.22216801345348358,0.19723892211914062,0.31587040424346924,0.19788557291030884
factor,0.23239780962467194,0.25030383467674255,0.20708835124969482,0.11047597229480743,0.23708900809288025,0.13877472281455994,0.28117117285728455,0.11508841812610626,0.1989336460828781,0.29994872212409973,0.2154984176158905
.,0.3567904531955719,0.24857841432094574,0.4105546176433563,0.2603258192539215,0.4645031690597534,0.2299451231956482,0.3054012954235077,0.21794499456882477,0.2863371968269348,0.2929236888885498,0.4130953550338745
