,who,is,responsible,for,education,in,the,country,of,australia,?
education,0.2051982581615448,0.18778188526630402,0.21469652652740479,0.27265021204948425,1.0,0.2654339671134949,0.23982903361320496,0.25007978081703186,0.3015166223049164,0.18532110750675201,0.18067774176597595
in,0.2792111933231354,0.5394441485404968,0.24309778213500977,0.4322226941585541,0.2654339671134949,1.0,0.6662389636039734,0.3040012717247009,0.5696388483047485,0.2697675824165344,0.20430970191955566
australia,0.21276454627513885,0.1734699010848999,0.1490769237279892,0.23705406486988068,0.18532110750675201,0.2697675824165344,0.26828548312187195,0.33911964297294617,0.2669609785079956,1.0,0.15702682733535767
is,0.24293622374534607,1.0,0.24123810231685638,0.43268078565597534,0.18778188526630402,0.5394441485404968,0.5823672413825989,0.24409033358097076,0.4854315221309662,0.1734699010848999,0.22961433231830597
primarily,0.20641058683395386,0.2883922755718231,0.20125608146190643,0.3610299527645111,0.22179743647575378,0.32119396328926086,0.34785038232803345,0.17324374616146088,0.2761906683444977,0.0937056913971901,0.06029784679412842
the,0.3733934462070465,0.5823672413825989,0.3305104374885559,0.4739971458911896,0.23982903361320496,0.6662389636039734,1.0,0.30432501435279846,0.733189046382904,0.26828548312187195,0.22068053483963013
responsibility,0.29908397793769836,0.187485933303833,0.7189788818359375,0.31113919615745544,0.32854992151260376,0.18270781636238098,0.3036732077598572,0.20974330604076385,0.28464245796203613,0.13858112692832947,0.20907385647296906
of,0.2827862501144409,0.4854315221309662,0.37070101499557495,0.4185989499092102,0.3015166223049164,0.5696388483047485,0.733189046382904,0.28866857290267944,1.0,0.2669609785079956,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,0.3305104374885559,0.4739971458911896,0.23982903361320496,0.6662389636039734,1.0,0.30432501435279846,0.733189046382904,0.26828548312187195,0.22068053483963013
individual,0.30539795756340027,0.21069909632205963,0.2873145639896393,0.33574938774108887,0.1396283209323883,0.27755051851272583,0.3706541955471039,0.2618366479873657,0.3372420072555542,0.18711800873279572,0.2058374285697937
states,0.21313154697418213,0.21939043700695038,0.23993539810180664,0.2496437132358551,0.28281262516975403,0.3977442979812622,0.3463578522205353,0.4065426290035248,0.30884552001953125,0.34114670753479004,0.16272737085819244
and,0.41279885172843933,0.3859752118587494,0.29945531487464905,0.5064792633056641,0.308173805475235,0.4954058527946472,0.5171257257461548,0.30884742736816406,0.5116966962814331,0.2804507613182068,0.20544172823429108
territories,0.22358475625514984,0.12577515840530396,0.19866180419921875,0.18598879873752594,0.20400641858577728,0.27001065015792847,0.30191943049430847,0.33730220794677734,0.2877243757247925,0.25292521715164185,0.11298645287752151
.,0.3541337847709656,0.4569662809371948,0.2309054434299469,0.4726039469242096,0.27047446370124817,0.5591574311256409,0.5934505462646484,0.26130348443984985,0.5352458953857422,0.2899940609931946,0.4130953550338745
