,what,is,defined,as,the,majority,vote,?
teu,0.1524437665939331,0.25601568818092346,0.16367654502391815,0.19074703752994537,0.31191012263298035,0.17550216615200043,0.07462827861309052,0.12451952695846558
article,0.40514686703681946,0.29873761534690857,0.2381255179643631,0.2877572774887085,0.3329811692237854,0.23771968483924866,0.33758240938186646,0.4948462247848511
16,-0.009719534777104855,-0.032198164612054825,-0.043858420103788376,0.07334910333156586,0.0058518932200968266,0.09364163875579834,0.09311458468437195,0.08446579426527023
(,0.2411840260028839,0.35393038392066956,0.24254421889781952,0.32029855251312256,0.33289089798927307,0.18431158363819122,0.19731609523296356,0.40561532974243164
4,-0.04324747622013092,0.025936461985111237,0.03427162021398544,0.04730905592441559,0.15499350428581238,0.02891475334763527,-0.0015075887786224484,0.010515431873500347
),0.26259949803352356,0.37732169032096863,0.21247997879981995,0.32161882519721985,0.3456730246543884,0.1868065446615219,0.18994680047035217,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.2678177058696747,0.49487000703811646,0.5171257257461548,0.34497180581092834,0.1828758865594864,0.20544172823429108
tfeu,0.1779472827911377,0.18587353825569153,0.15692268311977386,0.16301578283309937,0.23805710673332214,0.2051216959953308,0.17939336597919464,0.2193283885717392
article,0.40514686703681946,0.29873761534690857,0.2381255179643631,0.2877572774887085,0.3329811692237854,0.23771968483924866,0.33758240938186646,0.4948462247848511
238,-0.01015605591237545,-0.004316256381571293,-0.07431349903345108,-0.07971173524856567,-0.029248179867863655,-0.07430298626422882,-0.07151352614164352,-0.08960593491792679
(,0.2411840260028839,0.35393038392066956,0.24254421889781952,0.32029855251312256,0.33289089798927307,0.18431158363819122,0.19731609523296356,0.40561532974243164
3,0.04473085701465607,0.1504552811384201,0.04917192831635475,0.09568799287080765,0.06283142417669296,0.08132455497980118,0.05412464961409569,0.005975271109491587
),0.26259949803352356,0.37732169032096863,0.21247997879981995,0.32161882519721985,0.3456730246543884,0.1868065446615219,0.18994680047035217,0.42300865054130554
define,0.37022438645362854,0.21447251737117767,0.7789273262023926,0.30605360865592957,0.215811088681221,0.14050520956516266,0.12053467333316803,0.2999834418296814
this,0.5489566326141357,0.480927973985672,0.3271061182022095,0.43993282318115234,0.6274310946464539,0.2578946650028229,0.31675276160240173,0.3155723512172699
to,0.455847829580307,0.42745086550712585,0.21911276876926422,0.42092081904411316,0.535392165184021,0.26316750049591064,0.2892617881298065,0.29463258385658264
mean,0.35852181911468506,0.3152560591697693,0.3265672028064728,0.27253609895706177,0.25977957248687744,0.17373396456241608,0.18877768516540527,0.36234524846076965
at,0.2838611304759979,0.25906258821487427,0.17899209260940552,0.28092536330223083,0.457212895154953,0.18278247117996216,0.14803512394428253,0.21978627145290375
