,what,charter,has,become,an,important,aspect,of,eu,law,?
therefore,0.4125064015388489,0.22069773077964783,0.3033260703086853,0.38480493426322937,0.23727720975875854,0.31349286437034607,0.3765673339366913,0.4106575846672058,0.22118854522705078,0.2580360770225525,0.3325358033180237
",",0.3087472915649414,0.25566044449806213,0.3734780251979828,0.29676204919815063,0.3581022024154663,0.3452564477920532,0.19605056941509247,0.4946078956127167,0.1565755307674408,0.24953721463680267,0.31091248989105225
the,0.42745697498321533,0.26436546444892883,0.4177538752555847,0.31731709837913513,0.4207492768764496,0.39348116517066956,0.24363651871681213,0.733189046382904,0.14126400649547577,0.24548950791358948,0.22068053483963013
charter,0.13714581727981567,1.0000001192092896,0.15449199080467224,0.19530536234378815,0.1787807196378708,0.19349318742752075,0.13243862986564636,0.2438247799873352,0.263906866312027,0.3311116695404053,0.14220231771469116
of,0.33290785551071167,0.2438247799873352,0.3909035325050354,0.31678006052970886,0.32280945777893066,0.43301743268966675,0.26582151651382446,1.0,0.1579294353723526,0.2816956341266632,0.1826142966747284
fundamental,0.35305243730545044,0.2772924304008484,0.21495762467384338,0.1829306036233902,0.1619514524936676,0.3872447907924652,0.37294909358024597,0.35164782404899597,0.11398086696863174,0.35547971725463867,0.2011919468641281
rights,0.2386135458946228,0.41641664505004883,0.193097785115242,0.21720020473003387,0.2173870950937271,0.21105928719043732,0.24933584034442902,0.19425496459007263,0.1998741328716278,0.3795265257358551,0.21814769506454468
of,0.33290785551071167,0.2438247799873352,0.3909035325050354,0.31678006052970886,0.32280945777893066,0.43301743268966675,0.26582151651382446,1.0,0.1579294353723526,0.2816956341266632,0.1826142966747284
the,0.42745697498321533,0.26436546444892883,0.4177538752555847,0.31731709837913513,0.4207492768764496,0.39348116517066956,0.24363651871681213,0.733189046382904,0.14126400649547577,0.24548950791358948,0.22068053483963013
european,0.15324164927005768,0.334158331155777,0.1917828619480133,0.18499349057674408,0.15618090331554413,0.19270581007003784,0.08989446610212326,0.2507138252258301,0.46552222967147827,0.17164482176303864,0.14560863375663757
union,0.1396910548210144,0.24181725084781647,0.19102120399475098,0.16334053874015808,0.15291360020637512,0.1495465338230133,0.1594877541065216,0.2642118036746979,0.3292396068572998,0.19371826946735382,0.07797172665596008
