,in,contrast,how,were,catholic,saints,portrayed,?
in,1.0,0.2357589453458786,0.2601168751716614,0.3815755248069763,0.26313918828964233,0.17272762954235077,0.20527313649654388,0.20430970191955566
contrast,0.2357589453458786,1.0000001192092896,0.3102145791053772,0.18858689069747925,0.15459449589252472,0.11762093752622604,0.2398257851600647,0.15469981729984283
to,0.45010748505592346,0.23685190081596375,0.44169697165489197,0.31913647055625916,0.2619607746601105,0.1799524873495102,0.15473300218582153,0.29463258385658264
images,0.1735273003578186,0.25770846009254456,0.18564391136169434,0.2116612046957016,0.11956992000341415,0.19186857342720032,0.15269923210144043,0.22502069175243378
of,0.5696388483047485,0.3046875298023224,0.2480744868516922,0.34038281440734863,0.3452084958553314,0.2700014114379883,0.22090104222297668,0.1826142966747284
frail,0.2293994277715683,0.18077689409255981,0.2465285062789917,0.2298038750886917,0.2391625940799713,0.18517698347568512,0.21941545605659485,0.16722220182418823
catholic,0.26313918828964233,0.15459449589252472,0.11491761356592178,0.2294636070728302,1.0000001192092896,0.4296569526195526,0.1994834691286087,0.16609853506088257
saints,0.17272762954235077,0.11762093752622604,0.10800965130329132,0.22613875567913055,0.4296569526195526,1.0,0.1876378357410431,0.1782425343990326
",",0.5201468467712402,0.21571755409240723,0.22659391164779663,0.36755475401878357,0.2713983952999115,0.2533475160598755,0.1689670830965042,0.31091248989105225
luther,0.20523880422115326,0.17197979986667633,0.13354721665382385,0.18652333319187164,0.30848968029022217,0.17173054814338684,0.21132111549377441,0.1732746809720993
was,0.45514053106307983,0.17308409512043,0.16678167879581451,0.590133786201477,0.2832975387573242,0.2515062391757965,0.25768372416496277,0.18412111699581146
presented,0.3047972023487091,0.21382451057434082,0.24352394044399261,0.24217233061790466,0.1519927978515625,0.12067537754774094,0.3334394097328186,0.17025142908096313
as,0.3887844979763031,0.27679118514060974,0.33782753348350525,0.3025437891483307,0.2185802161693573,0.20046180486679077,0.4113568365573883,0.27043893933296204
a,0.539380669593811,0.29432156682014465,0.29312583804130554,0.17203083634376526,0.2060672640800476,0.18702839314937592,0.2083502560853958,0.23916715383529663
stout,0.22240190207958221,0.16597019135951996,0.10821306705474854,0.1920263022184372,0.11281580477952957,0.24044501781463623,0.20618458092212677,0.18636903166770935
man,0.19554144144058228,0.2199384868144989,0.25158804655075073,0.2055310159921646,0.09393732249736786,0.16135790944099426,0.1635088324546814,0.2528940737247467
with,0.4080928862094879,0.24865740537643433,0.3525622487068176,0.3179011940956116,0.2027006596326828,0.20332667231559753,0.20816023647785187,0.2433311939239502
a,0.539380669593811,0.29432156682014465,0.29312583804130554,0.17203083634376526,0.2060672640800476,0.18702839314937592,0.2083502560853958,0.23916715383529663
``,0.04765888676047325,0.08181966096162796,-0.01591024175286293,0.006090171169489622,0.11989553272724152,0.08333919197320938,-0.09890852123498917,0.0685480609536171
double,0.1451583355665207,0.2271379679441452,0.1738475114107132,0.1562480628490448,0.15599319338798523,0.09055724740028381,0.09101185202598572,0.10017921775579453
chin,0.1563873589038849,0.20196107029914856,0.2059525102376938,0.12271915376186371,0.07900655269622803,0.17083898186683655,0.2015347182750702,0.18390442430973053
",",0.5201468467712402,0.21571755409240723,0.22659391164779663,0.36755475401878357,0.2713983952999115,0.2533475160598755,0.1689670830965042,0.31091248989105225
strong,0.21198557317256927,0.290783166885376,0.19945120811462402,0.17177429795265198,0.1840946525335312,0.22023212909698486,0.22517387568950653,0.11990999430418015
mouth,0.2779791057109833,0.1289607137441635,0.13989293575286865,0.1256260871887207,0.08372626453638077,0.18855006992816925,0.14273010194301605,0.21761061251163483
",",0.5201468467712402,0.21571755409240723,0.22659391164779663,0.36755475401878357,0.2713983952999115,0.2533475160598755,0.1689670830965042,0.31091248989105225
piercing,0.21465268731117249,0.2999073565006256,0.1990790069103241,0.16980242729187012,0.15574659407138824,0.1918000429868698,0.1998811662197113,0.22003528475761414
deep-set,0.24203547835350037,0.32500678300857544,0.307363897562027,0.17848363518714905,0.06908946484327316,0.08017406612634659,0.21090731024742126,0.2364954799413681
eyes,0.15376155078411102,0.25893744826316833,0.24265450239181519,0.1792273074388504,0.11179196834564209,0.1545901745557785,0.30958646535873413,0.1874968707561493
",",0.5201468467712402,0.21571755409240723,0.22659391164779663,0.36755475401878357,0.2713983952999115,0.2533475160598755,0.1689670830965042,0.31091248989105225
fleshy,0.20192380249500275,0.3319316804409027,0.2524867653846741,0.21113555133342743,0.2143295705318451,0.24599213898181915,0.23951950669288635,0.18372267484664917
face,0.17266811430454254,0.22744245827198029,0.2165890783071518,0.1933264136314392,0.12654466927051544,0.1740427166223526,0.27102288603782654,0.12476722151041031
",",0.5201468467712402,0.21571755409240723,0.22659391164779663,0.36755475401878357,0.2713983952999115,0.2533475160598755,0.1689670830965042,0.31091248989105225
and,0.4954058527946472,0.2737886309623718,0.33647966384887695,0.42175528407096863,0.2147825062274933,0.17669014632701874,0.19925886392593384,0.20544172823429108
squat,0.16767635941505432,0.1922290176153183,0.09699501097202301,0.18591488897800446,0.1674548089504242,0.12413131445646286,0.20161035656929016,0.11795613914728165
neck,0.2142350971698761,0.23064276576042175,0.22054722905158997,0.18515576422214508,0.10497491806745529,0.15952110290527344,0.21522942185401917,0.1379052996635437
.,0.5591574311256409,0.21616345643997192,0.3287222981452942,0.3378238379955292,0.270730584859848,0.23146063089370728,0.1982525736093521,0.4130953550338745
'',0.07432962208986282,0.03199464827775955,-0.0029843549709767103,0.007215402089059353,0.025899190455675125,0.07848667353391647,0.010235466063022614,0.018684765323996544
