,what,governor,in,charge,of,new,france,died,in,1752,?
on,0.34226128458976746,0.1850048303604126,0.46853652596473694,0.20220614969730377,0.3966929316520691,0.31106263399124146,0.2042606770992279,0.2450883537530899,0.46853652596473694,0.08230208605527878,0.2714994251728058
march,0.20529508590698242,0.2894275188446045,0.29730337858200073,0.14011609554290771,0.20692677795886993,0.28389039635658264,0.22981399297714233,0.4193402826786041,0.29730337858200073,0.1541760116815567,0.2802562415599823
17,0.1129629984498024,0.09057149291038513,0.10391845554113388,0.13088291883468628,0.12138522416353226,-0.0030032778158783913,0.37642255425453186,0.11400546133518219,0.10391845554113388,0.8230980634689331,0.17603135108947754
",",0.3087472915649414,0.25151750445365906,0.5201468467712402,0.19992214441299438,0.4946078956127167,0.36073189973831177,0.28250643610954285,0.36026471853256226,0.5201468467712402,0.17440256476402283,0.31091248989105225
1752,0.06873507797718048,0.16311955451965332,0.10752164572477341,0.10608231276273727,0.06192135438323021,0.017053237184882164,0.3092040419578552,0.17235103249549866,0.10752164572477341,1.0,0.1778085082769394
",",0.3087472915649414,0.25151750445365906,0.5201468467712402,0.19992214441299438,0.4946078956127167,0.36073189973831177,0.28250643610954285,0.36026471853256226,0.5201468467712402,0.17440256476402283,0.31091248989105225
the,0.42745697498321533,0.19955585896968842,0.6662389636039734,0.2730984687805176,0.733189046382904,0.3845241069793701,0.35517507791519165,0.18710990250110626,0.6662389636039734,0.0458485372364521,0.22068053483963013
governor-general,0.291534960269928,0.8667276501655579,0.2682856023311615,0.24922078847885132,0.31701433658599854,0.22104384005069733,0.22349189221858978,0.29281991720199585,0.2682856023311615,0.19782206416130066,0.19721651077270508
of,0.33290785551071167,0.19877229630947113,0.5696388483047485,0.27586498856544495,1.0,0.343457967042923,0.3265724182128906,0.25637882947921753,0.5696388483047485,0.06192135438323021,0.1826142966747284
new,0.2130378633737564,0.16761749982833862,0.3758552670478821,0.10848899185657501,0.343457967042923,0.9999999403953552,0.2269197404384613,0.15599755942821503,0.3758552670478821,0.017053237184882164,0.14782847464084625
france,0.17793065309524536,0.18343675136566162,0.3812309503555298,0.24013446271419525,0.3265724182128906,0.2269197404384613,1.0000001192092896,0.2526325583457947,0.3812309503555298,0.3092040419578552,0.15069349110126495
",",0.3087472915649414,0.25151750445365906,0.5201468467712402,0.19992214441299438,0.4946078956127167,0.36073189973831177,0.28250643610954285,0.36026471853256226,0.5201468467712402,0.17440256476402283,0.31091248989105225
marquis,0.07857435196638107,0.26726439595222473,0.1697002649307251,0.14245189726352692,0.19525396823883057,0.12805381417274475,0.35428616404533386,0.2350669950246811,0.1697002649307251,0.29015636444091797,0.12144998461008072
de,0.10476839542388916,0.192219540476799,0.24818959832191467,0.13502150774002075,0.26292696595191956,0.14845386147499084,0.42480456829071045,0.13539938628673553,0.24818959832191467,0.2583487629890442,0.11064168810844421
la,0.15497572720050812,0.1615067422389984,0.25750628113746643,0.13669584691524506,0.2191537618637085,0.16597361862659454,0.3372941017150879,0.10059467703104019,0.25750628113746643,0.20867368578910828,0.16701938211917877
jonquière,0.24238549172878265,0.23544840514659882,0.2998623251914978,0.1321839839220047,0.32158908247947693,0.20834724605083466,0.5234882235527039,0.22385089099407196,0.2998623251914978,0.3949246108531952,0.21750867366790771
",",0.3087472915649414,0.25151750445365906,0.5201468467712402,0.19992214441299438,0.4946078956127167,0.36073189973831177,0.28250643610954285,0.36026471853256226,0.5201468467712402,0.17440256476402283,0.31091248989105225
