,what,were,shipbuilding,and,engineering,important,to,newcastle,for,in,the,19th,century,?
in,0.30808621644973755,0.3815755248069763,0.3171049952507019,0.4954058527946472,0.2634803354740143,0.3796374499797821,0.45010748505592346,0.19270820915699005,0.4322226941585541,1.0,0.6662389636039734,0.15408828854560852,0.3174034655094147,0.20430970191955566
the,0.42745697498321533,0.3906462490558624,0.2567063570022583,0.5171257257461548,0.23901307582855225,0.39348116517066956,0.535392165184021,0.2253497689962387,0.4739971458911896,0.6662389636039734,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
19th,0.11525199562311172,0.13102512061595917,0.20211824774742126,0.2922728657722473,0.25869324803352356,0.1544533669948578,0.18742936849594116,0.17883574962615967,0.17519418895244598,0.15408828854560852,0.24964287877082825,1.0,0.25699272751808167,0.004712673369795084
century,0.20422613620758057,0.34997639060020447,0.3117765486240387,0.2726690471172333,0.1328473687171936,0.3344342112541199,0.20143604278564453,0.17024719715118408,0.18660898506641388,0.3174034655094147,0.3617299497127533,0.25699272751808167,1.0,0.1026201918721199
",",0.3087472915649414,0.36755475401878357,0.28224143385887146,0.6633074283599854,0.24572694301605225,0.3452564477920532,0.44245919585227966,0.251589834690094,0.4464869201183319,0.5201468467712402,0.4933079481124878,0.16815264523029327,0.24487493932247162,0.31091248989105225
shipbuilding,0.18820497393608093,0.2716020345687866,1.0,0.2905518412590027,0.4560859501361847,0.3184092342853546,0.23608778417110443,0.33717235922813416,0.2985036075115204,0.3171049952507019,0.2567063570022583,0.20211824774742126,0.3117765486240387,0.10001028329133987
and,0.31309178471565247,0.42175528407096863,0.2905518412590027,1.0,0.2482127696275711,0.37549954652786255,0.48971283435821533,0.20204751193523407,0.5064792633056641,0.4954058527946472,0.5171257257461548,0.2922728657722473,0.2726690471172333,0.20544172823429108
heavy,0.19175288081169128,0.24747426807880402,0.2929013967514038,0.3313291370868683,0.22425465285778046,0.19066038727760315,0.21586324274539948,0.22109422087669373,0.22900916635990143,0.2047721892595291,0.2532151937484741,0.1940738707780838,0.16039720177650452,0.16717074811458588
engineering,0.1897483468055725,0.18269868195056915,0.4560859501361847,0.2482127696275711,0.9999999403953552,0.2873121500015259,0.21773739159107208,0.15733452141284943,0.25135883688926697,0.2634803354740143,0.23901307582855225,0.25869324803352356,0.1328473687171936,0.16555240750312805
were,0.22298263013362885,1.0000001192092896,0.2716020345687866,0.42175528407096863,0.18269868195056915,0.20263507962226868,0.31913647055625916,0.19883129000663757,0.33592689037323,0.3815755248069763,0.3906462490558624,0.13102512061595917,0.34997639060020447,0.17890112102031708
central,0.17723965644836426,0.16558948159217834,0.19158589839935303,0.2465941160917282,0.16620326042175293,0.2945139706134796,0.21511952579021454,0.11717772483825684,0.20646226406097412,0.30844059586524963,0.3417201042175293,0.09435150027275085,0.2583799958229065,0.14787602424621582
to,0.455847829580307,0.31913647055625916,0.23608778417110443,0.48971283435821533,0.21773739159107208,0.30913278460502625,1.0,0.23559264838695526,0.4451248347759247,0.45010748505592346,0.535392165184021,0.18742936849594116,0.20143604278564453,0.29463258385658264
the,0.42745697498321533,0.3906462490558624,0.2567063570022583,0.5171257257461548,0.23901307582855225,0.39348116517066956,0.535392165184021,0.2253497689962387,0.4739971458911896,0.6662389636039734,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
city,0.17493832111358643,0.20383071899414062,0.29521819949150085,0.2827445864677429,0.19963452219963074,0.28580164909362793,0.20300441980361938,0.32860881090164185,0.18687109649181366,0.3911624252796173,0.35769423842430115,0.08246790617704391,0.22887252271175385,0.13423943519592285
's,0.02692362666130066,0.007088581565767527,-0.0032450042199343443,0.06895173341035843,0.022579053416848183,-0.0359678789973259,0.03782717138528824,-0.017262522131204605,-0.07241261005401611,-0.037580832839012146,-0.01540423184633255,0.09424189478158951,-0.0005286295781843364,-0.023395681753754616
prosperity,0.20327873528003693,0.10632891952991486,0.281890332698822,0.29077327251434326,0.1979885846376419,0.33209943771362305,0.25142163038253784,0.1306736320257187,0.258960098028183,0.21032258868217468,0.29066985845565796,0.1930907666683197,0.25036704540252686,0.1755954772233963
;,0.10986888408660889,0.14040996134281158,0.08699016273021698,0.08403264731168747,-0.009982040151953697,0.06849776953458786,0.0979827418923378,0.10598292201757431,0.0293948445469141,0.092739537358284,0.09152708947658539,0.03850824013352394,0.05666763335466385,0.10349778085947037
and,0.31309178471565247,0.42175528407096863,0.2905518412590027,1.0,0.2482127696275711,0.37549954652786255,0.48971283435821533,0.20204751193523407,0.5064792633056641,0.4954058527946472,0.5171257257461548,0.2922728657722473,0.2726690471172333,0.20544172823429108
the,0.42745697498321533,0.3906462490558624,0.2567063570022583,0.5171257257461548,0.23901307582855225,0.39348116517066956,0.535392165184021,0.2253497689962387,0.4739971458911896,0.6662389636039734,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
city,0.17493832111358643,0.20383071899414062,0.29521819949150085,0.2827445864677429,0.19963452219963074,0.28580164909362793,0.20300441980361938,0.32860881090164185,0.18687109649181366,0.3911624252796173,0.35769423842430115,0.08246790617704391,0.22887252271175385,0.13423943519592285
was,0.22111038863658905,0.590133786201477,0.29551875591278076,0.3740963041782379,0.21916431188583374,0.24924467504024506,0.3636345863342285,0.25710436701774597,0.3863949179649353,0.45514053106307983,0.48711544275283813,0.24231374263763428,0.3521432876586914,0.18412111699581146
a,0.3320399522781372,0.17203083634376526,0.23446036875247955,0.3739250600337982,0.22954386472702026,0.2963852882385254,0.45503583550453186,0.21405641734600067,0.44038116931915283,0.539380669593811,0.5829201340675354,0.200595885515213,0.19417014718055725,0.23916715383529663
powerhouse,0.203813835978508,0.2395862340927124,0.386574387550354,0.37768638134002686,0.31545838713645935,0.2034018635749817,0.25653231143951416,0.28304702043533325,0.2763970196247101,0.2746373116970062,0.29652997851371765,0.2654257118701935,0.26144102215766907,0.19753573834896088
of,0.33290785551071167,0.34038281440734863,0.264638751745224,0.5116966962814331,0.2630712687969208,0.43301743268966675,0.41548454761505127,0.18781472742557526,0.4185989499092102,0.5696388483047485,0.733189046382904,0.16605104506015778,0.2826060354709625,0.1826142966747284
the,0.42745697498321533,0.3906462490558624,0.2567063570022583,0.5171257257461548,0.23901307582855225,0.39348116517066956,0.535392165184021,0.2253497689962387,0.4739971458911896,0.6662389636039734,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
industrial,0.16054853796958923,0.2023591846227646,0.5002825856208801,0.3274568021297455,0.46834108233451843,0.4240185618400574,0.23145946860313416,0.22091363370418549,0.2770422399044037,0.3118434548377991,0.30435431003570557,0.20534056425094604,0.2713421881198883,0.08039500564336777
revolution,0.1946869045495987,0.2724667489528656,0.1452692151069641,0.21575188636779785,0.22637133300304413,0.2749865651130676,0.18777814507484436,0.06105705350637436,0.1494327187538147,0.23010264337062836,0.276140034198761,0.10062170028686523,0.3111537992954254,0.1727980077266693
.,0.3567904531955719,0.3378238379955292,0.268440306186676,0.588965117931366,0.18122120201587677,0.33938494324684143,0.4645031690597534,0.2714749276638031,0.4726039469242096,0.5591574311256409,0.5934505462646484,0.18941882252693176,0.27413639426231384,0.4130953550338745
