,an,illustrated,",",paraphrased,version,of,this,appeared,when,?
a,0.44552403688430786,0.166479229927063,0.427140474319458,0.3257674276828766,0.27132871747016907,0.5052502155303955,0.5422310829162598,0.24508115649223328,0.44397395849227905,0.23916715383529663
two-volume,0.1754920929670334,0.31498536467552185,0.3219282329082489,0.3191175162792206,0.23762977123260498,0.32052329182624817,0.2844761908054352,0.25967445969581604,0.26643598079681396,0.23446457087993622
illustrated,0.14793068170547485,1.0000001192092896,0.22477607429027557,0.2800949811935425,0.212951198220253,0.19228370487689972,0.20087885856628418,0.2433590292930603,0.16003090143203735,0.1687079519033432
folio,0.15727055072784424,0.3383805453777313,0.19353170692920685,0.3333674967288971,0.31564876437187195,0.23482567071914673,0.21864630281925201,0.2923446297645569,0.18510381877422333,0.2128666639328003
paraphrase,0.26385146379470825,0.29459288716316223,0.29541707038879395,0.9499041438102722,0.33577123284339905,0.18274803459644318,0.39231589436531067,0.22534385323524475,0.2834310531616211,0.43685612082481384
version,0.24099896848201752,0.212951198220253,0.2078275829553604,0.3161185085773468,1.0000001192092896,0.14166875183582306,0.27579987049102783,0.28550609946250916,0.20694629848003387,0.2573966085910797
based,0.2026301473379135,0.2120162397623062,0.27976205945014954,0.19651898741722107,0.3074890375137329,0.3033197224140167,0.253976970911026,0.23330414295196533,0.16572482883930206,0.134929820895195
on,0.3192969560623169,0.20161676406860352,0.49057599902153015,0.2599424123764038,0.25959500670433044,0.3966929316520691,0.4193967580795288,0.28960493206977844,0.37706470489501953,0.2714994251728058
his,0.24025635421276093,0.21202786266803741,0.3378419280052185,0.24309036135673523,0.15563099086284637,0.38364991545677185,0.3549620509147644,0.27023786306381226,0.37120407819747925,0.18075084686279297
manuscript,0.07430097460746765,0.35090959072113037,0.16609624028205872,0.29450488090515137,0.25951895117759705,0.22283752262592316,0.15544883906841278,0.20517143607139587,0.17268364131450653,0.1704554408788681
",",0.3581022024154663,0.22477607429027557,1.0000001192092896,0.29934826493263245,0.2078275829553604,0.4946078956127167,0.4316047728061676,0.30425316095352173,0.36674630641937256,0.31091248989105225
by,0.2719563841819763,0.24316418170928955,0.3680937886238098,0.2415049970149994,0.21702225506305695,0.3646814823150635,0.38438332080841064,0.15862460434436798,0.4376842677593231,0.17966607213020325
jean,0.16995874047279358,0.14512258768081665,0.23047874867916107,0.14613066613674164,0.11185219138860703,0.14357218146324158,0.17695678770542145,0.14495578408241272,0.11667072772979736,0.1531364470720291
de,0.13640527427196503,0.16030187904834747,0.2882855534553528,0.09636589139699936,0.09855896979570389,0.26292696595191956,0.1538555771112442,0.12059582024812698,0.15837545692920685,0.11064168810844421
rély,0.18816667795181274,0.16476544737815857,0.30621421337127686,0.2557227611541748,0.1776154339313507,0.2248392254114151,0.3009047210216522,0.14979884028434753,0.3722233772277832,0.20659497380256653
",",0.3581022024154663,0.22477607429027557,1.0000001192092896,0.29934826493263245,0.2078275829553604,0.4946078956127167,0.4316047728061676,0.30425316095352173,0.36674630641937256,0.31091248989105225
was,0.3694365322589874,0.15343090891838074,0.45456063747406006,0.21243250370025635,0.297456830739975,0.4069072902202606,0.3638818562030792,0.35842156410217285,0.37326499819755554,0.18412111699581146
printed,0.12438149750232697,0.3960704505443573,0.22768577933311462,0.3409650921821594,0.2833459675312042,0.21046876907348633,0.255685418844223,0.3263176381587982,0.22858504951000214,0.1726173758506775
in,0.2605783939361572,0.18751010298728943,0.5201468467712402,0.17597609758377075,0.19599339365959167,0.5696388483047485,0.45205554366111755,0.31264984607696533,0.4431333839893341,0.20430970191955566
paris,0.14646632969379425,0.1543605476617813,0.25794950127601624,0.1178424134850502,0.11773721128702164,0.19470684230327606,0.19564364850521088,0.19410449266433716,0.23232801258563995,0.1491217315196991
in,0.2605783939361572,0.18751010298728943,0.5201468467712402,0.17597609758377075,0.19599339365959167,0.5696388483047485,0.45205554366111755,0.31264984607696533,0.4431333839893341,0.20430970191955566
1487,0.007662658113986254,0.017212145030498505,0.07636679708957672,-0.19927237927913666,0.002720194635912776,-0.11944540590047836,-0.1441446989774704,0.032822731882333755,-0.1033177524805069,-0.14271573722362518
.,0.3581749200820923,0.18165025115013123,0.6812511086463928,0.271431565284729,0.2754054665565491,0.5352458953857422,0.500583827495575,0.2511556148529053,0.475719153881073,0.4130953550338745
