,what,did,objects,in,forced,motion,contain,according,to,the,late,medieval,idea,that,influence,aristotle,?
the,0.42745697498321533,0.34736719727516174,0.24716724455356598,0.6662389636039734,0.2571122944355011,0.30530840158462524,0.26383090019226074,0.3202974498271942,0.535392165184021,1.0,0.31481194496154785,0.28617456555366516,0.2839161455631256,0.5473989248275757,0.3039984107017517,0.1415858268737793,0.22068053483963013
shortcomings,0.41236254572868347,0.25177472829818726,0.28420010209083557,0.22104503214359283,0.1810029298067093,0.24635708332061768,0.34322595596313477,0.18119856715202332,0.3945337235927582,0.31983426213264465,0.1940915584564209,0.14849764108657837,0.39615169167518616,0.4398679733276367,0.23763464391231537,0.2014898806810379,0.41145098209381104
of,0.33290785551071167,0.2513895630836487,0.23814009130001068,0.5696388483047485,0.27082350850105286,0.24864931404590607,0.30574339628219604,0.3307822346687317,0.41548454761505127,0.733189046382904,0.21690747141838074,0.31686919927597046,0.2342950403690338,0.41498205065727234,0.3608979284763336,0.22867590188980103,0.1826142966747284
aristotelian,0.2997739017009735,0.21621163189411163,0.2915065884590149,0.21734513342380524,0.12922252714633942,0.25371053814888,0.20486189424991608,0.301139235496521,0.19979743659496307,0.19423235952854156,0.26199498772621155,0.3320964276790619,0.4077868163585663,0.3214464783668518,0.339328408241272,0.7973302602767944,0.15906864404678345
physics,0.26464056968688965,0.17361022531986237,0.28286394476890564,0.2189493626356125,0.1289013922214508,0.2867325246334076,0.12650877237319946,0.15069499611854553,0.19172722101211548,0.17952929437160492,0.0821557492017746,0.11018116772174835,0.2939033508300781,0.22907806932926178,0.13648636639118195,0.35750266909599304,0.1470423936843872
would,0.45766422152519226,0.6268245577812195,0.27234193682670593,0.30461156368255615,0.3959420919418335,0.23055873811244965,0.23871861398220062,0.23660632967948914,0.5965728163719177,0.4133751392364502,0.21892763674259186,0.1074804738163948,0.46124717593193054,0.5895259380340576,0.269414484500885,0.19811014831066132,0.37178951501846313
not,0.5449194312095642,0.6481515765190125,0.2832675576210022,0.3403114080429077,0.30040132999420166,0.19203688204288483,0.39340853691101074,0.20130372047424316,0.5149973034858704,0.4310511648654938,0.1889783889055252,0.17901314795017242,0.35317808389663696,0.6600887179374695,0.2704312801361084,0.2035527378320694,0.41942933201789856
be,0.3929833769798279,0.22657383978366852,0.311663955450058,0.3481820821762085,0.16710756719112396,0.21529123187065125,0.4570501148700714,0.2703677713871002,0.4972836375236511,0.4248143136501312,0.18044832348823547,0.15897755324840546,0.3303828835487366,0.6036020517349243,0.2478046864271164,0.21624554693698883,0.3324260413646698
fully,0.3561125099658966,0.23985297977924347,0.17020075023174286,0.18126852810382843,0.23142771422863007,0.1673082858324051,0.2464326173067093,0.15680080652236938,0.30777493119239807,0.2750830352306366,0.22165723145008087,0.10274295508861542,0.31068211793899536,0.425624281167984,0.16627119481563568,0.1606544852256775,0.2089291661977768
corrected,0.3090856373310089,0.2648967504501343,0.2364128977060318,0.24417230486869812,0.24481233954429626,0.17437006533145905,0.253476619720459,0.22684714198112488,0.25491708517074585,0.25981056690216064,0.22013066709041595,0.18524321913719177,0.25763028860092163,0.36229050159454346,0.15226972103118896,0.22643260657787323,0.32021793723106384
