,how,much,of,afghanistan,did,the,taliban,take,over,?
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.2505266070365906,0.2593238651752472,0.6662389636039734,0.23539823293685913,0.21975718438625336,0.3605569899082184,0.20430970191955566
1996,0.11204922944307327,0.07159463316202164,0.08521515130996704,0.2538165748119354,0.24150575697422028,0.10029517859220505,0.28942129015922546,0.12855803966522217,0.08526307344436646,0.18022380769252777
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.21547061204910278,0.3015086054801941,0.4933079481124878,0.24089160561561584,0.2881867289543152,0.3301127254962921,0.31091248989105225
a,0.29312583804130554,0.2958075702190399,0.5052502155303955,0.171161487698555,0.2552328109741211,0.5829201340675354,0.16784507036209106,0.2789212465286255,0.32199642062187195,0.23916715383529663
more,0.4319567084312439,0.5936280488967896,0.30478984117507935,0.14546871185302734,0.2803135812282562,0.39758381247520447,0.21313685178756714,0.3237091600894928,0.452426552772522,0.27894994616508484
conservative,0.13907010853290558,0.23322103917598724,0.17898385226726532,0.17916105687618256,0.14079563319683075,0.19218477606773376,0.28129804134368896,0.11079691350460052,0.15108919143676758,0.1597563922405243
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.2312776744365692,0.34479495882987976,0.5171257257461548,0.3037244379520416,0.296702116727829,0.4021143913269043,0.20544172823429108
anti-democratic,0.1467587947845459,0.16171814501285553,0.270991712808609,0.2681235671043396,0.1787898689508438,0.2391766756772995,0.3064955472946167,0.17461878061294556,0.1951388269662857,0.16729329526424408
islamist,0.11329931020736694,0.12830379605293274,0.19512814283370972,0.47012534737586975,0.18690630793571472,0.2459319531917572,0.6071791648864746,0.19959227740764618,0.21942400932312012,0.14697067439556122
movement,0.2090272754430771,0.18648113310337067,0.2662941515445709,0.22904610633850098,0.12124674767255783,0.339571475982666,0.27302199602127075,0.11955956369638443,0.15177948772907257,0.1423349231481552
known,0.16194356977939606,0.2587057054042816,0.35814476013183594,0.10439025610685349,0.25943970680236816,0.3624623417854309,0.12832079827785492,0.10899697244167328,0.24486365914344788,0.18314571678638458
as,0.33782753348350525,0.36514025926589966,0.3886612355709076,0.17645354568958282,0.3596470057964325,0.48381632566452026,0.18671482801437378,0.26337623596191406,0.3506779670715332,0.27043893933296204
the,0.33890387415885925,0.35023224353790283,0.733189046382904,0.28314414620399475,0.34736719727516174,1.0,0.26727861166000366,0.31620436906814575,0.39856547117233276,0.22068053483963013
taliban,0.1924503594636917,0.1914980262517929,0.2280503511428833,0.5801190137863159,0.2352454513311386,0.26727861166000366,1.0000001192092896,0.2158944457769394,0.23751366138458252,0.13205693662166595
rose,0.1042250394821167,0.13202911615371704,0.2557028830051422,0.1578265279531479,0.029700901359319687,0.28326278924942017,0.17781811952590942,0.16239267587661743,0.17351530492305756,0.11847885698080063
to,0.44169697165489197,0.40610215067863464,0.41548454761505127,0.20390678942203522,0.4452643394470215,0.535392165184021,0.26503223180770874,0.4075521230697632,0.38635820150375366,0.29463258385658264
power,0.23785550892353058,0.289607435464859,0.25273123383522034,0.15500755608081818,0.2120266556739807,0.2647338807582855,0.2711719572544098,0.18405823409557343,0.2579299211502075,0.15304024517536163
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.21547061204910278,0.3015086054801941,0.4933079481124878,0.24089160561561584,0.2881867289543152,0.3301127254962921,0.31091248989105225
defeated,0.10988643020391464,0.13793335855007172,0.21236225962638855,0.1212337538599968,0.23103484511375427,0.2833898365497589,0.25683462619781494,0.17485107481479645,0.2211136817932129,0.1413237303495407
