,when,is,the,suspended,team,scheduled,to,return,?
however,0.5574322938919067,0.33769986033439636,0.49814513325691223,0.27471402287483215,0.1609768122434616,0.30592459440231323,0.5474119186401367,0.2910092771053314,0.2152075469493866
",",0.36674630641937256,0.4691906273365021,0.4933079481124878,0.2427910715341568,0.21287471055984497,0.2531873285770416,0.44245919585227966,0.20895273983478546,0.31091248989105225
chivas,0.13493967056274414,0.22260355949401855,0.2529444992542267,0.14735648036003113,0.3221329152584076,0.15901872515678406,0.1645473688840866,0.060947664082050323,0.16370920836925507
were,0.29649975895881653,0.29386836290359497,0.3906462490558624,0.18307673931121826,0.16634012758731842,0.20936498045921326,0.31913647055625916,0.16721634566783905,0.17890112102031708
suspended,0.27219924330711365,0.17945344746112823,0.28768354654312134,0.9999998807907104,0.1879577785730362,0.29727426171302795,0.20259469747543335,0.1924380213022232,0.13118882477283478
following,0.3263498842716217,0.21705439686775208,0.39779382944107056,0.20278841257095337,0.16239877045154572,0.22606655955314636,0.31711265444755554,0.22474905848503113,0.1555173695087433
the,0.5091903209686279,0.5823672413825989,1.0,0.28768354654312134,0.22564226388931274,0.23960356414318085,0.535392165184021,0.2543797492980957,0.22068053483963013
2014,0.1509266346693039,0.16745887696743011,0.059490643441677094,0.028063615784049034,0.030928557738661766,-0.04011369124054909,0.016496146097779274,-0.011039314791560173,0.058127544820308685
mls,0.18886999785900116,0.19856564700603485,0.3407278060913086,0.3248230218887329,0.4657246768474579,0.2766115665435791,0.24310454726219177,0.1500415951013565,0.17685566842556
season,0.1977832019329071,0.1786249428987503,0.2507155239582062,0.14996618032455444,0.3451383709907532,0.2661694884300232,0.22382742166519165,0.21203108131885529,0.16793298721313477
",",0.36674630641937256,0.4691906273365021,0.4933079481124878,0.2427910715341568,0.21287471055984497,0.2531873285770416,0.44245919585227966,0.20895273983478546,0.31091248989105225
with,0.5075214505195618,0.3250955045223236,0.4223487675189972,0.18917925655841827,0.21111343801021576,0.12026636302471161,0.4239959120750427,0.16163842380046844,0.2433311939239502
a,0.44397395849227905,0.658733606338501,0.5829201340675354,0.24709869921207428,0.19125498831272125,0.19639261066913605,0.45503583550453186,0.20093116164207458,0.23916715383529663
second,0.28561660647392273,0.3161451518535614,0.4620301127433777,0.20481754839420319,0.24546074867248535,0.2459886372089386,0.3098561465740204,0.2060874104499817,0.17239587008953094
mls,0.18886999785900116,0.19856564700603485,0.3407278060913086,0.3248230218887329,0.4657246768474579,0.2766115665435791,0.24310454726219177,0.1500415951013565,0.17685566842556
team,0.19886156916618347,0.14871908724308014,0.22564226388931274,0.1879577785730362,1.0,0.16974389553070068,0.23889471590518951,0.20304961502552032,0.11243411153554916
scheduled,0.18377315998077393,0.13961143791675568,0.23960356414318085,0.29727426171302795,0.16974389553070068,1.0000001192092896,0.25710105895996094,0.18103763461112976,0.15473315119743347
to,0.5423505902290344,0.42745086550712585,0.535392165184021,0.20259469747543335,0.23889471590518951,0.25710105895996094,1.0,0.3110596537590027,0.29463258385658264
return,0.24235358834266663,0.16104018688201904,0.2543797492980957,0.1924380213022232,0.20304961502552032,0.18103763461112976,0.3110596537590027,0.9999998807907104,0.14655634760856628
in,0.4431333839893341,0.5394441485404968,0.6662389636039734,0.20142072439193726,0.18841172754764557,0.23272886872291565,0.45010748505592346,0.1852470338344574,0.20430970191955566
2018,0.1875019520521164,0.0735352411866188,0.12160612642765045,-0.1151593029499054,-0.03132686764001846,-0.06424807757139206,0.23416149616241455,0.06618835031986237,0.003483723383396864
.,0.475719153881073,0.4569662809371948,0.5934505462646484,0.20566484332084656,0.26467522978782654,0.19395571947097778,0.4645031690597534,0.25014954805374146,0.4130953550338745
