,what,kind,of,disorders,are,the,result,of,an,overactive,immune,response,?
overactive,0.28206825256347656,0.26692894101142883,0.2255389243364334,0.3683549761772156,0.2666647434234619,0.20444205403327942,0.1880951225757599,0.2255389243364334,0.21889086067676544,1.0,0.31169119477272034,0.28449326753616333,0.20099174976348877
immune,0.2410416603088379,0.2694495916366577,0.16620753705501556,0.3924263119697571,0.23878547549247742,0.21364226937294006,0.20555342733860016,0.16620753705501556,0.20370379090309143,0.31169119477272034,1.0,0.43541768193244934,0.16080476343631744
responses,0.3741379678249359,0.23561710119247437,0.202371284365654,0.32700037956237793,0.28818485140800476,0.25337323546409607,0.27817124128341675,0.202371284365654,0.28049761056900024,0.36996209621429443,0.4776917099952698,0.8744115233421326,0.23588258028030396
comprise,0.12822939455509186,0.20380616188049316,0.37900012731552124,0.14669470489025116,0.3744918406009674,0.30294761061668396,0.13050343096256256,0.37900012731552124,0.1351657211780548,0.1349358856678009,0.07635464519262314,0.06169552356004715,0.056415483355522156
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23239798843860626,0.40399202704429626,1.0,0.27778977155685425,0.733189046382904,0.4207492768764496,0.20444205403327942,0.21364226937294006,0.28909924626350403,0.22068053483963013
other,0.341873437166214,0.2729318141937256,0.38583824038505554,0.2689764201641083,0.5932393670082092,0.44152235984802246,0.18025074899196625,0.38583824038505554,0.1556563824415207,0.23490890860557556,0.23635786771774292,0.19916503131389618,0.24682199954986572
end,0.29234179854393005,0.2020929455757141,0.2215006798505783,0.11645667999982834,0.18067817389965057,0.39658910036087036,0.314713716506958,0.2215006798505783,0.1506708711385727,0.1420276015996933,0.11869616061449051,0.15785470604896545,0.12543344497680664
of,0.33290785551071167,0.2285657674074173,1.0,0.2104933112859726,0.39081433415412903,0.733189046382904,0.231380432844162,1.0,0.32280945777893066,0.2255389243364334,0.16620753705501556,0.21864040195941925,0.1826142966747284
immune,0.2410416603088379,0.2694495916366577,0.16620753705501556,0.3924263119697571,0.23878547549247742,0.21364226937294006,0.20555342733860016,0.16620753705501556,0.20370379090309143,0.31169119477272034,1.0,0.43541768193244934,0.16080476343631744
dysfunction,0.22362203896045685,0.20480099320411682,0.20230457186698914,0.5533679127693176,0.27769091725349426,0.2362920641899109,0.3044544756412506,0.20230457186698914,0.22017048299312592,0.34332263469696045,0.450000524520874,0.32089897990226746,0.15266670286655426
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2126695066690445,0.4062570035457611,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.3581022024154663,0.22835895419120789,0.15102852880954742,0.24039098620414734,0.31091248989105225
particularly,0.33027681708335876,0.3311082422733307,0.30258041620254517,0.19854362308979034,0.4342263638973236,0.32132959365844727,0.18415053188800812,0.30258041620254517,0.25727713108062744,0.3150332272052765,0.23690223693847656,0.29781603813171387,0.2644225060939789
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23239798843860626,0.40399202704429626,1.0,0.27778977155685425,0.733189046382904,0.4207492768764496,0.20444205403327942,0.21364226937294006,0.28909924626350403,0.22068053483963013
autoimmune,0.24827490746974945,0.2520434558391571,0.24011005461215973,0.5776692032814026,0.29065757989883423,0.23308201134204865,0.28946229815483093,0.24011005461215973,0.22194775938987732,0.36800098419189453,0.796642005443573,0.3901956379413605,0.21146810054779053
disorders,0.272768497467041,0.2127467691898346,0.2104933112859726,1.0000001192092896,0.2665407061576843,0.23239798843860626,0.1940784454345703,0.2104933112859726,0.1345977485179901,0.3683549761772156,0.3924263119697571,0.25681954622268677,0.2264077365398407
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.22621037065982819,0.3452940285205841,0.5934505462646484,0.31092435121536255,0.5352458953857422,0.3581749200820923,0.25853100419044495,0.18267881870269775,0.2878446877002716,0.4130953550338745
