,along,with,geothermal,and,nuclear,",",what,is,a,notable,non-combustion,heat,source,?
non-combustion,0.12171446532011032,0.212935209274292,0.5111187696456909,0.22835560142993927,0.3877638876438141,0.23592375218868256,0.27942728996276855,0.28676894307136536,0.33427777886390686,0.19153891503810883,1.0000001192092896,0.49602559208869934,0.3077729642391205,0.24242591857910156
heat,0.15695764124393463,0.2545742690563202,0.5221715569496155,0.2678423523902893,0.273171991109848,0.25331911444664,0.1933984011411667,0.20543494820594788,0.2243129312992096,0.2088164985179901,0.49602559208869934,1.0,0.27898353338241577,0.16343188285827637
sources,0.18683560192584991,0.17556439340114594,0.34760406613349915,0.27464351058006287,0.21076367795467377,0.3490506112575531,0.30212491750717163,0.2594712972640991,0.16673140227794647,0.4880184829235077,0.3014923334121704,0.2643336355686188,0.7342106699943542,0.2886999845504761
such,0.29103851318359375,0.3346101939678192,0.2931680679321289,0.44540345668792725,0.18135441839694977,0.39626169204711914,0.23989605903625488,0.23545363545417786,0.2706976532936096,0.30687424540519714,0.28840774297714233,0.2498067170381546,0.2491411417722702,0.17851735651493073
as,0.31813573837280273,0.40387406945228577,0.17789100110530853,0.49487000703811646,0.15183600783348083,0.48816442489624023,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.2787022590637207,0.23714551329612732,0.20366492867469788,0.2289019525051117,0.27043893933296204
solar,0.11076896637678146,0.12487583607435226,0.5494410991668701,0.1899670958518982,0.33939024806022644,0.21096153557300568,0.19109857082366943,0.24076320230960846,0.24453456699848175,0.15647609531879425,0.36039748787879944,0.3434445559978485,0.2319333255290985,0.18617206811904907
power,0.19456323981285095,0.20798128843307495,0.4016266167163849,0.27496716380119324,0.41085806488990784,0.2231994867324829,0.22216427326202393,0.15234114229679108,0.21580491960048676,0.13419635593891144,0.3726027011871338,0.34465473890304565,0.2376585751771927,0.15304024517536163
",",0.29824912548065186,0.4120737314224243,0.2858751714229584,0.6633074283599854,0.23752127587795258,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.427140474319458,0.31026551127433777,0.23592375218868256,0.25331911444664,0.2657822072505951,0.31091248989105225
nuclear,0.13471058011054993,0.18639449775218964,0.3634890615940094,0.20250080525875092,1.0000001192092896,0.23752127587795258,0.23862333595752716,0.20016400516033173,0.20050431787967682,0.14381594955921173,0.3877638876438141,0.273171991109848,0.20006205141544342,0.1865687519311905
power,0.19456323981285095,0.20798128843307495,0.4016266167163849,0.27496716380119324,0.41085806488990784,0.2231994867324829,0.22216427326202393,0.15234114229679108,0.21580491960048676,0.13419635593891144,0.3726027011871338,0.34465473890304565,0.2376585751771927,0.15304024517536163
or,0.2587498426437378,0.38158315420150757,0.3001766502857208,0.4713204801082611,0.19598789513111115,0.3769497275352478,0.33867141604423523,0.41870999336242676,0.48853766918182373,0.2401418685913086,0.33755555748939514,0.23559391498565674,0.2579227685928345,0.32389625906944275
geothermal,0.14902900159358978,0.1716766655445099,1.0,0.2734176814556122,0.3634890615940094,0.2858751714229584,0.21207669377326965,0.2605198621749878,0.2148166000843048,0.21175454556941986,0.5111187696456909,0.5221715569496155,0.36595505475997925,0.17484043538570404
energy,0.15004321932792664,0.19224508106708527,0.5137328505516052,0.23934243619441986,0.4433448612689972,0.21156731247901917,0.190252885222435,0.2171693742275238,0.21513298153877258,0.15571905672550201,0.4589124619960785,0.5270351767539978,0.3006170690059662,0.14860127866268158
may,0.1305578351020813,0.23512546718120575,0.24549992382526398,0.34598252177238464,0.14147771894931793,0.5007920861244202,0.25739946961402893,0.322792649269104,0.29255667328834534,0.27032092213630676,0.2583578824996948,0.1960259974002838,0.1709180325269699,0.2768254578113556
be,0.21169698238372803,0.36101722717285156,0.2501237392425537,0.41766801476478577,0.1911195069551468,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.39883795380592346,0.21569408476352692,0.31803613901138306,0.25805994868278503,0.29951292276382446,0.3324260413646698
used,0.1619422286748886,0.3047430217266083,0.28564149141311646,0.3150506615638733,0.1891578882932663,0.3120402991771698,0.27546408772468567,0.3288823366165161,0.3864384889602661,0.160323828458786,0.34632572531700134,0.2201911062002182,0.25368016958236694,0.22430120408535004
.,0.27491724491119385,0.4446153938770294,0.25512391328811646,0.588965117931366,0.2137570083141327,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2256665676832199,0.24564899504184723,0.27046459913253784,0.2883438467979431,0.4130953550338745
