,when,did,tesla,discover,the,possibility,of,wireless,connectivity,?
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.11149376630783081,0.1324402391910553,0.18081195652484894,0.18837453424930573,0.3652113080024719,0.3564508259296417,0.10250775516033173
went,0.262430876493454,0.4810470640659332,0.028210537508130074,0.2244500070810318,0.3345835506916046,0.1634245216846466,0.2527906000614166,0.1914876252412796,0.08862476050853729,0.12109432369470596
on,0.37706470489501953,0.2670976221561432,0.16159376502037048,0.1676451414823532,0.5107308030128479,0.23918402194976807,0.3966929316520691,0.23828737437725067,0.23934005200862885,0.2714994251728058
to,0.5423505902290344,0.4452643394470215,0.17548894882202148,0.27829253673553467,0.535392165184021,0.32518115639686584,0.41548454761505127,0.26774564385414124,0.23846226930618286,0.29463258385658264
pursue,0.2393937110900879,0.24162724614143372,0.022205647081136703,0.15516379475593567,0.21766875684261322,0.19252051413059235,0.17194563150405884,0.11790759861469269,0.05574790760874748,0.1284760683774948
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.2157134711742401,0.4394008219242096,0.21207965910434723,0.38364991545677185,0.10785644501447678,0.12109873443841934,0.18075084686279297
ideas,0.288222074508667,0.3357154428958893,0.21804659068584442,0.22859103977680206,0.22381870448589325,0.35917505621910095,0.22676146030426025,0.1348106563091278,0.31188395619392395,0.2857283353805542
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.21607455611228943,0.733189046382904,0.2423204630613327,1.0,0.16934619843959808,0.25766485929489136,0.1826142966747284
wireless,0.1706441044807434,0.11166471242904663,0.3652113080024719,0.18320868909358978,0.2474355399608612,0.18737174570560455,0.16934619843959808,1.0,0.48510411381721497,0.08461163192987442
lighting,0.2340172380208969,0.19960185885429382,0.23439070582389832,0.1387520432472229,0.2831954061985016,0.26489171385765076,0.22980383038520813,0.28801587224006653,0.24915991723537445,0.13502714037895203
and,0.4716290831565857,0.34479495882987976,0.19560420513153076,0.21819821000099182,0.5171257257461548,0.22425253689289093,0.5116966962814331,0.22977887094020844,0.24775873124599457,0.20544172823429108
electricity,0.3229100704193115,0.22498734295368195,0.37243616580963135,0.21428027749061584,0.274786114692688,0.23655009269714355,0.22897469997406006,0.405724436044693,0.40444880723953247,0.17856204509735107
distribution,0.13132691383361816,0.11337858438491821,0.20561231672763824,0.21399778127670288,0.27569329738616943,0.2151554971933365,0.254255473613739,0.2026362270116806,0.30161717534065247,0.0929616317152977
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.24369259178638458,0.6662389636039734,0.19996024668216705,0.5696388483047485,0.22999337315559387,0.22795961797237396,0.20430970191955566
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.2157134711742401,0.4394008219242096,0.21207965910434723,0.38364991545677185,0.10785644501447678,0.12109873443841934,0.18075084686279297
high-voltage,0.23169535398483276,0.17168061435222626,0.38331884145736694,0.17601309716701508,0.3004293739795685,0.28153687715530396,0.2520264685153961,0.40414321422576904,0.44463953375816345,0.23572029173374176
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.22755950689315796,0.4933079481124878,0.23664548993110657,0.4946078956127167,0.2685069143772125,0.22704561054706573,0.31091248989105225
high-frequency,0.2732340097427368,0.15809187293052673,0.26202645897865295,0.16953898966312408,0.26309362053871155,0.34820792078971863,0.24963922798633575,0.39814919233322144,0.4087201952934265,0.22459599375724792
power,0.28225177526474,0.2120266556739807,0.27547121047973633,0.059801727533340454,0.2647338807582855,0.2866649031639099,0.25273123383522034,0.2357572466135025,0.2740335464477539,0.15304024517536163
experiments,0.2910088300704956,0.2717590034008026,0.29793205857276917,0.362601101398468,0.21008943021297455,0.27897918224334717,0.16935081779956818,0.21982169151306152,0.2952278256416321,0.14564716815948486
