,what,drew,would-be,jacksonville,tourists,to,other,florida,destinations,?
in,0.30808621644973755,0.18420524895191193,0.327160507440567,0.22147351503372192,0.26775842905044556,0.45010748505592346,0.39989137649536133,0.2330404818058014,0.28438061475753784,0.20430970191955566
addition,0.20643717050552368,0.15044377744197845,0.27087125182151794,0.17894835770130157,0.1581576019525528,0.29394859075546265,0.3792383074760437,0.2011518031358719,0.2785917818546295,0.19187232851982117
",",0.3087472915649414,0.18834775686264038,0.4121387302875519,0.2837527096271515,0.19027641415596008,0.44245919585227966,0.4446498453617096,0.21896368265151978,0.2587198317050934,0.31091248989105225
extension,0.24965603649616241,0.11279728263616562,0.245047464966774,0.18848691880702972,0.1323709338903427,0.3166155517101288,0.1916709840297699,0.22682182490825653,0.24703961610794067,0.24237069487571716
of,0.33290785551071167,0.1782671958208084,0.3007323145866394,0.23084138333797455,0.21494702994823456,0.41548454761505127,0.38583824038505554,0.2330869883298874,0.24543997645378113,0.1826142966747284
the,0.42745697498321533,0.18736809492111206,0.3829305171966553,0.2176690250635147,0.2852522134780884,0.535392165184021,0.44152235984802246,0.24091358482837677,0.3131893277168274,0.22068053483963013
florida,0.14450381696224213,0.2184152901172638,0.19298657774925232,0.568950355052948,0.19816312193870544,0.20760414004325867,0.16611091792583466,1.0,0.18646837770938873,0.13469882309436798
east,0.19840149581432343,0.16249646246433258,0.20407387614250183,0.21348166465759277,0.2664003074169159,0.24717837572097778,0.20145228505134583,0.23698711395263672,0.29121315479278564,0.10070597380399704
coast,0.2200622260570526,0.0860486850142479,0.1760251820087433,0.24648600816726685,0.28967997431755066,0.23308983445167542,0.16443121433258057,0.3442305624485016,0.30047425627708435,0.15869849920272827
railway,0.16704553365707397,0.04707995057106018,0.21282732486724854,0.15817780792713165,0.27457013726234436,0.20460735261440277,0.12908995151519775,0.13863471150398254,0.32453644275665283,0.07994066178798676
further,0.30867868661880493,0.1281040906906128,0.28181543946266174,0.1000865027308464,0.14296232163906097,0.4001762866973877,0.2918756306171417,0.16982854902744293,0.15344029664993286,0.20960763096809387
south,0.15388517081737518,0.19501176476478577,0.22016894817352295,0.24695053696632385,0.2698952257633209,0.25657615065574646,0.1949175000190735,0.26513609290122986,0.27442654967308044,0.12336621433496475
drew,0.13638709485530853,1.0000001192092896,0.2847079932689667,0.30062079429626465,0.14970014989376068,0.14801861345767975,0.11140959709882736,0.2184152901172638,0.06456861644983292,0.10364298522472382
visitors,0.23078052699565887,0.15731273591518402,0.19695764780044556,0.15403370559215546,0.6746527552604675,0.32348495721817017,0.25796252489089966,0.23310472071170807,0.4468882977962494,0.15025043487548828
to,0.455847829580307,0.14801861345767975,0.4965329170227051,0.1994343250989914,0.29182255268096924,1.0,0.4193183183670044,0.20760414004325867,0.27674007415771484,0.29463258385658264
other,0.341873437166214,0.11140959709882736,0.356004923582077,0.17599043250083923,0.2943006157875061,0.4193183183670044,0.9999999403953552,0.16611091792583466,0.3054613173007965,0.24682199954986572
areas,0.23739881813526154,0.12363731861114502,0.21716707944869995,0.1802816241979599,0.34868472814559937,0.29808273911476135,0.3227008879184723,0.25035178661346436,0.3702768385410309,0.1273590475320816
.,0.3567904531955719,0.21598884463310242,0.357076495885849,0.2843366861343384,0.17256435751914978,0.4645031690597534,0.41511186957359314,0.23988212645053864,0.2608295679092407,0.4130953550338745
