,who,was,count,of,melfi
he,0.5500732064247131,0.5410010814666748,0.19334247708320618,0.38706058263778687,0.25303125381469727
promptly,0.2705988883972168,0.26688143610954285,0.18171219527721405,0.18392962217330933,0.09412593394517899
awarded,0.22917822003364563,0.30614012479782104,0.07140717655420303,0.2630610167980194,0.1344548463821411
their,0.3767721951007843,0.2396296262741089,0.21935097873210907,0.4329940676689148,0.16255345940589905
elected,0.3117038309574127,0.2710091769695282,0.21876728534698486,0.2767166793346405,0.19693683087825775
leader,0.31168457865715027,0.3073844909667969,0.11684907972812653,0.24122127890586853,0.17905335128307343
",",0.3365725874900818,0.45456063747406006,0.25886058807373047,0.4946078956127167,0.27795472741127014
william,0.32068803906440735,0.28444796800613403,0.21510012447834015,0.20272590219974518,0.1915207803249359
iron,0.16392813622951508,0.21926720440387726,0.1349782943725586,0.263920396566391,0.168768048286438
arm,0.22269174456596375,0.1614151895046234,0.12864048779010773,0.17655016481876373,0.1322697252035141
",",0.3365725874900818,0.45456063747406006,0.25886058807373047,0.4946078956127167,0.27795472741127014
with,0.3282766342163086,0.27411898970603943,0.19780637323856354,0.41827285289764404,0.25333523750305176
the,0.3733934462070465,0.48711544275283813,0.21435627341270447,0.733189046382904,0.2971685230731964
title,0.18150031566619873,0.19408874213695526,0.24747078120708466,0.18969319760799408,0.1876717060804367
of,0.2827862501144409,0.4069072902202606,0.23121918737888336,1.0,0.2703196406364441
count,0.2501727044582367,0.16032585501670837,0.9999999403953552,0.23121918737888336,0.17435261607170105
in,0.2792111933231354,0.45514053106307983,0.1993972808122635,0.5696388483047485,0.27525776624679565
his,0.44966956973075867,0.4405253231525421,0.27201569080352783,0.38364991545677185,0.19561590254306793
capital,0.15628641843795776,0.21907466650009155,0.1580677479505539,0.30823585391044617,0.23324450850486755
of,0.2827862501144409,0.4069072902202606,0.23121918737888336,1.0,0.2703196406364441
melfi,0.2611711919307709,0.2657295763492584,0.17435261607170105,0.2703196406364441,1.0
.,0.3541337847709656,0.40146201848983765,0.2325478494167328,0.5352458953857422,0.2775545120239258
